# gdf_enumerate_anchor_top1: full Top-K per anchor (last size tier only)
[GDF] seeds: 三花
[GDF] size=10 top 20
  1. RR=279 anchor_m=7 Swiss=11 | 加速烙刀,绵鳚,篝火,打火机,大钢弩,三花,燃烧响炮
  3. RR=200 anchor_m=101 Swiss=11 | 十手,绵鳚,加速烙刀,枪套,皮皮虾,抓钩,火药角,烈酒杯,燃烧响炮
  4. RR=191 anchor_m=116 Swiss=9 | 十手,拍立蚌,皮皮虾,火药角,烈酒杯,珊瑚,绵鳚,减速烙刀,抓钩
  5. RR=176 anchor_m=129 Swiss=11 | 十手,皮皮虾,迷幻蝠鲼,理查森先生,拍立蚌,抓钩,锁镰,流星索,炮弹,烈酒杯
  6. RR=185 anchor_m=109 Swiss=10 | 理查森先生,拍立蚌,十手,减速烙刀,皮皮虾,抓钩,流星索,炮弹,烈酒杯
  7. RR=182 anchor_m=112 Swiss=10 | 十手,拍立蚌,流星索,锁镰,皮皮虾,抓钩,火药角,烈酒杯,减速烙刀
  8. RR=178 anchor_m=120 Swiss=10 | 拍立蚌,十手,珊瑚,减速烙刀,皮皮虾,抓钩,流星索,炮弹,烈酒杯
  9. RR=172 anchor_m=123 Swiss=10 | 十手,拍立蚌,皮皮虾,抓钩,减速烙刀,炮弹,烈酒杯,流星索,燃烧响炮
  10. RR=182 anchor_m=99 Swiss=10 | 十手,流星索,皮皮虾,绵鳚,减速烙刀,拍立蚌,抓钩,炮弹,烈酒杯
  11. RR=172 anchor_m=112 Swiss=9 | 十手,拍立蚌,流星索,皮皮虾,理查森先生,抓钩,火药角,烈酒杯,减速烙刀
  12. RR=176 anchor_m=103 Swiss=10 | 十手,拍立蚌,皮皮虾,火药角,烈酒杯,减速烙刀,抓钩,大钢弩
  13. RR=184 anchor_m=87 Swiss=10 | 十手,拍立蚌,牌桌,皮皮虾,抓钩,锁镰,流星索,炮弹,烈酒杯
  14. RR=175 anchor_m=104 Swiss=10 | 拍立蚌,十手,减速烙刀,皮皮虾,抓钩,盐钳海盗,流星索,炮弹,烈酒杯
  15. RR=175 anchor_m=104 Swiss=10 | 十手,拍立蚌,皮皮虾,减速烙刀,绵鳚,理查森先生,火药角,烈酒杯,抓钩
  16. RR=172 anchor_m=105 Swiss=10 | 十手,拍立蚌,流星索,皮皮虾,抓钩,珊瑚,火药角,烈酒杯,减速烙刀
  17. RR=163 anchor_m=111 Swiss=10 | 十手,拍立蚌,流星索,皮皮虾,盐钳海盗,火药角,烈酒杯,减速烙刀,抓钩
  18. RR=170 anchor_m=96 Swiss=10 | 十手,拍立蚌,皮皮虾,抓钩,牌桌,大钢弩,炮弹,烈酒杯
  19. RR=148 anchor_m=139 Swiss=11 | 十手,拍立蚌,皮皮虾,抓钩,飞镖发射器,锁镰,减速烙刀,炮弹,烈酒杯
  20. RR=153 anchor_m=129 Swiss=10 | 十手,皮皮虾,迷幻蝠鲼,理查森先生,珊瑚,抓钩,锁镰,流星索,炮弹,烈酒杯

[GDF] seeds: 抛石机
[GDF] size=10 top 20
  1. RR=278 anchor_m=278 Swiss=11 | 抛石机,绵鳚,篝火,燃烧响炮,打火机,大钢弩
  2. RR=277 anchor_m=277 Swiss=11 | 抛石机,绵鳚,潜水配重,水母,枪套,大钢弩,燃烧响炮
  3. RR=272 anchor_m=272 Swiss=11 | 抛石机,绵鳚,篝火,打火机,燃烧子弹,大钢弩
  4. RR=261 anchor_m=261 Swiss=11 | 枪套,抛石机,绵鳚,篝火,打火机,大钢弩
  5. RR=260 anchor_m=260 Swiss=11 | 烈酒杯,抛石机,绵鳚,篝火,打火机,大钢弩
  6. RR=231 anchor_m=231 Swiss=10 | 飞鱼,抛石机,绵鳚,篝火,打火机,大钢弩
  7. RR=218 anchor_m=218 Swiss=10 | 飞鱼,抛石机,绵鳚,藏刃匕首,燃烧响炮,枪套,大钢弩
  8. RR=213 anchor_m=213 Swiss=10 | 大钢弩,抛石机,绵鳚,藏刃匕首,篝火,燃烧响炮
  9. RR=207 anchor_m=207 Swiss=11 | 藏刃匕首,抛石机,绵鳚,篝火,打火机,大钢弩
  10. RR=206 anchor_m=206 Swiss=10 | 抛石机,绵鳚,篝火,打火机,大钢弩,流星索
  11. RR=200 anchor_m=200 Swiss=10 | 燃烧响炮,篝火,抛石机,弹簧刀,小冰镐,绵鳚,打火机
  12. RR=200 anchor_m=200 Swiss=10 | 抛石机,绵鳚,珊瑚,篝火,打火机,燃烧子弹,燃烧响炮
  13. RR=198 anchor_m=198 Swiss=10 | 抛石机,绵鳚,燃烧响炮,篝火,加速烙刀,打火机
  14. RR=198 anchor_m=198 Swiss=10 | 燃烧响炮,篝火,抛石机,小冰镐,绵鳚,打火机,流星索
  15. RR=192 anchor_m=192 Swiss=10 | 葡萄弹,抛石机,绵鳚,篝火,打火机,大钢弩
  16. RR=191 anchor_m=191 Swiss=10 | 抛石机,绵鳚,珊瑚,小冰镐,篝火,打火机,燃烧子弹
  17. RR=189 anchor_m=189 Swiss=10 | 手斧,燃烧响炮,篝火,抛石机,小冰镐,绵鳚,打火机
  18. RR=188 anchor_m=188 Swiss=11 | 弹簧刀,抛石机,绵鳚,篝火,打火机,大钢弩
  19. RR=187 anchor_m=187 Swiss=10 | 抛石机,珊瑚护甲,绵鳚,篝火,打火机,燃烧响炮
  20. RR=179 anchor_m=179 Swiss=10 | 抛石机,绵鳚,篝火,加速烙刀,烈酒杯,打火机

[GDF] seeds: 拍立蚌
[GDF] size=10 top 20
  1. RR=231 anchor_m=198 Swiss=10 | 十手,皮皮虾,迷幻蝠鲼,绵鳚,减速烙刀,烈酒杯,炮弹,流星索,拍立蚌
  2. RR=224 anchor_m=220 Swiss=11 | 十手,理查森先生,迷幻蝠鲼,皮皮虾,火药角,烈酒杯,水车,拍立蚌
  3. RR=210 anchor_m=176 Swiss=10 | 燃烧响炮,减速烙刀,绵鳚,十手,皮皮虾,火药角,烈酒杯,拍立蚌,流星索
  4. RR=193 anchor_m=191 Swiss=10 | 理查森先生,十手,珊瑚,皮皮虾,火药角,烈酒杯,水车,拍立蚌
  5. RR=188 anchor_m=188 Swiss=10 | 理查森先生,十手,皮皮虾,火药角,烈酒杯,潜水配重,水车,拍立蚌
  6. RR=196 anchor_m=168 Swiss=10 | 十手,绵鳚,减速烙刀,皮皮虾,迷幻蝠鲼,理查森先生,烈酒杯,炮弹,拍立蚌
  7. RR=192 anchor_m=175 Swiss=9 | 减速烙刀,绵鳚,燃烧响炮,流星索,十手,皮皮虾,烈酒杯,炮弹,拍立蚌
  8. RR=188 anchor_m=179 Swiss=10 | 十手,锁镰,皮皮虾,迷幻蝠鲼,烈酒杯,炮弹,流星索,减速烙刀,拍立蚌
  9. RR=190 anchor_m=170 Swiss=10 | 十手,流星索,减速烙刀,盐钳海盗,迷幻蝠鲼,皮皮虾,火药角,烈酒杯,拍立蚌
  10. RR=191 anchor_m=166 Swiss=10 | 流星索,珊瑚,十手,绵鳚,减速烙刀,皮皮虾,火药角,烈酒杯,拍立蚌
  11. RR=183 anchor_m=173 Swiss=10 | 减速烙刀,绵鳚,十手,珊瑚,皮皮虾,迷幻蝠鲼,火药角,烈酒杯,拍立蚌
  12. RR=181 anchor_m=170 Swiss=11 | 减速烙刀,绵鳚,十手,皮皮虾,流星索,火药角,烈酒杯,打火机,拍立蚌
  13. RR=187 anchor_m=156 Swiss=11 | 减速烙刀,绵鳚,十手,皮皮虾,火药角,烈酒杯,拍立蚌,大钢弩
  14. RR=172 anchor_m=168 Swiss=10 | 流星索,十手,手里剑,锁镰,减速烙刀,皮皮虾,火药角,烈酒杯,拍立蚌
  15. RR=173 anchor_m=164 Swiss=10 | 十手,绵鳚,减速烙刀,皮皮虾,燃烧响炮,火药角,烈酒杯,打火机,拍立蚌
  16. RR=184 anchor_m=139 Swiss=10 | 大钢弩,减速烙刀,流星索,十手,皮皮虾,烈酒杯,炮弹,拍立蚌
  17. RR=167 anchor_m=159 Swiss=10 | 十手,绵鳚,减速烙刀,皮皮虾,迷幻蝠鲼,烈酒杯,炮弹,珊瑚,拍立蚌
  18. RR=166 anchor_m=155 Swiss=10 | 十手,绵鳚,减速烙刀,皮皮虾,烈酒杯,炮弹,手雷,拍立蚌,流星索
  19. RR=166 anchor_m=154 Swiss=10 | 十手,锁镰,减速烙刀,盐钳海盗,迷幻蝠鲼,皮皮虾,火药角,烈酒杯,拍立蚌
  20. RR=163 anchor_m=157 Swiss=9 | 十手,锁镰,皮皮虾,烈酒杯,炮弹,流星索,减速烙刀,抓钩,拍立蚌

[GDF] seeds: 救生圈
[GDF] size=10 top 20
  1. RR=226 anchor_m=200 Swiss=10 | 小冰镐,救生圈,珊瑚,水母,雪怪蟹,元素深水炸弹,绵鳚,水草
  2. RR=202 anchor_m=189 Swiss=11 | 水草,小冰镐,救生圈,潜水配重,水母,雪怪蟹,元素深水炸弹,绵鳚
  3. RR=200 anchor_m=177 Swiss=10 | 小冰镐,珊瑚,救生圈,拍立蚌,水母,雪怪蟹,元素深水炸弹,绵鳚
  4. RR=195 anchor_m=170 Swiss=11 | 小冰镐,珊瑚,救生圈,潜水配重,水母,雪怪蟹,元素深水炸弹,绵鳚
  5. RR=197 anchor_m=165 Swiss=11 | 珊瑚,救生圈,龙涎香,毒须鲶,雪怪蟹,元素深水炸弹,绵鳚,小冰镐
  6. RR=185 anchor_m=173 Swiss=10 | 小冰镐,救生圈,潜水配重,拍立蚌,水母,雪怪蟹,元素深水炸弹,绵鳚
  7. RR=184 anchor_m=165 Swiss=10 | 小冰镐,救生圈,海螺壳,水母,雪怪蟹,元素深水炸弹,绵鳚,水草
  8. RR=182 anchor_m=160 Swiss=10 | 小冰镐,救生圈,拍立蚌,鱼饵,水母,雪怪蟹,元素深水炸弹,绵鳚
  9. RR=181 anchor_m=159 Swiss=11 | 珊瑚,小冰镐,救生圈,迷幻蝠鲼,水母,雪怪蟹,元素深水炸弹,绵鳚
  10. RR=179 anchor_m=163 Swiss=10 | 小冰镐,救生圈,飞鱼,水母,雪怪蟹,元素深水炸弹,绵鳚,拍立蚌
  11. RR=179 anchor_m=163 Swiss=10 | 小冰镐,救生圈,龙涎香,水母,雪怪蟹,元素深水炸弹,绵鳚,水草
  12. RR=181 anchor_m=156 Swiss=11 | 救生圈,龙涎香,拍立蚌,毒须鲶,雪怪蟹,元素深水炸弹,绵鳚,小冰镐
  13. RR=178 anchor_m=160 Swiss=10 | 小冰镐,救生圈,拍立蚌,水草,水母,雪怪蟹,元素深水炸弹,绵鳚
  14. RR=177 anchor_m=162 Swiss=10 | 小冰镐,水草,救生圈,迷幻蝠鲼,水母,雪怪蟹,元素深水炸弹,绵鳚
  15. RR=175 anchor_m=165 Swiss=9 | 小冰镐,救生圈,海螺壳,潜水配重,水母,雪怪蟹,元素深水炸弹,绵鳚
  16. RR=172 anchor_m=164 Swiss=11 | 小冰镐,救生圈,飞鱼,水母,雪怪蟹,元素深水炸弹,绵鳚,海螺壳
  17. RR=171 anchor_m=162 Swiss=10 | 小冰镐,救生圈,潜水配重,水母,雪怪蟹,元素深水炸弹,绵鳚,理查森先生
  18. RR=172 anchor_m=160 Swiss=10 | 小冰镐,鱼饵,救生圈,海螺壳,水母,雪怪蟹,元素深水炸弹,绵鳚
  19. RR=170 anchor_m=163 Swiss=10 | 珍珠,救生圈,龙涎香,毒须鲶,雪怪蟹,元素深水炸弹,绵鳚,小冰镐
  20. RR=169 anchor_m=161 Swiss=9 | 小冰镐,救生圈,海螺壳,迷幻蝠鲼,水母,雪怪蟹,元素深水炸弹,绵鳚

[GDF] seeds: 旗舰
[GDF] size=10 top 20
  1. RR=257 anchor_m=257 Swiss=11 | 淬锋钢,旗舰,船长舱,潜水配重,六分仪
  2. RR=215 anchor_m=215 Swiss=11 | 珊瑚,淬锋钢,迷幻蝠鲼,套娃,水车,旗舰
  3. RR=215 anchor_m=215 Swiss=11 | 淬锋钢,鸦巢,定制准镜,旗舰,潜水配重,蔻森娜纹章
  4. RR=202 anchor_m=202 Swiss=10 | 淬锋钢,套娃,水车,旗舰,毒须鲶,蔻森娜纹章
  5. RR=197 anchor_m=197 Swiss=10 | 淬锋钢,珊瑚,雪怪蟹,套娃,水车,旗舰
  6. RR=195 anchor_m=195 Swiss=10 | 淬锋钢,鸦巢,旗舰,潜水配重,毒须鲶,蔻森娜纹章
  7. RR=194 anchor_m=194 Swiss=10 | 迷幻蝠鲼,理查森先生,淬锋钢,套娃,水车,旗舰
  8. RR=193 anchor_m=193 Swiss=10 | 蔻森娜纹章,淬锋钢,旗舰,潜水配重,六分仪,海影宝驹
  9. RR=192 anchor_m=192 Swiss=10 | 淬锋钢,套娃,水车,旗舰,理查森先生,蔻森娜纹章
  10. RR=189 anchor_m=189 Swiss=10 | 淬锋钢,鸦巢,旗舰,蔻森娜纹章,理查森先生,潜水配重
  11. RR=187 anchor_m=187 Swiss=10 | 理查森先生,淬锋钢,套娃,水车,旗舰,拍立蚌
  12. RR=184 anchor_m=184 Swiss=10 | 鸦巢,淬锋钢,迷幻蝠鲼,旗舰,潜水配重,珊瑚
  13. RR=184 anchor_m=184 Swiss=10 | 淬锋钢,鸦巢,旗舰,雪怪蟹,潜水配重,蔻森娜纹章
  14. RR=183 anchor_m=183 Swiss=9 | 淬锋钢,雪怪蟹,蔻森娜纹章,套娃,水车,旗舰
  15. RR=179 anchor_m=179 Swiss=10 | 淬锋钢,珊瑚,鱼饵,套娃,水车,旗舰
  16. RR=176 anchor_m=176 Swiss=10 | 淬锋钢,套娃,水车,旗舰,毒须鲶,珊瑚
  17. RR=176 anchor_m=176 Swiss=10 | 淬锋钢,迷幻蝠鲼,雪怪蟹,套娃,水车,旗舰
  18. RR=166 anchor_m=166 Swiss=10 | 淬锋钢,旗舰,潜水配重,六分仪,枪套,雪怪蟹,蔻森娜纹章
  19. RR=166 anchor_m=166 Swiss=9 | 淬锋钢,鸦巢,珊瑚,潜水配重,水母,旗舰
  20. RR=163 anchor_m=163 Swiss=10 | 蔻森娜纹章,淬锋钢,集成式HUD,旗舰,潜水配重,迷幻蝠鲼,六分仪

[GDF] seeds: 星图
[GDF] size=10 top 20
  1. RR=244 anchor_m=138 Swiss=11 | 篝火,加速烙刀,珊瑚,绵鳚,打火机,星图,燃烧响炮
  2. RR=206 anchor_m=138 Swiss=11 | 篝火,加速烙刀,理查森先生,绵鳚,打火机,星图,燃烧响炮
  3. RR=191 anchor_m=157 Swiss=11 | 淬锋钢,水车,吸血章鱼,星图,鱼饵,牌桌
  4. RR=213 anchor_m=109 Swiss=10 | 加速烙刀,绵鳚,潜水配重,飞鱼,打火机,星图,燃烧响炮,枪套
  5. RR=224 anchor_m=86 Swiss=11 | 加速烙刀,绵鳚,潜水配重,珊瑚,打火机,星图,燃烧响炮,枪套
  6. RR=216 anchor_m=97 Swiss=10 | 加速烙刀,绵鳚,潜水配重,理查森先生,打火机,星图,燃烧响炮,枪套
  7. RR=196 anchor_m=134 Swiss=10 | 加速烙刀,绵鳚,打火机,星图,燃烧响炮,篝火,枪套
  8. RR=210 anchor_m=96 Swiss=10 | 加速烙刀,绵鳚,潜水配重,水母,打火机,星图,燃烧响炮,枪套
  9. RR=211 anchor_m=93 Swiss=10 | 加速烙刀,绵鳚,打火机,星图,篝火,燃烧响炮,燃烧子弹
  10. RR=194 anchor_m=114 Swiss=10 | 篝火,加速烙刀,小冰镐,绵鳚,打火机,星图,燃烧响炮
  11. RR=174 anchor_m=128 Swiss=10 | 吸血章鱼,蔻森娜纹章,恶鬼面具,珊瑚,绵鳚,打火机,星图,燃烧响炮
  12. RR=186 anchor_m=98 Swiss=10 | 加速烙刀,篝火,珊瑚,燃烧子弹,打火机,星图,燃烧响炮
  13. RR=170 anchor_m=130 Swiss=9 | 篝火,加速烙刀,龙涎香,绵鳚,打火机,星图,燃烧响炮
  14. RR=181 anchor_m=105 Swiss=10 | 恶鬼面具,靴里剑,蔻森娜纹章,珊瑚,绵鳚,打火机,星图,燃烧响炮
  15. RR=173 anchor_m=116 Swiss=9 | 蔻森娜纹章,藏刃匕首,恶鬼面具,珊瑚,绵鳚,打火机,星图,燃烧响炮
  16. RR=181 anchor_m=98 Swiss=10 | 加速烙刀,绵鳚,潜水配重,打火机,星图,燃烧响炮,枪套,小冰镐
  17. RR=175 anchor_m=107 Swiss=9 | 加速烙刀,绵鳚,潜水配重,拍立蚌,打火机,星图,燃烧响炮,枪套
  18. RR=176 anchor_m=104 Swiss=10 | 加速烙刀,绵鳚,潜水配重,打火机,星图,燃烧响炮,流星索,枪套
  19. RR=174 anchor_m=100 Swiss=10 | 加速烙刀,篝火,小冰镐,燃烧子弹,打火机,星图,燃烧响炮
  20. RR=163 anchor_m=121 Swiss=10 | 蔻森娜纹章,枪套,恶鬼面具,珊瑚,绵鳚,打火机,星图,燃烧响炮

[GDF] seeds: 星盘
[GDF] size=10 top 20
  1. RR=242 anchor_m=133 Swiss=11 | 烈酒杯,星盘,吸血章鱼,六分仪,潜水配重,沙滩充气球,淬锋钢
  2. RR=231 anchor_m=229 Swiss=10 | 星盘,海影宝驹,迷幻蝠鲼,吸血章鱼,六分仪,潜水配重,淬锋钢
  3. RR=241 anchor_m=198 Swiss=10 | 星盘,枪套,吸血章鱼,六分仪,牌桌,潜水配重,淬锋钢
  4. RR=238 anchor_m=194 Swiss=11 | 星盘,集成式HUD,吸血章鱼,牌桌,六分仪,潜水配重,淬锋钢
  5. RR=205 anchor_m=203 Swiss=10 | 海影宝驹,星盘,吸血章鱼,六分仪,潜水配重,炮弹,淬锋钢
  6. RR=203 anchor_m=182 Swiss=10 | 星盘,拍立蚌,吸血章鱼,六分仪,沙滩充气球,潜水配重,淬锋钢
  7. RR=218 anchor_m=137 Swiss=11 | 星盘,集成式HUD,吸血章鱼,六分仪,潜水配重,沙滩充气球,淬锋钢
  8. RR=196 anchor_m=179 Swiss=10 | 星盘,吸血章鱼,六分仪,鱼饵,潜水配重,沙滩充气球,淬锋钢
  9. RR=230 anchor_m=105 Swiss=11 | 星盘,吸血章鱼,枪套,六分仪,潜水配重,沙滩充气球,淬锋钢
  10. RR=185 anchor_m=174 Swiss=10 | 加速烙刀,绵鳚,潜水配重,拍立蚌,燃烧响炮,枪套,星盘,小冰镐
  11. RR=188 anchor_m=166 Swiss=10 | 烈酒杯,星盘,吸血章鱼,六分仪,牌桌,潜水配重,淬锋钢
  12. RR=179 anchor_m=165 Swiss=11 | 加速烙刀,绵鳚,潜水配重,打火机,小冰镐,燃烧响炮,星盘,枪套
  13. RR=177 anchor_m=155 Swiss=10 | 星盘,吸血章鱼,六分仪,火药角,潜水配重,沙滩充气球,淬锋钢
  14. RR=225 anchor_m=58 Swiss=11 | 加速烙刀,绵鳚,打火机,燃烧子弹,燃烧响炮,篝火,星盘
  15. RR=175 anchor_m=151 Swiss=10 | 加速烙刀,绵鳚,潜水配重,六分仪,燃烧响炮,星盘,烈酒杯
  16. RR=165 anchor_m=164 Swiss=9 | 海影宝驹,星盘,吸血章鱼,消音器,六分仪,潜水配重,淬锋钢
  17. RR=168 anchor_m=158 Swiss=9 | 星盘,吸血章鱼,六分仪,蔻森娜纹章,牌桌,潜水配重,淬锋钢
  18. RR=166 anchor_m=157 Swiss=10 | 星盘,吸血章鱼,消音器,六分仪,潜水配重,炮弹,淬锋钢,枪套
  19. RR=162 anchor_m=162 Swiss=9 | 星盘,定制准镜,吸血章鱼,六分仪,潜水配重,淬锋钢,海影宝驹
  20. RR=168 anchor_m=143 Swiss=10 | 星盘,吸血章鱼,六分仪,牌桌,潜水配重,炮弹,淬锋钢

[GDF] seeds: 木桶
[GDF] size=10 top 20
  1. RR=258 anchor_m=30 Swiss=11 | 牌桌,马龙鱼,水车,木桶,淬锋钢
  2. RR=227 anchor_m=85 Swiss=11 | 小冰镐,木桶,珊瑚,水母,雪怪蟹,元素深水炸弹,绵鳚,海螺壳
  3. RR=236 anchor_m=58 Swiss=10 | 小冰镐,木桶,珊瑚,水母,雪怪蟹,元素深水炸弹,绵鳚,水草
  4. RR=215 anchor_m=86 Swiss=10 | 水草,绵鳚,小冰镐,木桶,潜水配重,水母,雪怪蟹,元素深水炸弹
  5. RR=217 anchor_m=54 Swiss=10 | 小冰镐,木桶,珊瑚,潜水配重,水母,雪怪蟹,元素深水炸弹,绵鳚
  6. RR=207 anchor_m=65 Swiss=11 | 小冰镐,木桶,珊瑚,迷幻蝠鲼,水母,雪怪蟹,元素深水炸弹,绵鳚
  7. RR=190 anchor_m=73 Swiss=10 | 小冰镐,飞鱼,木桶,珊瑚,水母,雪怪蟹,元素深水炸弹,绵鳚
  8. RR=190 anchor_m=70 Swiss=10 | 小冰镐,木桶,珊瑚,水母,雪怪蟹,元素深水炸弹,绵鳚,毒须鲶
  9. RR=172 anchor_m=101 Swiss=10 | 水草,绵鳚,小冰镐,木桶,迷幻蝠鲼,水母,雪怪蟹,元素深水炸弹
  10. RR=186 anchor_m=72 Swiss=10 | 小冰镐,绵鳚,木桶,潜水配重,迷幻蝠鲼,水母,雪怪蟹,元素深水炸弹
  11. RR=186 anchor_m=70 Swiss=10 | 水草,小冰镐,木桶,龙涎香,水母,雪怪蟹,元素深水炸弹,绵鳚
  12. RR=176 anchor_m=83 Swiss=10 | 珊瑚,小冰镐,绵鳚,木桶,珍珠,水母,雪怪蟹,元素深水炸弹
  13. RR=179 anchor_m=70 Swiss=10 | 理查森先生,小冰镐,木桶,珊瑚,水母,雪怪蟹,元素深水炸弹,绵鳚
  14. RR=185 anchor_m=54 Swiss=10 | 小冰镐,木桶,龙涎香,潜水配重,水母,雪怪蟹,元素深水炸弹,绵鳚
  15. RR=179 anchor_m=56 Swiss=11 | 小冰镐,木桶,珊瑚,水母,雪怪蟹,元素深水炸弹,绵鳚,龙涎香
  16. RR=170 anchor_m=73 Swiss=10 | 水草,潜水配重,元素深水炸弹,雪怪蟹,毒须鲶,鱼饵,木桶,小冰镐
  17. RR=169 anchor_m=72 Swiss=10 | 小冰镐,木桶,珊瑚,食人鱼,水母,雪怪蟹,元素深水炸弹,绵鳚
  18. RR=171 anchor_m=62 Swiss=11 | 小冰镐,木桶,龙涎香,迷幻蝠鲼,水母,雪怪蟹,元素深水炸弹,绵鳚
  19. RR=173 anchor_m=58 Swiss=11 | 小冰镐,绵鳚,木桶,潜水配重,水母,雪怪蟹,元素深水炸弹,理查森先生
  20. RR=171 anchor_m=56 Swiss=10 | 水草,小冰镐,木桶,潜水配重,水母,雪怪蟹,元素深水炸弹,珊瑚

[GDF] seeds: 枪套
[GDF] size=10 top 20
  1. RR=287 anchor_m=60 Swiss=11 | 枪套,篝火,毒须鲶,燃烧子弹,燃烧响炮,绵鳚,打火机,大钢弩
  2. RR=250 anchor_m=250 Swiss=11 | 枪套,篝火,毒须鲶,燃烧响炮,绵鳚,打火机,大钢弩,潜水配重
  3. RR=230 anchor_m=229 Swiss=10 | 枪套,篝火,毒须鲶,鹦鹉皮特,燃烧响炮,绵鳚,打火机,大钢弩
  4. RR=222 anchor_m=218 Swiss=11 | 枪套,篝火,毒须鲶,燃烧响炮,绵鳚,打火机,珊瑚,大钢弩
  5. RR=211 anchor_m=209 Swiss=10 | 大钢弩,枪套,毒须鲶,加速烙刀,绵鳚,潜水配重,燃烧响炮,烈酒杯
  6. RR=210 anchor_m=209 Swiss=10 | 小冰镐,枪套,篝火,毒须鲶,燃烧响炮,绵鳚,打火机,大钢弩
  7. RR=210 anchor_m=208 Swiss=10 | 枪套,篝火,毒须鲶,水母,燃烧响炮,绵鳚,打火机,大钢弩
  8. RR=211 anchor_m=200 Swiss=10 | 烈酒杯,大钢弩,枪套,毒须鲶,加速烙刀,绵鳚,潜水配重,飞鱼
  9. RR=202 anchor_m=197 Swiss=11 | 火药角,烈酒杯,大钢弩,枪套,毒须鲶,加速烙刀,绵鳚,潜水配重
  10. RR=200 anchor_m=199 Swiss=10 | 枪套,大钢弩,毒须鲶,加速烙刀,绵鳚,潜水配重,水母,燃烧响炮
  11. RR=195 anchor_m=195 Swiss=10 | 枪套,毒须鲶,加速烙刀,绵鳚,潜水配重,大钢弩,打火机,燃烧响炮
  12. RR=196 anchor_m=193 Swiss=10 | 烈酒杯,炮弹,大钢弩,枪套,毒须鲶,加速烙刀,绵鳚,潜水配重
  13. RR=193 anchor_m=193 Swiss=10 | 枪套,篝火,毒须鲶,葡萄弹,燃烧响炮,绵鳚,打火机,大钢弩
  14. RR=192 anchor_m=191 Swiss=10 | 枪套,篝火,毒须鲶,燃烧响炮,绵鳚,打火机,手雷,大钢弩
  15. RR=194 anchor_m=185 Swiss=11 | 枪套,篝火,毒须鲶,烈酒杯,燃烧响炮,绵鳚,打火机,大钢弩
  16. RR=184 anchor_m=184 Swiss=10 | 枪套,篝火,毒须鲶,燃烧响炮,绵鳚,藏刃匕首,打火机,大钢弩
  17. RR=184 anchor_m=182 Swiss=10 | 枪套,篝火,毒须鲶,燃烧响炮,绵鳚,打火机,飞鱼,大钢弩
  18. RR=183 anchor_m=183 Swiss=11 | 枪套,盐钳海盗,篝火,毒须鲶,燃烧响炮,绵鳚,打火机,大钢弩
  19. RR=186 anchor_m=171 Swiss=10 | 枪套,毒须鲶,潜水配重,水车,炮弹,大钢弩,珊瑚
  20. RR=177 anchor_m=176 Swiss=10 | 枪套,篝火,毒须鲶,燃烧响炮,绵鳚,打火机,大钢弩,拍立蚌

[GDF] seeds: 标枪
[GDF] size=10 top 20
  1. RR=253 anchor_m=252 Swiss=10 | 枪套,燃烧响炮,珊瑚,标枪,小冰镐,绵鳚,加速烙刀,打火机
  2. RR=235 anchor_m=235 Swiss=11 | 标枪,小冰镐,绵鳚,加速烙刀,燃烧响炮,烈酒杯,大钢弩
  3. RR=233 anchor_m=232 Swiss=11 | 燃烧响炮,珊瑚,枪套,藏刃匕首,标枪,小冰镐,绵鳚,加速烙刀
  4. RR=231 anchor_m=228 Swiss=10 | 燃烧响炮,枪套,打火机,藏刃匕首,标枪,小冰镐,绵鳚,加速烙刀
  5. RR=207 anchor_m=207 Swiss=10 | 珊瑚,标枪,小冰镐,绵鳚,加速烙刀,枪套,燃烧响炮,烈酒杯
  6. RR=204 anchor_m=204 Swiss=10 | 枪套,燃烧响炮,珊瑚,标枪,小冰镐,绵鳚,加速烙刀,潜水配重
  7. RR=202 anchor_m=202 Swiss=10 | 标枪,枪套,打火机,小冰镐,绵鳚,加速烙刀,理查森先生,燃烧响炮
  8. RR=200 anchor_m=200 Swiss=10 | 标枪,篝火,打火机,小冰镐,绵鳚,加速烙刀,燃烧响炮
  9. RR=200 anchor_m=200 Swiss=11 | 标枪,小冰镐,绵鳚,加速烙刀,藏刃匕首,烈酒杯,大钢弩
  10. RR=198 anchor_m=198 Swiss=11 | 标枪,枪套,打火机,流星索,小冰镐,绵鳚,加速烙刀,燃烧响炮
  11. RR=198 anchor_m=194 Swiss=10 | 潜水配重,燃烧响炮,枪套,打火机,标枪,小冰镐,绵鳚,加速烙刀
  12. RR=195 anchor_m=195 Swiss=10 | 标枪,打火机,珊瑚,小冰镐,绵鳚,加速烙刀,燃烧响炮,烈酒杯
  13. RR=191 anchor_m=190 Swiss=10 | 燃烧响炮,标枪,小冰镐,绵鳚,加速烙刀,打火机,烈酒杯,枪套
  14. RR=187 anchor_m=187 Swiss=10 | 燃烧响炮,枪套,藏刃匕首,标枪,小冰镐,绵鳚,加速烙刀,手斧
  15. RR=185 anchor_m=184 Swiss=10 | 燃烧响炮,流星索,枪套,藏刃匕首,标枪,小冰镐,绵鳚,加速烙刀
  16. RR=183 anchor_m=182 Swiss=11 | 烈酒杯,标枪,小冰镐,潜水配重,绵鳚,加速烙刀,大钢弩
