# gdf_enumerate_anchor_top1: full Top-K per anchor (last size tier only)
[GDF] seeds: 三花
[GDF] size=10 top 20
  1. RR=276 anchor_m=5 Swiss=11 | 篝火,打火机,燃烧子弹,三花,燃烧响炮,绵鳚,珊瑚,大钢弩
  16. RR=160 anchor_m=146 Swiss=9 | 蔻森娜纹章,珊瑚,恶鬼面具,拍立蚌,燃烧子弹,打火机,绵鳚,燃烧响炮,靴里剑
  17. RR=156 anchor_m=154 Swiss=10 | 蔻森娜纹章,恶鬼面具,打火机,绵鳚,燃烧响炮,燃烧子弹,套娃,葡萄弹,珍珠
  18. RR=158 anchor_m=148 Swiss=10 | 蔻森娜纹章,枪套,恶鬼面具,燃烧子弹,打火机,绵鳚,小冰镐,燃烧响炮,手雷
  19. RR=156 anchor_m=142 Swiss=10 | 蔻森娜纹章,手雷,恶鬼面具,打火机,绵鳚,燃烧响炮,燃烧子弹,葡萄弹,流星索
  20. RR=151 anchor_m=149 Swiss=11 | 蔻森娜纹章,靴里剑,恶鬼面具,淬锋钢,套娃,燃烧子弹,打火机,绵鳚,燃烧响炮

[GDF] seeds: 手斧
[GDF] size=10 top 20
  1. RR=241 anchor_m=137 Swiss=10 | 篝火,大钢弩,燃烧响炮,手斧,枪套,打火机,绵鳚,小冰镐
  2. RR=187 anchor_m=125 Swiss=9 | 燃烧响炮,手斧,枪套,打火机,大钢弩,绵鳚,加速烙刀,小冰镐
  3. RR=204 anchor_m=69 Swiss=10 | 大钢弩,燃烧响炮,手斧,枪套,打火机,绵鳚,小冰镐,标枪
  4. RR=207 anchor_m=57 Swiss=9 | 大钢弩,燃烧响炮,手斧,枪套,流星索,打火机,潜水配重,绵鳚,小冰镐
  5. RR=197 anchor_m=63 Swiss=10 | 救生圈,燃烧响炮,小冰镐,手斧,珊瑚,绵鳚,打火机,燃烧子弹,淬锋钢
  6. RR=194 anchor_m=68 Swiss=10 | 大钢弩,燃烧响炮,手斧,枪套,打火机,独角鲸,潜水配重,绵鳚,小冰镐
  7. RR=199 anchor_m=37 Swiss=9 | 大钢弩,燃烧响炮,手斧,枪套,打火机,燃烧子弹,潜水配重,绵鳚,小冰镐
  8. RR=194 anchor_m=42 Swiss=9 | 大钢弩,燃烧响炮,手斧,烈酒杯,枪套,打火机,潜水配重,绵鳚,小冰镐
  9. RR=162 anchor_m=104 Swiss=10 | 大钢弩,燃烧响炮,手斧,救生圈,枪套,打火机,绵鳚,小冰镐
  10. RR=169 anchor_m=80 Swiss=9 | 救生圈,燃烧响炮,手斧,打火机,绵鳚,小冰镐,珊瑚,火炮
  11. RR=177 anchor_m=64 Swiss=9 | 大钢弩,燃烧响炮,手斧,十手,枪套,打火机,潜水配重,绵鳚,小冰镐
  12. RR=175 anchor_m=67 Swiss=9 | 救生圈,燃烧响炮,葡萄弹,手斧,火炮,珊瑚,绵鳚,打火机
  13. RR=173 anchor_m=71 Swiss=9 | 大钢弩,燃烧响炮,手斧,枪套,打火机,绵鳚,小冰镐,流星索,藏刃匕首
  14. RR=170 anchor_m=69 Swiss=10 | 大钢弩,燃烧响炮,手斧,左轮手枪,枪套,打火机,潜水配重,绵鳚,小冰镐
  15. RR=175 anchor_m=59 Swiss=9 | 大钢弩,燃烧响炮,手斧,枪套,打火机,潜水配重,绵鳚,小冰镐,水草
  16. RR=196 anchor_m=15 Swiss=9 | 大钢弩,燃烧响炮,手斧,枪套,打火机,飞鱼,潜水配重,绵鳚,小冰镐
  17. RR=176 anchor_m=48 Swiss=11 | 大钢弩,燃烧响炮,手斧,枪套,手雷,打火机,潜水配重,绵鳚,小冰镐
  18. RR=173 anchor_m=45 Swiss=9 | 大钢弩,燃烧响炮,手斧,枪套,吸血章鱼,打火机,潜水配重,绵鳚,小冰镐
  19. RR=173 anchor_m=43 Swiss=10 | 大钢弩,雪怪蟹,燃烧响炮,手斧,枪套,打火机,潜水配重,绵鳚,小冰镐
  20. RR=176 anchor_m=35 Swiss=10 | 大钢弩,燃烧响炮,手斧,枪套,打火机,食人鱼,潜水配重,绵鳚,小冰镐

[GDF] seeds: 手里剑
[GDF] size=10 top 20
  1. RR=276 anchor_m=8 Swiss=11 | 手里剑,大钢弩,珊瑚,篝火,打火机,燃烧子弹,燃烧响炮,绵鳚
  2. RR=207 anchor_m=167 Swiss=10 | 手里剑,燃烧子弹,打火机,大钢弩,绵鳚,加速烙刀,燃烧响炮,枪套
  3. RR=188 anchor_m=186 Swiss=10 | 手里剑,燃烧子弹,打火机,绵鳚,加速烙刀,燃烧响炮,枪套,鱼雷
  4. RR=219 anchor_m=113 Swiss=10 | 手里剑,燃烧子弹,打火机,绵鳚,加速烙刀,燃烧响炮,枪套,救生圈
  5. RR=264 anchor_m=13 Swiss=10 | 手里剑,大钢弩,枪套,珊瑚,篝火,打火机,燃烧子弹,燃烧响炮
  6. RR=249 anchor_m=23 Swiss=11 | 手里剑,大钢弩,潜水配重,珊瑚,篝火,打火机,燃烧子弹,燃烧响炮
  7. RR=229 anchor_m=37 Swiss=10 | 手里剑,大钢弩,珊瑚,篝火,打火机,燃烧子弹,套娃,燃烧响炮
  8. RR=235 anchor_m=17 Swiss=11 | 手里剑,打火机,加速烙刀,绵鳚,篝火,燃烧响炮,救生圈
  9. RR=198 anchor_m=85 Swiss=10 | 淬锋钢,手里剑,大钢弩,珊瑚,篝火,打火机,燃烧子弹,燃烧响炮
  10. RR=182 anchor_m=113 Swiss=10 | 手里剑,消音器,大钢弩,珊瑚,篝火,打火机,燃烧子弹,燃烧响炮
  11. RR=218 anchor_m=22 Swiss=11 | 手里剑,大钢弩,烈酒杯,珊瑚,篝火,打火机,燃烧子弹,燃烧响炮
  12. RR=200 anchor_m=51 Swiss=10 | 手里剑,大钢弩,舱底蠕虫,珊瑚,篝火,打火机,燃烧子弹,燃烧响炮
  13. RR=210 anchor_m=31 Swiss=10 | 手里剑,藏刃匕首,大钢弩,珊瑚,篝火,打火机,燃烧子弹,燃烧响炮
  14. RR=209 anchor_m=33 Swiss=10 | 手里剑,大钢弩,珊瑚,篝火,打火机,燃烧子弹,拍立蚌,燃烧响炮
  15. RR=203 anchor_m=27 Swiss=11 | 枪套,手里剑,理查森先生,绵鳚,打火机,加速烙刀,篝火,燃烧响炮
  16. RR=199 anchor_m=31 Swiss=11 | 流星索,手里剑,大钢弩,珊瑚,篝火,打火机,燃烧子弹,燃烧响炮
  17. RR=180 anchor_m=67 Swiss=10 | 手里剑,大钢弩,手斧,珊瑚,篝火,打火机,燃烧子弹,燃烧响炮
  18. RR=200 anchor_m=20 Swiss=10 | 手里剑,大钢弩,珊瑚,理查森先生,篝火,打火机,燃烧子弹,燃烧响炮
  19. RR=167 anchor_m=86 Swiss=10 | 手里剑,刺刀,大钢弩,珊瑚,篝火,打火机,燃烧子弹,燃烧响炮
  20. RR=195 anchor_m=23 Swiss=10 | 手里剑,燃烧子弹,打火机,绵鳚,理查森先生,加速烙刀,篝火,燃烧响炮

[GDF] seeds: 手雷
[GDF] size=10 top 20
  1. RR=271 anchor_m=68 Swiss=11 | 救生圈,手雷,燃烧响炮,枪套,打火机,加速烙刀,篝火
  2. RR=208 anchor_m=118 Swiss=9 | 救生圈,手雷,填弹杆,步枪,小冰镐,珊瑚,葡萄弹
  3. RR=181 anchor_m=166 Swiss=10 | 救生圈,手雷,填弹杆,步枪,标枪,葡萄弹
  4. RR=253 anchor_m=20 Swiss=11 | 手雷,烈酒杯,燃烧响炮,打火机,救生圈,加速烙刀,篝火
  5. RR=253 anchor_m=20 Swiss=11 | 手雷,燃烧响炮,打火机,救生圈,加速烙刀,绵鳚,篝火
  6. RR=241 anchor_m=43 Swiss=11 | 手雷,救生圈,燃烧响炮,燃烧子弹,打火机,绵鳚,加速烙刀,珊瑚
  7. RR=240 anchor_m=45 Swiss=11 | 手雷,燃烧响炮,救生圈,打火机,燃烧子弹,加速烙刀,篝火
  8. RR=199 anchor_m=119 Swiss=9 | 手雷,炮弹,火炮,绵鳚,燃烧响炮,珊瑚,救生圈,打火机
  9. RR=183 anchor_m=115 Swiss=10 | 救生圈,手雷,填弹杆,步枪,绵鳚,葡萄弹,手斧
  10. RR=173 anchor_m=135 Swiss=10 | 救生圈,手雷,填弹杆,步枪,小冰镐,手斧,葡萄弹
  11. RR=168 anchor_m=140 Swiss=10 | 救生圈,小冰镐,手雷,炮弹,燃烧响炮,绵鳚,打火机,燃烧子弹,淬锋钢
  12. RR=177 anchor_m=120 Swiss=10 | 手雷,流星索,火炮,拍立蚌,燃烧响炮,绵鳚,打火机,鱼雷
  13. RR=170 anchor_m=132 Swiss=10 | 救生圈,手雷,填弹杆,步枪,葡萄弹,流星索,手斧
  14. RR=179 anchor_m=103 Swiss=10 | 救生圈,手雷,炮弹,燃烧响炮,绵鳚,打火机,燃烧子弹,淬锋钢,珊瑚
  15. RR=165 anchor_m=127 Swiss=10 | 手雷,火炮,燃烧响炮,绵鳚,潜水配重,葡萄弹,打火机,鱼雷
  16. RR=157 anchor_m=142 Swiss=10 | 救生圈,靴里剑,手雷,填弹杆,步枪,葡萄弹,手斧
  17. RR=163 anchor_m=125 Swiss=10 | 救生圈,手雷,填弹杆,步枪,绵鳚,藏刃匕首,葡萄弹
  18. RR=212 anchor_m=20 Swiss=9 | 手雷,燃烧响炮,打火机,燃烧子弹,加速烙刀,篝火,珊瑚护甲
  19. RR=151 anchor_m=141 Swiss=10 | 手斧,手雷,炮弹,燃烧响炮,绵鳚,打火机,救生圈,火炮
  20. RR=158 anchor_m=118 Swiss=10 | 手雷,填弹杆,步枪,绵鳚,救生圈,葡萄弹,流星索

[GDF] seeds: 打火机
[GDF] size=10 top 20
  1. RR=280 anchor_m=221 Swiss=11 | 大钢弩,篝火,燃烧响炮,燃烧子弹,打火机,绵鳚,加速烙刀
  2. RR=228 anchor_m=215 Swiss=11 | 理查森先生,绵鳚,燃烧响炮,燃烧子弹,打火机,篝火,珊瑚,大钢弩
  3. RR=226 anchor_m=198 Swiss=10 | 大钢弩,燃烧响炮,打火机,标枪,篝火,加速烙刀
  4. RR=221 anchor_m=202 Swiss=11 | 大钢弩,燃烧响炮,拍立蚌,燃烧子弹,打火机,篝火,绵鳚,理查森先生
  5. RR=219 anchor_m=200 Swiss=10 | 燃烧响炮,燃烧子弹,打火机,标枪,篝火,珊瑚,大钢弩
  6. RR=207 anchor_m=203 Swiss=10 | 手雷,枪套,燃烧响炮,燃烧子弹,打火机,大钢弩,绵鳚,加速烙刀
  7. RR=206 anchor_m=201 Swiss=10 | 枪套,燃烧响炮,燃烧子弹,打火机,大钢弩,绵鳚,加速烙刀,流星索
  8. RR=213 anchor_m=178 Swiss=10 | 枪套,燃烧响炮,燃烧子弹,打火机,藏刃匕首,大钢弩,绵鳚,加速烙刀
  9. RR=201 anchor_m=194 Swiss=10 | 枪套,燃烧响炮,燃烧子弹,打火机,湿件战服,绵鳚,加速烙刀,流星索
  10. RR=199 anchor_m=198 Swiss=10 | 靴里剑,枪套,燃烧响炮,燃烧子弹,打火机,大钢弩,绵鳚,加速烙刀
  11. RR=197 anchor_m=197 Swiss=10 | 燃烧响炮,燃烧子弹,打火机,篝火,大钢弩,加速烙刀,枪套
  12. RR=213 anchor_m=160 Swiss=10 | 枪套,燃烧响炮,燃烧子弹,打火机,小冰镐,湿件战服,绵鳚,加速烙刀
  13. RR=198 anchor_m=176 Swiss=10 | 流星索,绵鳚,燃烧响炮,燃烧子弹,打火机,篝火,珊瑚,大钢弩
  14. RR=198 anchor_m=171 Swiss=10 | 枪套,燃烧响炮,燃烧子弹,打火机,小冰镐,大钢弩,绵鳚,加速烙刀
  15. RR=190 anchor_m=179 Swiss=10 | 燃烧响炮,绵鳚,拍立蚌,燃烧子弹,打火机,篝火,珊瑚,大钢弩
  16. RR=184 anchor_m=164 Swiss=10 | 枪套,燃烧响炮,燃烧子弹,打火机,鱼雷,潜水配重,绵鳚,加速烙刀
  17. RR=184 anchor_m=164 Swiss=10 | 大钢弩,枪套,燃烧响炮,燃烧子弹,打火机,篝火,绵鳚,理查森先生
  18. RR=186 anchor_m=155 Swiss=11 | 藏刃匕首,绵鳚,燃烧响炮,燃烧子弹,打火机,篝火,珊瑚,大钢弩
  19. RR=179 anchor_m=169 Swiss=10 | 葡萄弹,枪套,燃烧响炮,燃烧子弹,打火机,湿件战服,绵鳚,加速烙刀
  20. RR=179 anchor_m=168 Swiss=11 | 燃烧响炮,绵鳚,套娃,燃烧子弹,打火机,篝火,珊瑚,大钢弩

[GDF] seeds: 抓钩
[GDF] size=10 top 20
  1. RR=222 anchor_m=63 Swiss=11 | 大钢弩,绵鳚,枪套,火药角,烈酒杯,抓钩,十手,皮皮虾,拍立蚌
  2. RR=203 anchor_m=72 Swiss=10 | 大钢弩,绵鳚,迷幻蝠鲼,火药角,烈酒杯,抓钩,十手,枪套,皮皮虾
  3. RR=184 anchor_m=86 Swiss=10 | 大钢弩,绵鳚,火药角,烈酒杯,抓钩,鹦鹉皮特,十手,枪套,皮皮虾
  4. RR=179 anchor_m=90 Swiss=10 | 枪套,绵鳚,大钢弩,烈酒杯,炮弹,抓钩,十手,皮皮虾,燃烧响炮
  5. RR=184 anchor_m=79 Swiss=10 | 大钢弩,绵鳚,火药角,烈酒杯,抓钩,套娃,十手,枪套,皮皮虾
  6. RR=197 anchor_m=39 Swiss=11 | 大钢弩,绵鳚,烈酒杯,炮弹,枪套,抓钩,拍立蚌,十手,皮皮虾
  7. RR=206 anchor_m=19 Swiss=11 | 大钢弩,绵鳚,火药角,烈酒杯,抓钩,十手,枪套,流星索,皮皮虾
  8. RR=193 anchor_m=30 Swiss=11 | 大钢弩,绵鳚,火药角,烈酒杯,抓钩,小冰镐,十手,枪套,皮皮虾
  9. RR=174 anchor_m=59 Swiss=10 | 大钢弩,救生圈,火药角,烈酒杯,抓钩,十手,枪套,皮皮虾
  10. RR=161 anchor_m=79 Swiss=10 | 大钢弩,绵鳚,火药角,烈酒杯,食人鱼,抓钩,十手,枪套,皮皮虾
  11. RR=165 anchor_m=71 Swiss=10 | 枪套,绵鳚,大钢弩,烈酒杯,炮弹,抓钩,十手,皮皮虾,靴里剑
  12. RR=182 anchor_m=36 Swiss=10 | 大钢弩,绵鳚,火药角,烈酒杯,抓钩,十手,藏刃匕首,枪套,皮皮虾
  13. RR=159 anchor_m=80 Swiss=10 | 手斧,枪套,绵鳚,大钢弩,烈酒杯,炮弹,抓钩,十手,皮皮虾
  14. RR=171 anchor_m=56 Swiss=10 | 雪怪蟹,大钢弩,绵鳚,火药角,烈酒杯,抓钩,十手,枪套,皮皮虾
  15. RR=162 anchor_m=67 Swiss=10 | 大钢弩,绵鳚,水草,火药角,烈酒杯,抓钩,十手,枪套,皮皮虾
  16. RR=181 anchor_m=27 Swiss=11 | 大钢弩,绵鳚,火药角,烈酒杯,抓钩,葡萄弹,十手,枪套,皮皮虾
  17. RR=175 anchor_m=38 Swiss=10 | 大钢弩,绵鳚,火药角,烈酒杯,手斧,抓钩,十手,枪套,皮皮虾
  18. RR=164 anchor_m=57 Swiss=10 | 枪套,绵鳚,大钢弩,烈酒杯,炮弹,抓钩,葡萄弹,十手,皮皮虾
  19. RR=188 anchor_m=5 Swiss=10 | 大钢弩,绵鳚,火药角,烈酒杯,抓钩,十手,枪套,燃烧响炮,皮皮虾
  20. RR=149 anchor_m=76 Swiss=9 | 大钢弩,绵鳚,火药角,烈酒杯,抓钩,十手,枪套,集成式HUD,皮皮虾

[GDF] seeds: 抛石机
[GDF] size=10 top 20
  1. RR=249 anchor_m=249 Swiss=11 | 枪套,燃烧响炮,潜水配重,绵鳚,大钢弩,小冰镐,抛石机
  2. RR=242 anchor_m=240 Swiss=11 | 燃烧响炮,潜水配重,绵鳚,大钢弩,抛石机,枪套,藏刃匕首
  3. RR=237 anchor_m=237 Swiss=11 | 打火机,燃烧响炮,绵鳚,篝火,抛石机,救生圈
  4. RR=236 anchor_m=236 Swiss=10 | 燃烧子弹,燃烧响炮,篝火,绵鳚,抛石机,救生圈
  5. RR=234 anchor_m=234 Swiss=11 | 燃烧响炮,拍立蚌,潜水配重,绵鳚,大钢弩,抛石机,枪套
  6. RR=234 anchor_m=234 Swiss=10 | 燃烧响炮,潜水配重,绵鳚,大钢弩,流星索,抛石机,枪套
  7. RR=234 anchor_m=230 Swiss=10 | 燃烧响炮,水母,潜水配重,绵鳚,大钢弩,抛石机,枪套
  8. RR=225 anchor_m=222 Swiss=10 | 燃烧响炮,飞鱼,潜水配重,绵鳚,大钢弩,抛石机,枪套
  9. RR=211 anchor_m=211 Swiss=10 | 燃烧响炮,潜水配重,绵鳚,大钢弩,抛石机,枪套,抓钩
  10. RR=210 anchor_m=210 Swiss=10 | 燃烧响炮,潜水配重,绵鳚,大钢弩,打火机,抛石机,枪套
  11. RR=209 anchor_m=209 Swiss=10 | 燃烧响炮,珊瑚,潜水配重,绵鳚,大钢弩,抛石机,枪套
  12. RR=203 anchor_m=203 Swiss=10 | 靴里剑,燃烧响炮,潜水配重,绵鳚,大钢弩,抛石机,枪套
  13. RR=201 anchor_m=201 Swiss=10 | 燃烧响炮,独角鲸,潜水配重,绵鳚,大钢弩,抛石机,枪套
  14. RR=196 anchor_m=196 Swiss=10 | 燃烧响炮,潜水配重,绵鳚,大钢弩,抛石机,枪套,左轮手枪
  15. RR=194 anchor_m=194 Swiss=9 | 枪套,燃烧响炮,救生圈,潜水配重,绵鳚,小冰镐,抛石机
  16. RR=191 anchor_m=191 Swiss=10 | 燃烧响炮,潜水配重,绵鳚,大钢弩,抛石机,十手,枪套
  17. RR=188 anchor_m=188 Swiss=10 | 迷你弯刀,燃烧响炮,潜水配重,绵鳚,大钢弩,抛石机,枪套
  18. RR=187 anchor_m=187 Swiss=10 | 燃烧响炮,燃烧子弹,潜水配重,绵鳚,大钢弩,抛石机,枪套
  19. RR=186 anchor_m=186 Swiss=10 | 燃烧响炮,水草,潜水配重,绵鳚,大钢弩,抛石机,枪套
  20. RR=185 anchor_m=185 Swiss=11 | 燃烧响炮,吸血章鱼,潜水配重,绵鳚,大钢弩,抛石机,枪套

[GDF] seeds: 拍立蚌
[GDF] size=10 top 20
  1. RR=213 anchor_m=88 Swiss=10 | 十手,火药角,烈酒杯,枪套,流星索,皮皮虾,绵鳚,大钢弩,拍立蚌
  2. RR=195 anchor_m=98 Swiss=10 | 十手,理查森先生,火药角,烈酒杯,枪套,皮皮虾,绵鳚,大钢弩,拍立蚌
  3. RR=191 anchor_m=102 Swiss=10 | 十手,雪怪蟹,火药角,烈酒杯,枪套,皮皮虾,绵鳚,大钢弩,拍立蚌
  4. RR=207 anchor_m=68 Swiss=11 | 十手,燃烧响炮,火药角,烈酒杯,枪套,皮皮虾,绵鳚,大钢弩,拍立蚌
  5. RR=198 anchor_m=85 Swiss=11 | 打火机,十手,火药角,烈酒杯,枪套,皮皮虾,绵鳚,大钢弩,拍立蚌
  6. RR=185 anchor_m=102 Swiss=10 | 潜水配重,十手,火药角,烈酒杯,枪套,皮皮虾,绵鳚,大钢弩,拍立蚌
  7. RR=185 anchor_m=93 Swiss=11 | 十手,火药角,烈酒杯,枪套,皮皮虾,绵鳚,大钢弩,拍立蚌,迷幻蝠鲼
  8. RR=184 anchor_m=90 Swiss=10 | 十手,火药角,烈酒杯,小冰镐,枪套,皮皮虾,大钢弩,绵鳚,拍立蚌
  9. RR=191 anchor_m=75 Swiss=10 | 十手,火药角,烈酒杯,藏刃匕首,枪套,皮皮虾,绵鳚,大钢弩,拍立蚌
  10. RR=183 anchor_m=81 Swiss=10 | 十手,火药角,烈酒杯,枪套,皮皮虾,绵鳚,大钢弩,拍立蚌,飞鱼
  11. RR=179 anchor_m=89 Swiss=10 | 十手,火药角,烈酒杯,鹦鹉皮特,枪套,皮皮虾,绵鳚,大钢弩,拍立蚌
  12. RR=175 anchor_m=97 Swiss=10 | 十手,火药角,烈酒杯,燃烧子弹,枪套,皮皮虾,绵鳚,大钢弩,拍立蚌
  13. RR=175 anchor_m=96 Swiss=11 | 十手,火药角,烈酒杯,枪套,皮皮虾,大钢弩,绵鳚,三花,拍立蚌
  14. RR=174 anchor_m=98 Swiss=10 | 十手,火药角,烈酒杯,海螺壳,枪套,皮皮虾,绵鳚,大钢弩,拍立蚌
  15. RR=166 anchor_m=111 Swiss=9 | 十手,刺刀,火药角,烈酒杯,枪套,皮皮虾,绵鳚,大钢弩,拍立蚌
  16. RR=181 anchor_m=80 Swiss=10 | 十手,火药角,烈酒杯,枪套,皮皮虾,绵鳚,大钢弩,拍立蚌,靴里剑
  17. RR=183 anchor_m=70 Swiss=10 | 流星索,枪套,大钢弩,绵鳚,十手,烈酒杯,炮弹,皮皮虾,拍立蚌
  18. RR=176 anchor_m=79 Swiss=10 | 十手,宠物石,火药角,烈酒杯,枪套,皮皮虾,绵鳚,大钢弩,拍立蚌
  19. RR=172 anchor_m=86 Swiss=10 | 十手,火药角,烈酒杯,迷你弯刀,枪套,皮皮虾,绵鳚,大钢弩,拍立蚌
  20. RR=163 anchor_m=102 Swiss=10 | 十手,火药角,手雷,烈酒杯,枪套,皮皮虾,绵鳚,大钢弩,拍立蚌

[GDF] seeds: 救生圈
[GDF] size=10 top 20
  1. RR=288 anchor_m=175 Swiss=12 | 加速烙刀,绵鳚,篝火,打火机,燃烧子弹,救生圈,燃烧响炮
  2. RR=260 anchor_m=236 Swiss=11 | 加速烙刀,绵鳚,篝火,打火机,救生圈,燃烧响炮,枪套
  3. RR=249 anchor_m=227 Swiss=11 | 加速烙刀,绵鳚,篝火,打火机,救生圈,燃烧响炮,烈酒杯
  4. RR=229 anchor_m=217 Swiss=10 | 加速烙刀,篝火,打火机,燃烧子弹,套娃,救生圈,燃烧响炮
  5. RR=219 anchor_m=217 Swiss=11 | 藏刃匕首,加速烙刀,绵鳚,篝火,打火机,救生圈,燃烧响炮
  6. RR=225 anchor_m=163 Swiss=11 | 救生圈,淬锋钢,带刃悬浮板,潜水配重,船长舱,小冰镐
  7. RR=209 anchor_m=192 Swiss=11 | 加速烙刀,篝火,打火机,燃烧子弹,流星索,救生圈,燃烧响炮
  8. RR=211 anchor_m=187 Swiss=10 | 加速烙刀,篝火,打火机,燃烧子弹,拍立蚌,救生圈,燃烧响炮
  9. RR=205 anchor_m=196 Swiss=11 | 加速烙刀,篝火,打火机,燃烧子弹,烈酒杯,救生圈,燃烧响炮
  10. RR=191 anchor_m=186 Swiss=9 | 珊瑚,绵鳚,元素深水炸弹,雪怪蟹,水母,珍珠,救生圈,小冰镐
  11. RR=196 anchor_m=176 Swiss=10 | 加速烙刀,绵鳚,篝火,打火机,流星索,救生圈,燃烧响炮
  12. RR=184 anchor_m=181 Swiss=10 | 加速烙刀,绵鳚,篝火,打火机,潜水配重,救生圈,燃烧响炮
  13. RR=186 anchor_m=172 Swiss=10 | 小冰镐,加速烙刀,绵鳚,篝火,打火机,救生圈,燃烧响炮
  14. RR=183 anchor_m=177 Swiss=11 | 加速烙刀,绵鳚,篝火,打火机,淬锋钢,救生圈,燃烧响炮
  15. RR=182 anchor_m=178 Swiss=10 | 加速烙刀,绵鳚,篝火,打火机,救生圈,燃烧响炮,葡萄弹
  16. RR=179 anchor_m=178 Swiss=9 | 加速烙刀,绵鳚,篝火,打火机,飞鱼,救生圈,燃烧响炮
  17. RR=176 anchor_m=159 Swiss=10 | 加速烙刀,绵鳚,篝火,打火机,蔻森娜纹章,救生圈,燃烧响炮
  18. RR=163 anchor_m=162 Swiss=9 | 加速烙刀,绵鳚,篝火,打火机,救生圈,靴里剑,燃烧响炮
  19. RR=167 anchor_m=151 Swiss=10 | 海螺壳,毒须鲶,雪怪蟹,元素深水炸弹,绵鳚,救生圈,小冰镐,珊瑚
  20. RR=164 anchor_m=156 Swiss=10 | 水草,绵鳚,元素深水炸弹,雪怪蟹,水母,珍珠,救生圈,小冰镐

[GDF] seeds: 旗舰
[GDF] size=10 top 20
  1. RR=232 anchor_m=227 Swiss=10 | 鱼雷,拍立蚌,燃烧响炮,绵鳚,旗舰,蔻森娜纹章,淬锋钢
  2. RR=203 anchor_m=203 Swiss=10 | 理查森先生,旗舰,鸦巢,潜水配重,珊瑚,淬锋钢
  3. RR=197 anchor_m=197 Swiss=10 | 理查森先生,潜水配重,旗舰,淬锋钢,鸦巢,蔻森娜纹章
  4. RR=195 anchor_m=195 Swiss=11 | 鱼雷,燃烧响炮,绵鳚,旗舰,淬锋钢,打火机,拍立蚌
  5. RR=196 anchor_m=191 Swiss=11 | 鱼雷,燃烧响炮,绵鳚,旗舰,套娃,蔻森娜纹章,淬锋钢
  6. RR=192 anchor_m=192 Swiss=10 | 鱼雷,燃烧响炮,绵鳚,旗舰,淬锋钢,龙涎香,打火机
  7. RR=186 anchor_m=186 Swiss=9 | 旗舰,潜水配重,淬锋钢,蔻森娜纹章,雪怪蟹,鸦巢
  8. RR=184 anchor_m=184 Swiss=11 | 旗舰,蔻森娜纹章,鸦巢,潜水配重,水母,淬锋钢
  9. RR=183 anchor_m=183 Swiss=10 | 理查森先生,潜水配重,龙涎香,淬锋钢,鸦巢,旗舰
  10. RR=182 anchor_m=182 Swiss=10 | 旗舰,蔻森娜纹章,迷幻蝠鲼,鸦巢,潜水配重,淬锋钢
  11. RR=177 anchor_m=177 Swiss=10 | 旗舰,鸦巢,毒须鲶,珊瑚,潜水配重,淬锋钢
  12. RR=176 anchor_m=176 Swiss=11 | 鱼雷,手雷,燃烧响炮,绵鳚,旗舰,蔻森娜纹章,淬锋钢
  13. RR=176 anchor_m=175 Swiss=10 | 鱼雷,燃烧响炮,绵鳚,旗舰,流星索,蔻森娜纹章,淬锋钢
  14. RR=175 anchor_m=175 Swiss=10 | 鱼雷,手斧,燃烧响炮,绵鳚,旗舰,蔻森娜纹章,淬锋钢
  15. RR=174 anchor_m=174 Swiss=10 | 淬锋钢,雪怪蟹,潜水配重,鸦巢,旗舰,龙涎香
  16. RR=173 anchor_m=173 Swiss=10 | 旗舰,潜水配重,淬锋钢,蔻森娜纹章,毒须鲶,鸦巢
  17. RR=170 anchor_m=170 Swiss=10 | 旗舰,潜水配重,定制准镜,淬锋钢,蔻森娜纹章,鸦巢
  18. RR=170 anchor_m=170 Swiss=10 | 鱼雷,燃烧响炮,葡萄弹,绵鳚,旗舰,蔻森娜纹章,淬锋钢
  19. RR=168 anchor_m=168 Swiss=10 | 吸血章鱼,鱼雷,燃烧响炮,绵鳚,旗舰,蔻森娜纹章,淬锋钢
  20. RR=165 anchor_m=161 Swiss=9 | 燃烧响炮,拍立蚌,绵鳚,打火机,蔻森娜纹章,旗舰,鱼雷

[GDF] seeds: 星图
[GDF] size=10 top 20
  1. RR=233 anchor_m=51 Swiss=10 | 救生圈,燃烧响炮,星图,打火机,篝火,加速烙刀
  2. RR=223 anchor_m=126 Swiss=9 | 救生圈,淬锋钢,湿件战服,珊瑚,星图,小冰镐,消音器
  3. RR=197 anchor_m=142 Swiss=11 | 淬锋钢,燃烧响炮,打火机,湿件战服,珊瑚,星图,小冰镐,消音器
  4. RR=187 anchor_m=160 Swiss=10 | 淬锋钢,燃烧响炮,湿件战服,雪怪蟹,珊瑚,星图,小冰镐,消音器
  5. RR=190 anchor_m=149 Swiss=11 | 流星索,大钢弩,绵鳚,燃烧响炮,星图,打火机,篝火
  6. RR=229 anchor_m=68 Swiss=11 | 大钢弩,绵鳚,燃烧响炮,星图,打火机,篝火,枪套
  7. RR=225 anchor_m=67 Swiss=10 | 大钢弩,珊瑚,绵鳚,燃烧响炮,星图,打火机,篝火
  8. RR=229 anchor_m=58 Swiss=10 | 救生圈,燃烧响炮,星图,打火机,燃烧子弹,小冰镐,绵鳚,珊瑚
