# gdf_enumerate_anchor_top1: full Top-K per anchor (last size tier only)
[GDF] seeds: 三花
[GDF] size=6 top 20
  1. RR=262 anchor_m=246 Swiss=9 | 靴里剑,三花,左轮手枪,手斧,鲨齿爪
  4. RR=199 anchor_m=193 Swiss=8 | 抓钩,燃烧响炮,打火机,绵鳚,皮皮虾,毒须鲶
  5. RR=221 anchor_m=143 Swiss=9 | 马龙鱼,手斧,抓钩,飞鱼,淬锋钢
  6. RR=218 anchor_m=125 Swiss=8 | 抓钩,燃烧响炮,葡萄弹,打火机,绵鳚,毒须鲶
  7. RR=204 anchor_m=142 Swiss=8 | 抓钩,海螺壳,绵鳚,迷幻蝠鲼,毒须鲶,皮皮虾
  8. RR=215 anchor_m=101 Swiss=9 | 水草,马龙鱼,抓钩,飞鱼,淬锋钢
  9. RR=223 anchor_m=80 Swiss=9 | 火药角,手雷,绵鳚,葡萄弹,抓钩,手斧
  10. RR=185 anchor_m=147 Swiss=8 | 靴里剑,手斧,抓钩,淬锋钢,马龙鱼
  11. RR=201 anchor_m=105 Swiss=9 | 火药角,手雷,舱底蠕虫,葡萄弹,抓钩,手斧
  12. RR=185 anchor_m=118 Swiss=8 | 火药角,手雷,葡萄弹,抓钩,流星索,手斧
  13. RR=171 anchor_m=135 Swiss=9 | 皮皮虾,火药角,手雷,抓钩,流星索,葡萄弹
  14. RR=176 anchor_m=121 Swiss=8 | 马龙鱼,珊瑚,抓钩,飞鱼,淬锋钢
  15. RR=186 anchor_m=99 Swiss=9 | 火药角,手雷,葡萄弹,珊瑚,抓钩,手斧
  16. RR=176 anchor_m=118 Swiss=8 | 左轮手枪,火药角,手雷,葡萄弹,抓钩,手斧
  17. RR=175 anchor_m=96 Swiss=9 | 淬锋钢,火药角,手雷,葡萄弹,抓钩,手斧
  18. RR=161 anchor_m=121 Swiss=8 | 马龙鱼,抓钩,手斧,淬锋钢,左轮手枪
  19. RR=176 anchor_m=87 Swiss=8 | 珊瑚,淬锋钢,马龙鱼,绵鳚,抓钩
  20. RR=157 anchor_m=125 Swiss=8 | 皮皮虾,火药角,手雷,抓钩,手斧,葡萄弹

[GDF] seeds: 救生圈
[GDF] size=6 top 20
  1. RR=282 anchor_m=233 Swiss=10 | 马龙鱼,救生圈,飞鱼,淬锋钢
  2. RR=263 anchor_m=234 Swiss=9 | 雪怪蟹,毒须鲶,绵鳚,水草,救生圈
  3. RR=249 anchor_m=238 Swiss=9 | 救生圈,藏刃匕首,淬锋钢,马龙鱼
  4. RR=241 anchor_m=241 Swiss=9 | 救生圈,独角鲸,弹簧刀,飞鱼,淬锋钢
  5. RR=246 anchor_m=231 Swiss=8 | 救生圈,淬锋钢,马龙鱼,手斧
  6. RR=240 anchor_m=235 Swiss=8 | 马龙鱼,独角鲸,救生圈,淬锋钢
  7. RR=232 anchor_m=213 Swiss=9 | 水草,绵鳚,毒须鲶,水母,救生圈
  8. RR=221 anchor_m=219 Swiss=8 | 救生圈,毒须鲶,绵鳚,水草,珊瑚
  9. RR=220 anchor_m=217 Swiss=8 | 迷你弯刀,马龙鱼,淬锋钢,救生圈
  10. RR=219 anchor_m=218 Swiss=8 | 救生圈,迷你弯刀,弹簧刀,飞鱼,淬锋钢
  11. RR=226 anchor_m=203 Swiss=9 | 水草,救生圈,珊瑚,飞鱼,淬锋钢
  12. RR=218 anchor_m=213 Swiss=8 | 珍珠,水草,绵鳚,毒须鲶,救生圈
  13. RR=216 anchor_m=216 Swiss=8 | 水草,救生圈,海螺壳,飞鱼,淬锋钢
  14. RR=218 anchor_m=211 Swiss=8 | 救生圈,马龙鱼,靴里剑,淬锋钢
  15. RR=212 anchor_m=208 Swiss=9 | 水草,救生圈,迷幻蝠鲼,飞鱼,淬锋钢
  16. RR=224 anchor_m=166 Swiss=9 | 水草,救生圈,鱼饵,飞鱼,淬锋钢
  17. RR=200 anchor_m=197 Swiss=8 | 水草,救生圈,水母,飞鱼,淬锋钢
  18. RR=198 anchor_m=198 Swiss=8 | 救生圈,弹簧刀,飞鱼,淬锋钢,水草
  19. RR=199 anchor_m=195 Swiss=8 | 水草,海螺壳,绵鳚,毒须鲶,救生圈
  20. RR=200 anchor_m=180 Swiss=9 | 水草,绵鳚,毒须鲶,救生圈,打火机

[GDF] seeds: 星图
[GDF] size=6 top 20
  1. RR=235 anchor_m=50 Swiss=8 | 舱底蠕虫,淬锋钢,星图,马龙鱼
  2. RR=190 anchor_m=140 Swiss=9 | 独角鲸,弹簧刀,迷你弯刀,星图,淬锋钢
  3. RR=210 anchor_m=99 Swiss=8 | 藏刃匕首,沙滩充气球,星图,毒须鲶
  4. RR=227 anchor_m=51 Swiss=10 | 淬锋钢,星图,马龙鱼,手斧
  5. RR=179 anchor_m=135 Swiss=8 | 毒须鲶,珊瑚,迷你弯刀,星图,淬锋钢
  6. RR=165 anchor_m=147 Swiss=8 | 靴里剑,星图,沙滩充气球,毒须鲶
  7. RR=186 anchor_m=104 Swiss=9 | 水草,海螺壳,独角鲸,星图,淬锋钢
  8. RR=177 anchor_m=121 Swiss=8 | 左轮手枪,弹簧刀,迷你弯刀,星图,淬锋钢
  9. RR=197 anchor_m=72 Swiss=8 | 水草,独角鲸,星图,淬锋钢,毒须鲶
  10. RR=202 anchor_m=59 Swiss=9 | 迷你弯刀,马龙鱼,星图,淬锋钢
  11. RR=164 anchor_m=132 Swiss=8 | 珊瑚护甲,迷你弯刀,星图,淬锋钢
  12. RR=196 anchor_m=64 Swiss=8 | 水草,星图,毒须鲶,飞鱼,淬锋钢
  13. RR=169 anchor_m=117 Swiss=8 | 迷你弯刀,星图,淬锋钢,水草,珊瑚
  14. RR=165 anchor_m=121 Swiss=8 | 水草,迷你弯刀,星图,淬锋钢,毒须鲶
  15. RR=168 anchor_m=112 Swiss=9 | 水草,弹簧刀,独角鲸,星图,淬锋钢
  16. RR=184 anchor_m=74 Swiss=8 | 水草,星图,毒须鲶,绵鳚,珊瑚
  17. RR=202 anchor_m=30 Swiss=9 | 靴里剑,星图,马龙鱼,淬锋钢
  18. RR=160 anchor_m=103 Swiss=9 | 藏刃匕首,弹簧刀,独角鲸,星图,淬锋钢
  19. RR=150 anchor_m=123 Swiss=8 | 珊瑚,水母,迷你弯刀,星图,淬锋钢
  20. RR=152 anchor_m=116 Swiss=8 | 毒须鲶,水母,迷你弯刀,星图,淬锋钢

[GDF] seeds: 木桶
[GDF] size=6 top 20
  1. RR=270 anchor_m=93 Swiss=8 | 水草,淬锋钢,木桶,马龙鱼
  2. RR=265 anchor_m=110 Swiss=8 | 淬锋钢,木桶,马龙鱼,水母
  3. RR=260 anchor_m=103 Swiss=10 | 淬锋钢,木桶,马龙鱼,毒须鲶
  4. RR=266 anchor_m=86 Swiss=8 | 淬锋钢,木桶,马龙鱼,珊瑚
  5. RR=224 anchor_m=165 Swiss=9 | 水草,绵鳚,毒须鲶,木桶,打火机
  6. RR=249 anchor_m=98 Swiss=9 | 淬锋钢,木桶,马龙鱼,迷幻蝠鲼
  7. RR=248 anchor_m=94 Swiss=9 | 淬锋钢,木桶,马龙鱼,雪怪蟹
  8. RR=245 anchor_m=84 Swiss=9 | 沙滩充气球,毒须鲶,木桶,藏刃匕首
  9. RR=229 anchor_m=96 Swiss=8 | 燃烧响炮,淬锋钢,木桶,马龙鱼
  10. RR=231 anchor_m=78 Swiss=9 | 淬锋钢,木桶,马龙鱼,珍珠
  11. RR=225 anchor_m=89 Swiss=8 | 淬锋钢,木桶,马龙鱼,鱼饵
  12. RR=231 anchor_m=75 Swiss=9 | 淬锋钢,木桶,马龙鱼,龙涎香
  13. RR=228 anchor_m=68 Swiss=8 | 淬锋钢,木桶,弹簧刀,马龙鱼
  14. RR=226 anchor_m=71 Swiss=8 | 打火机,淬锋钢,木桶,马龙鱼
  15. RR=211 anchor_m=64 Swiss=9 | 淬锋钢,木桶,马龙鱼,海螺壳
  16. RR=185 anchor_m=99 Swiss=8 | 水草,绵鳚,毒须鲶,木桶,藏刃匕首
  17. RR=203 anchor_m=56 Swiss=9 | 火药角,淬锋钢,木桶,马龙鱼
  18. RR=176 anchor_m=103 Swiss=8 | 钓鱼竿,毒须鲶,木桶,水草
  19. RR=165 anchor_m=115 Swiss=8 | 水草,绵鳚,毒须鲶,木桶,鱼饵
  20. RR=155 anchor_m=131 Swiss=8 | 水草,绵鳚,毒须鲶,木桶,独角鲸

[GDF] seeds: 步枪
[GDF] size=6 top 20
  1. RR=222 anchor_m=222 Swiss=9 | 手雷,填弹杆,步枪,靴里剑
  2. RR=219 anchor_m=219 Swiss=9 | 绵鳚,步枪,填弹杆,手雷
  3. RR=216 anchor_m=216 Swiss=9 | 葡萄弹,手雷,填弹杆,步枪
  4. RR=211 anchor_m=207 Swiss=9 | 淬锋钢,手雷,填弹杆,步枪
  5. RR=206 anchor_m=206 Swiss=8 | 靴里剑,葡萄弹,火药角,步枪,手斧
  6. RR=204 anchor_m=204 Swiss=10 | 手雷,填弹杆,步枪,手斧
  7. RR=199 anchor_m=199 Swiss=9 | 珊瑚,手雷,填弹杆,步枪
  8. RR=195 anchor_m=195 Swiss=8 | 流星索,手雷,填弹杆,步枪
  9. RR=192 anchor_m=192 Swiss=9 | 流星索,填弹杆,步枪,淬锋钢
  10. RR=181 anchor_m=181 Swiss=8 | 藏刃匕首,手雷,填弹杆,步枪
  11. RR=181 anchor_m=181 Swiss=8 | 流星索,填弹杆,步枪,手斧
  12. RR=180 anchor_m=180 Swiss=8 | 绵鳚,步枪,填弹杆,流星索
  13. RR=179 anchor_m=179 Swiss=8 | 舱底蠕虫,手斧,火药角,步枪,葡萄弹
  14. RR=178 anchor_m=178 Swiss=9 | 淬锋钢,珊瑚,填弹杆,步枪
  15. RR=178 anchor_m=178 Swiss=8 | 淬锋钢,填弹杆,步枪,葡萄弹
  16. RR=175 anchor_m=175 Swiss=8 | 手雷,填弹杆,步枪,弹簧刀
  17. RR=173 anchor_m=173 Swiss=8 | 舱底蠕虫,手雷,填弹杆,步枪
  18. RR=171 anchor_m=171 Swiss=8 | 葡萄弹,火药角,步枪,手斧,抓钩
  19. RR=166 anchor_m=166 Swiss=8 | 葡萄弹,流星索,填弹杆,步枪
  20. RR=165 anchor_m=165 Swiss=8 | 抓钩,手雷,填弹杆,步枪

[GDF] seeds: 武士刀
[GDF] size=6 top 20
  1. RR=284 anchor_m=284 Swiss=9 | 靴里剑,手斧,弹簧刀,武士刀,淬锋钢
  2. RR=280 anchor_m=272 Swiss=9 | 舱底蠕虫,手斧,弹簧刀,武士刀,淬锋钢
  3. RR=276 anchor_m=276 Swiss=9 | 手斧,弹簧刀,武士刀,刺刀,淬锋钢
  4. RR=253 anchor_m=253 Swiss=8 | 鲨齿爪,弹簧刀,武士刀,手斧
  5. RR=242 anchor_m=242 Swiss=9 | 珊瑚,左轮手枪,弹簧刀,武士刀,淬锋钢
  6. RR=242 anchor_m=242 Swiss=9 | 葡萄弹,手斧,左轮手枪,弹簧刀,武士刀
  7. RR=241 anchor_m=241 Swiss=9 | 靴里剑,手斧,弹簧刀,武士刀,刺刀
  8. RR=239 anchor_m=239 Swiss=9 | 手斧,左轮手枪,弹簧刀,武士刀,淬锋钢
  9. RR=232 anchor_m=232 Swiss=8 | 鲨齿爪,弹簧刀,武士刀,刺刀
  10. RR=222 anchor_m=222 Swiss=8 | 武士刀,木桶,淬锋钢,珊瑚
  11. RR=219 anchor_m=219 Swiss=8 | 手斧,左轮手枪,弹簧刀,武士刀,刺刀
  12. RR=216 anchor_m=215 Swiss=9 | 马龙鱼,弹簧刀,武士刀,淬锋钢
  13. RR=214 anchor_m=214 Swiss=8 | 手斧,藏刃匕首,弹簧刀,武士刀,淬锋钢
  14. RR=209 anchor_m=209 Swiss=8 | 手斧,弹簧刀,武士刀,淬锋钢,珊瑚
  15. RR=204 anchor_m=204 Swiss=8 | 手斧,独角鲸,弹簧刀,武士刀,淬锋钢
  16. RR=200 anchor_m=200 Swiss=8 | 手斧,流星索,弹簧刀,武士刀,淬锋钢
  17. RR=194 anchor_m=194 Swiss=8 | 珊瑚,武士刀,弹簧刀,飞鱼,淬锋钢
  18. RR=190 anchor_m=190 Swiss=8 | 手斧,左轮手枪,弹簧刀,武士刀,靴里剑
  19. RR=188 anchor_m=188 Swiss=9 | 水草,武士刀,木桶,淬锋钢
  20. RR=180 anchor_m=180 Swiss=8 | 鲨齿爪,弹簧刀,武士刀,靴里剑

[GDF] seeds: 毒须鲶
[GDF] size=6 top 20
  1. RR=266 anchor_m=57 Swiss=9 | 毒须鲶,海底热泉,绵鳚,打火机,燃烧响炮
  2. RR=245 anchor_m=238 Swiss=10 | 珊瑚,水母,雪怪蟹,毒须鲶,绵鳚,水草
  3. RR=226 anchor_m=226 Swiss=9 | 珍珠,水母,雪怪蟹,毒须鲶,绵鳚,水草
  4. RR=243 anchor_m=179 Swiss=9 | 毒须鲶,鹦鹉皮特,绵鳚,打火机,燃烧响炮,淬锋钢
  5. RR=216 anchor_m=213 Swiss=8 | 海螺壳,水母,雪怪蟹,毒须鲶,绵鳚,水草
  6. RR=202 anchor_m=195 Swiss=8 | 毒须鲶,鹦鹉皮特,绵鳚,打火机,水草,燃烧响炮
  7. RR=214 anchor_m=151 Swiss=8 | 毒须鲶,鹦鹉皮特,绵鳚,打火机,燃烧响炮,葡萄弹
  8. RR=186 anchor_m=186 Swiss=8 | 龙涎香,水母,雪怪蟹,毒须鲶,绵鳚,水草
  9. RR=221 anchor_m=105 Swiss=9 | 淬锋钢,飞鱼,马龙鱼,水草,毒须鲶
  10. RR=184 anchor_m=162 Swiss=9 | 海螺壳,雪怪蟹,毒须鲶,绵鳚,水草,珊瑚
  11. RR=225 anchor_m=71 Swiss=8 | 火炮,毒须鲶,绵鳚,打火机,燃烧响炮
  12. RR=192 anchor_m=125 Swiss=8 | 皮皮虾,水母,迷幻蝠鲼,毒须鲶,绵鳚,水草
  13. RR=165 anchor_m=165 Swiss=7 | 毒须鲶,鹦鹉皮特,绵鳚,打火机,海螺壳,燃烧响炮
  14. RR=161 anchor_m=161 Swiss=8 | 独角鲸,水母,雪怪蟹,毒须鲶,绵鳚,水草
  15. RR=164 anchor_m=151 Swiss=8 | 鱼饵,海螺壳,雪怪蟹,毒须鲶,绵鳚,水草
  16. RR=157 anchor_m=157 Swiss=9 | 迷幻蝠鲼,水母,雪怪蟹,毒须鲶,绵鳚,水草
  17. RR=162 anchor_m=144 Swiss=8 | 珍珠,雪怪蟹,毒须鲶,绵鳚,水草,海螺壳
  18. RR=164 anchor_m=130 Swiss=9 | 毒须鲶,鹦鹉皮特,绵鳚,打火机,燃烧响炮,藏刃匕首
  19. RR=168 anchor_m=122 Swiss=8 | 靴里剑,毒须鲶,鹦鹉皮特,绵鳚,打火机,燃烧响炮
  20. RR=151 anchor_m=151 Swiss=8 | 海螺壳,雪怪蟹,毒须鲶,绵鳚,水草,独角鲸

[GDF] seeds: 水母
[GDF] size=6 top 20
  1. RR=273 anchor_m=91 Swiss=9 | 淬锋钢,飞鱼,水母,马龙鱼,水草
  2. RR=260 anchor_m=254 Swiss=10 | 水草,绵鳚,毒须鲶,雪怪蟹,水母,珊瑚
  3. RR=251 anchor_m=250 Swiss=9 | 水草,绵鳚,毒须鲶,雪怪蟹,水母,珍珠
  4. RR=239 anchor_m=228 Swiss=9 | 水草,绵鳚,毒须鲶,雪怪蟹,水母,海螺壳
  5. RR=222 anchor_m=221 Swiss=9 | 水草,绵鳚,毒须鲶,雪怪蟹,水母,独角鲸
  6. RR=219 anchor_m=216 Swiss=8 | 淬锋钢,飞鱼,水母,雪怪蟹,毒须鲶,水草
  7. RR=216 anchor_m=216 Swiss=8 | 水草,绵鳚,毒须鲶,雪怪蟹,水母,迷幻蝠鲼
  8. RR=222 anchor_m=187 Swiss=8 | 水草,绵鳚,毒须鲶,雪怪蟹,水母,鱼饵
  9. RR=209 anchor_m=208 Swiss=8 | 水草,绵鳚,毒须鲶,雪怪蟹,水母,飞鱼
  10. RR=209 anchor_m=207 Swiss=8 | 独角鲸,水母,雪怪蟹,毒须鲶,水草,淬锋钢
  11. RR=208 anchor_m=208 Swiss=8 | 水草,绵鳚,毒须鲶,雪怪蟹,水母,龙涎香
  12. RR=210 anchor_m=195 Swiss=9 | 水草,绵鳚,毒须鲶,迷幻蝠鲼,水母,皮皮虾
  13. RR=228 anchor_m=125 Swiss=9 | 独角鲸,水母,马龙鱼,淬锋钢,水草
  14. RR=190 anchor_m=176 Swiss=9 | 水草,绵鳚,毒须鲶,迷幻蝠鲼,水母,海螺壳
  15. RR=227 anchor_m=99 Swiss=8 | 手斧,淬锋钢,飞鱼,水母,马龙鱼
  16. RR=174 anchor_m=174 Swiss=8 | 打火机,水草,绵鳚,毒须鲶,水母,海螺壳
  17. RR=176 anchor_m=164 Swiss=9 | 皮皮虾,绵鳚,迷幻蝠鲼,水母,流星索,抓钩
  18. RR=167 anchor_m=160 Swiss=8 | 火药角,流星索,绵鳚,皮皮虾,迷幻蝠鲼,水母
  19. RR=168 anchor_m=155 Swiss=8 | 淬锋钢,飞鱼,水母,珍珠,珊瑚,水草
  20. RR=250 anchor_m=-10 Swiss=9 | 淬锋钢,飞鱼,水母,弹簧刀,马龙鱼

[GDF] seeds: 水草
[GDF] size=6 top 20
  1. RR=284 anchor_m=132 Swiss=10 | 水草,淬锋钢,飞鱼,弹簧刀,马龙鱼
  2. RR=259 anchor_m=210 Swiss=9 | 淬锋钢,马龙鱼,绵鳚,水草,飞鱼
  3. RR=235 anchor_m=215 Swiss=8 | 水草,淬锋钢,飞鱼,迷幻蝠鲼,马龙鱼
  4. RR=254 anchor_m=153 Swiss=9 | 淬锋钢,马龙鱼,绵鳚,水草,手斧
  5. RR=248 anchor_m=160 Swiss=8 | 水草,淬锋钢,飞鱼,手斧,马龙鱼
  6. RR=220 anchor_m=205 Swiss=8 | 水草,珊瑚,淬锋钢,飞鱼,马龙鱼
  7. RR=216 anchor_m=203 Swiss=8 | 马龙鱼,水草,淬锋钢,飞鱼,海螺壳
  8. RR=223 anchor_m=182 Swiss=8 | 淬锋钢,马龙鱼,绵鳚,水草,独角鲸
  9. RR=239 anchor_m=138 Swiss=9 | 淬锋钢,马龙鱼,弹簧刀,独角鲸,水草
  10. RR=226 anchor_m=140 Swiss=8 | 淬锋钢,马龙鱼,绵鳚,水草,藏刃匕首
  11. RR=211 anchor_m=151 Swiss=9 | 淬锋钢,马龙鱼,弹簧刀,水草,珊瑚
  12. RR=228 anchor_m=104 Swiss=9 | 淬锋钢,马龙鱼,弹簧刀,左轮手枪,水草
  13. RR=188 anchor_m=184 Swiss=8 | 水草,珍珠,淬锋钢,飞鱼,马龙鱼
  14. RR=220 anchor_m=83 Swiss=8 | 淬锋钢,马龙鱼,弹簧刀,水草,舱底蠕虫
  15. RR=210 anchor_m=101 Swiss=9 | 淬锋钢,马龙鱼,弹簧刀,手斧,水草
  16. RR=178 anchor_m=157 Swiss=8 | 水草,淬锋钢,飞鱼,流星索,马龙鱼
  17. RR=173 anchor_m=161 Swiss=8 | 水草,淬锋钢,飞鱼,靴里剑,马龙鱼
  18. RR=191 anchor_m=124 Swiss=8 | 淬锋钢,马龙鱼,绵鳚,靴里剑,水草
  19. RR=179 anchor_m=147 Swiss=9 | 马龙鱼,手斧,独角鲸,淬锋钢,水草
  20. RR=176 anchor_m=153 Swiss=8 | 淬锋钢,马龙鱼,弹簧刀,海螺壳,水草

[GDF] seeds: 沙滩充气球
[GDF] size=6 top 20
  1. RR=245 anchor_m=237 Swiss=9 | 水草,沙滩充气球,绵鳚,毒须鲶,藏刃匕首
  2. RR=228 anchor_m=213 Swiss=8 | 手斧,弹簧刀,独角鲸,沙滩充气球,淬锋钢
  3. RR=230 anchor_m=202 Swiss=9 | 藏刃匕首,舱底蠕虫,毒须鲶,淬锋钢,沙滩充气球
  4. RR=214 anchor_m=213 Swiss=8 | 藏刃匕首,弹簧刀,独角鲸,沙滩充气球,淬锋钢
  5. RR=208 anchor_m=206 Swiss=9 | 水草,沙滩充气球,绵鳚,毒须鲶,雪怪蟹
  6. RR=206 anchor_m=204 Swiss=8 | 水草,沙滩充气球,绵鳚,毒须鲶,珊瑚
  7. RR=204 anchor_m=204 Swiss=8 | 水草,淬锋钢,沙滩充气球,绵鳚,毒须鲶
  8. RR=205 anchor_m=194 Swiss=9 | 水草,独角鲸,沙滩充气球,毒须鲶,淬锋钢
  9. RR=196 anchor_m=196 Swiss=9 | 沙滩充气球,绵鳚,毒须鲶,打火机,水草
  10. RR=193 anchor_m=186 Swiss=8 | 靴里剑,沙滩充气球,藏刃匕首,淬锋钢,毒须鲶
  11. RR=190 anchor_m=189 Swiss=8 | 水草,海螺壳,沙滩充气球,绵鳚,毒须鲶
  12. RR=190 anchor_m=178 Swiss=8 | 靴里剑,弹簧刀,独角鲸,沙滩充气球,淬锋钢
  13. RR=198 anchor_m=147 Swiss=8 | 舱底蠕虫,水草,毒须鲶,淬锋钢,沙滩充气球
  14. RR=178 anchor_m=171 Swiss=8 | 沙滩充气球,毒须鲶,水草,藏刃匕首,淬锋钢
  15. RR=179 anchor_m=169 Swiss=8 | 迷你弯刀,弹簧刀,独角鲸,沙滩充气球,淬锋钢
  16. RR=175 anchor_m=173 Swiss=8 | 藏刃匕首,淬锋钢,沙滩充气球,绵鳚,毒须鲶
  17. RR=178 anchor_m=163 Swiss=9 | 左轮手枪,弹簧刀,独角鲸,沙滩充气球,淬锋钢
  18. RR=176 anchor_m=144 Swiss=8 | 舱底蠕虫,手斧,毒须鲶,淬锋钢,沙滩充气球
  19. RR=174 anchor_m=141 Swiss=8 | 舱底蠕虫,靴里剑,毒须鲶,淬锋钢,沙滩充气球
  20. RR=162 anchor_m=162 Swiss=8 | 水草,抓钩,沙滩充气球,绵鳚,毒须鲶

[GDF] seeds: 流星索
[GDF] size=6 top 20
  1. RR=268 anchor_m=179 Swiss=9 | 燃烧响炮,流星索,皮皮虾,迷幻蝠鲼,绵鳚,打火机
  2. RR=224 anchor_m=197 Swiss=9 | 流星索,打火机,绵鳚,皮皮虾,迷幻蝠鲼,鹦鹉皮特
  3. RR=206 anchor_m=200 Swiss=8 | 流星索,燃烧响炮,皮皮虾,绵鳚,迷幻蝠鲼,鹦鹉皮特
  4. RR=196 anchor_m=192 Swiss=9 | 流星索,抓钩,皮皮虾,绵鳚,迷幻蝠鲼,鹦鹉皮特
  5. RR=251 anchor_m=48 Swiss=9 | 流星索,皮皮虾,迷幻蝠鲼,绵鳚,水草,海螺壳
  6. RR=204 anchor_m=133 Swiss=10 | 火药角,步枪,流星索,葡萄弹,淬锋钢
  7. RR=174 anchor_m=173 Swiss=8 | 燃烧响炮,流星索,皮皮虾,迷幻蝠鲼,绵鳚,葡萄弹
  8. RR=214 anchor_m=73 Swiss=9 | 流星索,步枪,填弹杆,手雷
  9. RR=227 anchor_m=39 Swiss=8 | 毒须鲶,绵鳚,水草,珍珠,海螺壳,流星索
  10. RR=159 anchor_m=156 Swiss=8 | 燃烧响炮,流星索,皮皮虾,绵鳚,迷幻蝠鲼,飞鱼
  11. RR=158 anchor_m=157 Swiss=8 | 葡萄弹,流星索,皮皮虾,绵鳚,迷幻蝠鲼,鹦鹉皮特
  12. RR=156 anchor_m=156 Swiss=7 | 流星索,皮皮虾,绵鳚,迷幻蝠鲼,鹦鹉皮特,水母
  13. RR=205 anchor_m=55 Swiss=8 | 珍珠,流星索,皮皮虾,迷幻蝠鲼,绵鳚,水草
  14. RR=214 anchor_m=32 Swiss=8 | 毒须鲶,绵鳚,水草,海螺壳,流星索,珊瑚
  15. RR=195 anchor_m=67 Swiss=8 | 流星索,皮皮虾,迷幻蝠鲼,绵鳚,水草,珊瑚
  16. RR=151 anchor_m=151 Swiss=9 | 流星索,打火机,绵鳚,皮皮虾,迷幻蝠鲼,毒须鲶
  17. RR=151 anchor_m=151 Swiss=8 | 流星索,手斧,皮皮虾,绵鳚,迷幻蝠鲼,鹦鹉皮特
  18. RR=195 anchor_m=36 Swiss=9 | 毒须鲶,绵鳚,水草,海螺壳,流星索,鱼饵
  19. RR=142 anchor_m=142 Swiss=8 | 流星索,皮皮虾,绵鳚,迷幻蝠鲼,食人鱼,打火机
  20. RR=159 anchor_m=108 Swiss=8 | 打火机,流星索,皮皮虾,迷幻蝠鲼,绵鳚,水草

[GDF] seeds: 海底热泉
[GDF] size=6 top 20
  1. RR=291 anchor_m=291 Swiss=10 | 燃烧响炮,葡萄弹,打火机,绵鳚,海底热泉
  2. RR=280 anchor_m=280 Swiss=9 | 珊瑚,打火机,绵鳚,海底热泉,燃烧响炮
  3. RR=274 anchor_m=274 Swiss=9 | 打火机,绵鳚,海底热泉,海螺壳,燃烧响炮
  4. RR=271 anchor_m=271 Swiss=9 | 燃烧响炮,靴里剑,打火机,绵鳚,海底热泉
  5. RR=265 anchor_m=265 Swiss=9 | 燃烧响炮,打火机,绵鳚,海底热泉,舱底蠕虫
  6. RR=265 anchor_m=265 Swiss=8 | 燃烧响炮,打火机,绵鳚,海底热泉,流星索
  7. RR=263 anchor_m=263 Swiss=9 | 燃烧响炮,淬锋钢,打火机,绵鳚,海底热泉
  8. RR=261 anchor_m=261 Swiss=8 | 珍珠,燃烧响炮,打火机,绵鳚,海底热泉
  9. RR=256 anchor_m=256 Swiss=9 | 燃烧响炮,打火机,绵鳚,海底热泉,水草
  10. RR=254 anchor_m=254 Swiss=8 | 燃烧响炮,手斧,打火机,绵鳚,海底热泉
  11. RR=253 anchor_m=253 Swiss=9 | 手雷,燃烧响炮,打火机,绵鳚,海底热泉
  12. RR=247 anchor_m=247 Swiss=9 | 燃烧响炮,打火机,绵鳚,海底热泉,藏刃匕首
  13. RR=222 anchor_m=222 Swiss=8 | 龙涎香,燃烧响炮,打火机,绵鳚,海底热泉
  14. RR=221 anchor_m=221 Swiss=8 | 打火机,绵鳚,海底热泉,燃烧响炮,皮皮虾
  15. RR=215 anchor_m=215 Swiss=8 | 水草,打火机,绵鳚,海底热泉,海螺壳
  16. RR=194 anchor_m=194 Swiss=8 | 燃烧响炮,抓钩,打火机,绵鳚,海底热泉
  17. RR=191 anchor_m=191 Swiss=8 | 燃烧响炮,飞鱼,打火机,绵鳚,海底热泉
  18. RR=192 anchor_m=187 Swiss=8 | 燃烧响炮,打火机,绵鳚,海底热泉,毒须鲶
  19. RR=186 anchor_m=186 Swiss=8 | 左轮手枪,燃烧响炮,打火机,绵鳚,海底热泉
  20. RR=184 anchor_m=184 Swiss=8 | 燃烧响炮,三花,打火机,绵鳚,海底热泉

[GDF] seeds: 海螺壳
[GDF] size=6 top 20
  1. RR=287 anchor_m=32 Swiss=10 | 海螺壳,淬锋钢,马龙鱼,弹簧刀,飞鱼
  2. RR=274 anchor_m=144 Swiss=9 | 水草,绵鳚,毒须鲶,雪怪蟹,水母,海螺壳
  3. RR=257 anchor_m=115 Swiss=9 | 水草,海螺壳,淬锋钢,马龙鱼,飞鱼
  4. RR=274 anchor_m=60 Swiss=9 | 马龙鱼,弹簧刀,独角鲸,海螺壳,淬锋钢
  5. RR=213 anchor_m=180 Swiss=8 | 海螺壳,雪怪蟹,毒须鲶,绵鳚,水草,打火机
  6. RR=225 anchor_m=148 Swiss=9 | 水草,海螺壳,淬锋钢,飞鱼,弹簧刀,独角鲸
  7. RR=201 anchor_m=145 Swiss=9 | 鱼饵,海螺壳,水草,淬锋钢,飞鱼,珊瑚
  8. RR=200 anchor_m=138 Swiss=8 | 水草,马龙鱼,独角鲸,海螺壳,淬锋钢
  9. RR=194 anchor_m=146 Swiss=9 | 海螺壳,雪怪蟹,毒须鲶,绵鳚,水草,鱼饵
