# gdf_enumerate_anchor_top1: full Top-K per anchor (last size tier only)
[GDF] seeds: 云精灵
[GDF] size=8 top 20
  1. RR=258 anchor_m=85 Swiss=10 | 红宝石,火焰药水,彩虹药水,鳄鱼眼泪,香炉,煅烧釜,云精灵
  10. RR=196 anchor_m=145 Swiss=9 | 彩虹药水,塔兹迪亚匕首,真菌孢子,鳄鱼眼泪,倒刺利爪,毒液,地刺陷阱,毒液注射
  11. RR=183 anchor_m=165 Swiss=8 | 彩虹药水,塔兹迪亚匕首,真菌孢子,鳄鱼眼泪,倒刺利爪,毒液,地刺陷阱,碎瓶
  12. RR=180 anchor_m=170 Swiss=8 | 翡翠,毒蜥,彩虹药水,塔兹迪亚匕首,鳄鱼眼泪,真菌孢子,毒液,地刺陷阱
  13. RR=176 anchor_m=171 Swiss=8 | 毒蜥,翡翠,彩虹药水,塔兹迪亚匕首,真菌孢子,蜡烛,毒液
  14. RR=172 anchor_m=168 Swiss=8 | 鳄鱼眼泪,瓶装闪电,塔兹迪亚匕首,地刺陷阱,真菌孢子,倒刺利爪,毒液,毒液注射
  15. RR=200 anchor_m=111 Swiss=8 | 鳄鱼眼泪,翡翠,毒液注射,彩虹药水,塔兹迪亚匕首,真菌孢子,倒刺利爪,毒液
  16. RR=223 anchor_m=57 Swiss=8 | 翡翠,塔兹迪亚匕首,真菌孢子,鳄鱼眼泪,倒刺利爪,毒液,毒液注射,地刺陷阱
  17. RR=186 anchor_m=127 Swiss=8 | 真菌孢子,地刺陷阱,毒芹,彩虹药水,塔兹迪亚匕首,翡翠,曲颈甑
  18. RR=195 anchor_m=104 Swiss=9 | 翡翠,毒液注射,彩虹药水,塔兹迪亚匕首,真菌孢子,倒刺利爪,毒液,地刺陷阱
  19. RR=194 anchor_m=105 Swiss=8 | 真菌孢子,翡翠,地刺陷阱,彩虹药水,塔兹迪亚匕首,毒蜥,曲颈甑
  20. RR=174 anchor_m=130 Swiss=8 | 毒蜥,翡翠,水蛭,彩虹药水,塔兹迪亚匕首,真菌孢子,毒液

[GDF] seeds: 展示玻璃球
[GDF] size=8 top 20
  1. RR=280 anchor_m=280 Swiss=8 | 火焰药水,瓶装闪电,香炉,红宝石,煅烧釜,展示玻璃球
  2. RR=279 anchor_m=279 Swiss=10 | 展示玻璃球,瓶装闪电,红宝石,永恒火炬,彩虹药水,火焰药水
  3. RR=279 anchor_m=277 Swiss=9 | 彩虹药水,瓶装闪电,香炉,红宝石,煅烧釜,展示玻璃球
  4. RR=274 anchor_m=271 Swiss=9 | 红宝石,香炉,彩虹药水,火焰药水,煅烧釜,展示玻璃球
  5. RR=269 anchor_m=269 Swiss=9 | 瓶装闪电,香炉,永恒火炬,火焰药水,红宝石,展示玻璃球
  6. RR=267 anchor_m=267 Swiss=9 | 香炉,永恒火炬,红宝石,火焰药水,彩虹药水,展示玻璃球
  7. RR=270 anchor_m=235 Swiss=8 | 红宝石,香炉,鳄鱼眼泪,彩虹药水,煅烧釜,展示玻璃球
  8. RR=254 anchor_m=254 Swiss=9 | 火焰药水,展示玻璃球,红宝石,永恒火炬,鳄鱼眼泪,彩虹药水
  9. RR=247 anchor_m=247 Swiss=9 | 瓶装闪电,香炉,永恒火炬,彩虹药水,展示玻璃球,红宝石
  10. RR=242 anchor_m=242 Swiss=9 | 展示玻璃球,瓶装闪电,红宝石,永恒火炬,彩虹药水,鳄鱼眼泪
  11. RR=232 anchor_m=232 Swiss=8 | 碎瓶,火焰药水,展示玻璃球,红宝石,永恒火炬,彩虹药水
  12. RR=232 anchor_m=232 Swiss=8 | 香炉,鳄鱼眼泪,彩虹药水,煅烧釜,碎瓶,展示玻璃球
  13. RR=219 anchor_m=219 Swiss=8 | 展示玻璃球,红宝石,火焰药水,瓶装闪电,碎瓶,永恒火炬
  14. RR=214 anchor_m=214 Swiss=8 | 展示玻璃球,彩虹药水,香炉,红宝石,鳄鱼眼泪,永恒火炬
  15. RR=214 anchor_m=213 Swiss=8 | 香炉,萤火虫,彩虹药水,红宝石,煅烧釜,展示玻璃球
  16. RR=209 anchor_m=209 Swiss=8 | 瓶装闪电,香炉,鳄鱼眼泪,红宝石,煅烧釜,展示玻璃球
  17. RR=205 anchor_m=205 Swiss=8 | 红宝石,香炉,彩虹药水,煅烧釜,展示玻璃球,碎瓶
  18. RR=200 anchor_m=200 Swiss=8 | 火焰药水,展示玻璃球,萤火虫,红宝石,永恒火炬,彩虹药水
  19. RR=187 anchor_m=187 Swiss=9 | 瓶装闪电,香炉,红宝石,煅烧釜,展示玻璃球,碎瓶
  20. RR=183 anchor_m=183 Swiss=9 | 展示玻璃球,红宝石,火焰药水,鳄鱼眼泪,瓶装闪电,永恒火炬

[GDF] seeds: 彩虹药水
[GDF] size=8 top 20
  1. RR=282 anchor_m=148 Swiss=10 | 真菌孢子,倒刺利爪,毒液,鳄鱼眼泪,彩虹药水,地刺陷阱,翡翠,毒液注射
  2. RR=245 anchor_m=225 Swiss=8 | 真菌孢子,香炉,倒刺利爪,毒液,鳄鱼眼泪,彩虹药水,翡翠,毒液注射
  3. RR=235 anchor_m=234 Swiss=8 | 真菌孢子,倒刺利爪,毒液,彩虹药水,蜡烛,翡翠,毒液注射
  4. RR=231 anchor_m=231 Swiss=8 | 真菌孢子,倒刺利爪,毒液,鳄鱼眼泪,萤火虫,彩虹药水,翡翠,毒液注射
  5. RR=229 anchor_m=220 Swiss=9 | 真菌孢子,倒刺利爪,毒液,鳄鱼眼泪,火焰药水,彩虹药水,翡翠,毒液注射
  6. RR=223 anchor_m=202 Swiss=8 | 真菌孢子,倒刺利爪,毒液,地刺陷阱,彩虹药水,翡翠,贤者之石,毒液注射
  7. RR=216 anchor_m=205 Swiss=8 | 毒蜥,真菌孢子,倒刺利爪,毒液,彩虹药水,翡翠,鳄鱼眼泪,毒液注射
  8. RR=222 anchor_m=182 Swiss=9 | 真菌孢子,地刺陷阱,倒刺利爪,毒液,彩虹药水,翡翠,毒蜥,毒液注射
  9. RR=219 anchor_m=185 Swiss=9 | 毒芹,真菌孢子,倒刺利爪,毒液,地刺陷阱,彩虹药水,翡翠,毒液注射
  10. RR=216 anchor_m=176 Swiss=8 | 真菌孢子,倒刺利爪,毒液,地刺陷阱,黑玫瑰,彩虹药水,翡翠,毒液注射
  11. RR=199 anchor_m=196 Swiss=9 | 毒芹,真菌孢子,倒刺利爪,毒液,鳄鱼眼泪,彩虹药水,翡翠,毒液注射
  12. RR=191 anchor_m=191 Swiss=8 | 真菌孢子,倒刺利爪,毒液,鳄鱼眼泪,彩虹药水,翡翠,毒液注射,碎瓶
  13. RR=189 anchor_m=188 Swiss=9 | 真菌孢子,地刺陷阱,倒刺利爪,毒液,彩虹药水,塔兹迪亚匕首,翡翠,毒液注射
  14. RR=184 anchor_m=180 Swiss=8 | 真菌孢子,倒刺利爪,毒液,鳄鱼眼泪,剧毒药水,彩虹药水,翡翠,毒液注射
  15. RR=195 anchor_m=155 Swiss=8 | 水蛭,真菌孢子,贤者之石,倒刺利爪,毒液,彩虹药水,毒液注射
  16. RR=182 anchor_m=177 Swiss=8 | 真菌孢子,地刺陷阱,香炉,倒刺利爪,毒液,彩虹药水,翡翠,毒液注射
  17. RR=191 anchor_m=156 Swiss=8 | 黑玫瑰,水蛭,真菌孢子,倒刺利爪,毒液,彩虹药水,毒液注射
  18. RR=181 anchor_m=176 Swiss=8 | 真菌孢子,地刺陷阱,拆信刀,倒刺利爪,毒液,彩虹药水,翡翠,毒液注射
  19. RR=180 anchor_m=171 Swiss=8 | 真菌孢子,地刺陷阱,倒刺利爪,毒液,剧毒药水,彩虹药水,翡翠,毒液注射
  20. RR=176 anchor_m=170 Swiss=8 | 真菌孢子,地刺陷阱,笔与墨,倒刺利爪,毒液,彩虹药水,翡翠,毒液注射

[GDF] seeds: 手术刀
[GDF] size=8 top 20
  1. RR=225 anchor_m=200 Swiss=9 | 拆信刀,香炉,蜡烛,倒刺利爪,地刺陷阱,手术刀,蛇怪之牙
  2. RR=223 anchor_m=208 Swiss=9 | 拆信刀,蜡烛,倒刺利爪,地刺陷阱,彩虹药水,手术刀,蛇怪之牙
  3. RR=221 anchor_m=198 Swiss=8 | 拆信刀,蜡烛,红宝石,倒刺利爪,地刺陷阱,手术刀,蛇怪之牙
  4. RR=206 anchor_m=180 Swiss=9 | 拆信刀,蜡烛,火焰药水,倒刺利爪,地刺陷阱,手术刀,蛇怪之牙
  5. RR=195 anchor_m=187 Swiss=9 | 拆信刀,蜡烛,倒刺利爪,地刺陷阱,瓶装闪电,手术刀,蛇怪之牙
  6. RR=198 anchor_m=175 Swiss=8 | 拆信刀,魔法飞毯,地刺陷阱,手术刀,瓶装闪电,蛇怪之牙,倒刺利爪
  7. RR=189 anchor_m=186 Swiss=9 | 地刺陷阱,倒刺利爪,研钵与研杵,手术刀,蛇怪之牙,蜡烛
  8. RR=175 anchor_m=168 Swiss=7 | 拆信刀,蜡烛,倒刺利爪,昏睡药水,地刺陷阱,手术刀,蛇怪之牙
  9. RR=173 anchor_m=162 Swiss=8 | 拆信刀,蜡烛,倒刺利爪,地刺陷阱,手术刀,蛇怪之牙,翡翠
  10. RR=175 anchor_m=155 Swiss=8 | 拆信刀,猫头鹰奥利,魔法飞毯,地刺陷阱,手术刀,瓶装闪电,蛇怪之牙
  11. RR=171 anchor_m=159 Swiss=8 | 拆信刀,蜡烛,倒刺利爪,地刺陷阱,手术刀,剧毒药水,蛇怪之牙
  12. RR=175 anchor_m=140 Swiss=9 | 彩虹药水,香炉,地刺陷阱,研钵与研杵,手术刀,鳄鱼眼泪,蛇怪之牙
  13. RR=165 anchor_m=160 Swiss=8 | 拆信刀,蜡烛,倒刺利爪,毒液注射,地刺陷阱,手术刀,蛇怪之牙
  14. RR=171 anchor_m=147 Swiss=8 | 拆信刀,魔法飞毯,彩虹药水,地刺陷阱,手术刀,瓶装闪电,蛇怪之牙
  15. RR=166 anchor_m=154 Swiss=8 | 真菌孢子,拆信刀,蜡烛,倒刺利爪,地刺陷阱,手术刀,蛇怪之牙
  16. RR=163 anchor_m=156 Swiss=8 | 拆信刀,蜡烛,笔与墨,倒刺利爪,地刺陷阱,手术刀,蛇怪之牙
  17. RR=160 anchor_m=160 Swiss=8 | 鳄鱼眼泪,地刺陷阱,倒刺利爪,研钵与研杵,手术刀,云精灵,蛇怪之牙
  18. RR=161 anchor_m=156 Swiss=9 | 拆信刀,蜡烛,倒刺利爪,地刺陷阱,手术刀,蛇怪之牙,硫磺
  19. RR=162 anchor_m=151 Swiss=7 | 拆信刀,蜡烛,倒刺利爪,地刺陷阱,塔兹迪亚匕首,手术刀,蛇怪之牙
  20. RR=158 anchor_m=150 Swiss=8 | 拆信刀,魔法飞毯,倒刺利爪,地刺陷阱,手术刀,云精灵,蛇怪之牙

[GDF] seeds: 折射棱镜
[GDF] size=8 top 20
  1. RR=273 anchor_m=267 Swiss=10 | 折射棱镜,地刺陷阱,毒液注射,翡翠,倒刺利爪,毒液,鳄鱼眼泪
  2. RR=268 anchor_m=252 Swiss=9 | 地刺陷阱,折射棱镜,真菌孢子,毒液注射,翡翠,倒刺利爪,毒液
  3. RR=269 anchor_m=241 Swiss=9 | 折射棱镜,地刺陷阱,真菌孢子,倒刺利爪,毒液,彩虹药水,翡翠
  4. RR=252 anchor_m=249 Swiss=8 | 鳄鱼眼泪,折射棱镜,地刺陷阱,真菌孢子,倒刺利爪,毒液,毒液注射
  5. RR=247 anchor_m=234 Swiss=8 | 彩虹药水,鳄鱼眼泪,折射棱镜,地刺陷阱,真菌孢子,倒刺利爪,毒液
  6. RR=258 anchor_m=209 Swiss=9 | 鳄鱼眼泪,翡翠,折射棱镜,地刺陷阱,真菌孢子,倒刺利爪,毒液
  7. RR=233 anchor_m=195 Swiss=9 | 折射棱镜,地刺陷阱,真菌孢子,毒蜥,倒刺利爪,毒液,翡翠
  8. RR=202 anchor_m=202 Swiss=8 | 折射棱镜,彩虹药水,地刺陷阱,毒液注射,翡翠,倒刺利爪,毒液
  9. RR=199 anchor_m=192 Swiss=8 | 真菌孢子,折射棱镜,彩虹药水,毒液注射,倒刺利爪,毒液,翡翠
  10. RR=195 anchor_m=194 Swiss=8 | 折射棱镜,彩虹药水,毒液注射,鳄鱼眼泪,倒刺利爪,毒液,翡翠
  11. RR=195 anchor_m=192 Swiss=9 | 折射棱镜,彩虹药水,毒液注射,毒液,翡翠,水蛭
  12. RR=194 anchor_m=193 Swiss=9 | 鳄鱼眼泪,折射棱镜,真菌孢子,毒液注射,翡翠,倒刺利爪,毒液
  13. RR=188 anchor_m=187 Swiss=8 | 鳄鱼眼泪,翡翠,折射棱镜,彩虹药水,剑杖,毒液注射
  14. RR=177 anchor_m=175 Swiss=8 | 折射棱镜,地刺陷阱,真菌孢子,倒刺利爪,毒液,剧毒药水,翡翠
  15. RR=178 anchor_m=173 Swiss=8 | 鳄鱼眼泪,折射棱镜,地刺陷阱,真菌孢子,火焰药水,倒刺利爪,毒液
  16. RR=178 anchor_m=171 Swiss=9 | 折射棱镜,毒液注射,彩虹药水,毒蜥,水蛭,翡翠
  17. RR=172 anchor_m=165 Swiss=8 | 折射棱镜,毒液注射,毒液,翡翠,水蛭,毒蜥
  18. RR=172 anchor_m=162 Swiss=8 | 毒液注射,折射棱镜,水蛭,地刺陷阱,翡翠,彩虹药水
  19. RR=169 anchor_m=167 Swiss=9 | 鳄鱼眼泪,折射棱镜,彩虹药水,真菌孢子,毒液注射,倒刺利爪,毒液
  20. RR=173 anchor_m=153 Swiss=9 | 贤者之石,折射棱镜,地刺陷阱,真菌孢子,倒刺利爪,毒液,翡翠

[GDF] seeds: 拆信刀
[GDF] size=8 top 20
  1. RR=225 anchor_m=137 Swiss=10 | 曲颈甑,蛇怪之牙,拆信刀,研钵与研杵,手术刀,云精灵
  2. RR=202 anchor_m=105 Swiss=8 | 曲颈甑,地刺陷阱,蛇怪之牙,拆信刀,手术刀,魔法飞毯
  3. RR=195 anchor_m=89 Swiss=9 | 真菌孢子,拆信刀,毒液注射,蜡烛,地刺陷阱,倒刺利爪,毒液
  4. RR=185 anchor_m=101 Swiss=9 | 曲颈甑,蛇怪之牙,拆信刀,鳄鱼眼泪,手术刀,嗅盐,熏香
  5. RR=190 anchor_m=89 Swiss=8 | 曲颈甑,蛇怪之牙,拆信刀,鳄鱼眼泪,瓶装闪电,手术刀,云精灵
  6. RR=186 anchor_m=73 Swiss=7 | 曲颈甑,蛇怪之牙,拆信刀,手术刀,彩虹药水,鳄鱼眼泪,地刺陷阱
  7. RR=181 anchor_m=75 Swiss=8 | 曲颈甑,蛇怪之牙,翡翠,拆信刀,手术刀,彩虹药水,地刺陷阱
  8. RR=183 anchor_m=66 Swiss=8 | 曲颈甑,蛇怪之牙,拆信刀,萤火虫,鳄鱼眼泪,手术刀,云精灵
  9. RR=169 anchor_m=91 Swiss=8 | 曲颈甑,地刺陷阱,蛇怪之牙,鳄鱼眼泪,嗅盐,拆信刀,手术刀
  10. RR=165 anchor_m=93 Swiss=8 | 曲颈甑,蛇怪之牙,拆信刀,研钵与研杵,手术刀,再生药水
  11. RR=164 anchor_m=93 Swiss=8 | 曲颈甑,蛇怪之牙,火焰药水,拆信刀,鳄鱼眼泪,手术刀,云精灵
  12. RR=155 anchor_m=108 Swiss=8 | 曲颈甑,蛇怪之牙,拆信刀,蜡烛,手术刀,云精灵
  13. RR=181 anchor_m=53 Swiss=9 | 曲颈甑,蛇怪之牙,拆信刀,鳄鱼眼泪,手术刀,嗅盐,彩虹药水
  14. RR=173 anchor_m=67 Swiss=9 | 真菌孢子,拆信刀,鳄鱼眼泪,彩虹药水,毒液注射,地刺陷阱,倒刺利爪,毒液
  15. RR=173 anchor_m=57 Swiss=8 | 曲颈甑,蛇怪之牙,煅烧釜,拆信刀,鳄鱼眼泪,手术刀
  16. RR=178 anchor_m=36 Swiss=8 | 曲颈甑,蛇怪之牙,拆信刀,萤火虫,鳄鱼眼泪,彩虹药水,手术刀
  17. RR=172 anchor_m=42 Swiss=8 | 曲颈甑,地刺陷阱,蛇怪之牙,鳄鱼眼泪,拆信刀,香炉,手术刀
  18. RR=163 anchor_m=58 Swiss=9 | 曲颈甑,蛇怪之牙,拆信刀,鳄鱼眼泪,研钵与研杵,手术刀
  19. RR=145 anchor_m=91 Swiss=9 | 曲颈甑,蛇怪之牙,拆信刀,魔法飞毯,手术刀,云精灵
  20. RR=175 anchor_m=31 Swiss=8 | 真菌孢子,拆信刀,鳄鱼眼泪,毒液注射,地刺陷阱,倒刺利爪,毒液,翡翠

[GDF] seeds: 时间之砂
[GDF] size=8 top 20
  1. RR=291 anchor_m=35 Swiss=10 | 时间之砂,香炉,红宝石,萤火虫,彩虹药水,瓶装闪电,鳄鱼眼泪
  2. RR=247 anchor_m=211 Swiss=9 | 瓶装闪电,鳄鱼眼泪,时间之砂,香炉,火焰药水,红宝石,萤火虫
  3. RR=269 anchor_m=164 Swiss=9 | 时间之砂,香炉,红宝石,硫磺,鳄鱼眼泪,萤火虫,彩虹药水
  4. RR=264 anchor_m=147 Swiss=9 | 火焰药水,时间之砂,香炉,红宝石,瓶装闪电,萤火虫,彩虹药水
  5. RR=232 anchor_m=197 Swiss=9 | 时间之砂,香炉,红宝石,萤火虫,嗅盐,彩虹药水,鳄鱼眼泪
  6. RR=232 anchor_m=186 Swiss=8 | 鳄鱼眼泪,时间之砂,香炉,红宝石,萤火虫,彩虹药水,碎瓶
  7. RR=250 anchor_m=141 Swiss=9 | 时间之砂,香炉,红宝石,萤火虫,蜡烛,彩虹药水
  8. RR=228 anchor_m=181 Swiss=7 | 时间之砂,香炉,瓶装闪电,红宝石,萤火虫,蜡烛
  9. RR=231 anchor_m=174 Swiss=8 | 时间之砂,香炉,红宝石,硫磺,萤火虫,彩虹药水,瓶装闪电
  10. RR=289 anchor_m=49 Swiss=9 | 火焰药水,时间之砂,香炉,鳄鱼眼泪,红宝石,萤火虫,彩虹药水
  11. RR=227 anchor_m=169 Swiss=8 | 鳄鱼眼泪,时间之砂,香炉,红宝石,萤火虫,彩虹药水,塔兹迪亚匕首
  12. RR=207 anchor_m=191 Swiss=8 | 时间之砂,香炉,瓶装闪电,红宝石,萤火虫,嗅盐,彩虹药水
  13. RR=201 anchor_m=172 Swiss=8 | 时间之砂,火焰药水,香炉,红宝石,萤火虫,蜡烛
  14. RR=197 anchor_m=176 Swiss=9 | 鳄鱼眼泪,时间之砂,香炉,红宝石,萤火虫,云精灵,彩虹药水
  15. RR=202 anchor_m=164 Swiss=8 | 火焰药水,塔兹迪亚匕首,时间之砂,香炉,红宝石,萤火虫,彩虹药水
  16. RR=197 anchor_m=173 Swiss=9 | 时间之砂,香炉,红宝石,萤火虫,彩虹药水,瓶装闪电,塔兹迪亚匕首
  17. RR=195 anchor_m=166 Swiss=8 | 鳄鱼眼泪,时间之砂,拆信刀,香炉,红宝石,萤火虫,彩虹药水
  18. RR=215 anchor_m=118 Swiss=8 | 香炉,煅烧釜,彩虹药水,红宝石,时间之砂,萤火虫
  19. RR=199 anchor_m=148 Swiss=8 | 煅烧釜,鳄鱼眼泪,彩虹药水,红宝石,时间之砂,萤火虫
  20. RR=193 anchor_m=156 Swiss=8 | 火焰药水,时间之砂,香炉,红宝石,硫磺,萤火虫,彩虹药水

[GDF] seeds: 昏睡药水
[GDF] size=8 top 20
  1. RR=288 anchor_m=-1 Swiss=10 | 毒液注射,鳄鱼眼泪,昏睡药水,地刺陷阱,真菌孢子,倒刺利爪,毒液,翡翠
  2. RR=211 anchor_m=130 Swiss=9 | 毒液注射,鳄鱼眼泪,昏睡药水,真菌孢子,倒刺利爪,毒液,萤火虫,翡翠
  3. RR=262 anchor_m=22 Swiss=9 | 贤者之石,毒液注射,昏睡药水,地刺陷阱,真菌孢子,倒刺利爪,毒液,翡翠
  4. RR=192 anchor_m=155 Swiss=8 | 昏睡药水,炼金梨缶,彩虹药水,笔与墨,毒液,真菌孢子,翡翠
  5. RR=258 anchor_m=22 Swiss=9 | 毒芹,地刺陷阱,毒液注射,昏睡药水,真菌孢子,倒刺利爪,毒液,翡翠
  6. RR=264 anchor_m=5 Swiss=9 | 毒液注射,昏睡药水,真菌孢子,倒刺利爪,毒液,毒蜥,翡翠,地刺陷阱
  7. RR=261 anchor_m=0 Swiss=8 | 毒液注射,鳄鱼眼泪,昏睡药水,真菌孢子,倒刺利爪,毒液,翡翠,彩虹药水
  8. RR=241 anchor_m=37 Swiss=9 | 毒液注射,昏睡药水,真菌孢子,倒刺利爪,毒液,翡翠,黑玫瑰,地刺陷阱
  9. RR=242 anchor_m=34 Swiss=8 | 拆信刀,毒液注射,昏睡药水,真菌孢子,倒刺利爪,毒液,翡翠,地刺陷阱
  10. RR=253 anchor_m=7 Swiss=9 | 毒液注射,昏睡药水,真菌孢子,倒刺利爪,毒液,翡翠,地刺陷阱,彩虹药水
  11. RR=177 anchor_m=151 Swiss=8 | 昏睡药水,炼金梨缶,毒芹,笔与墨,毒液,真菌孢子,翡翠
  12. RR=251 anchor_m=1 Swiss=9 | 毒液注射,鳄鱼眼泪,昏睡药水,真菌孢子,香炉,倒刺利爪,毒液,翡翠
  13. RR=160 anchor_m=154 Swiss=9 | 昏睡药水,炼金梨缶,彩虹药水,笔与墨,贤者之石,真菌孢子,翡翠
  14. RR=158 anchor_m=155 Swiss=7 | 昏睡药水,炼金梨缶,毒芹,笔与墨,贤者之石,真菌孢子,翡翠
  15. RR=150 anchor_m=142 Swiss=8 | 昏睡药水,炼金梨缶,彩虹药水,笔与墨,真菌孢子,毒液注射,翡翠
  16. RR=209 anchor_m=20 Swiss=9 | 毒液注射,昏睡药水,真菌孢子,倒刺利爪,毒液,曲颈甑,翡翠
  17. RR=200 anchor_m=18 Swiss=8 | 毒液注射,鳄鱼眼泪,昏睡药水,真菌孢子,倒刺利爪,毒液,毒芹,翡翠
  18. RR=181 anchor_m=42 Swiss=7 | 昏睡药水,笔与墨,毒液,腐朽圣像,真菌孢子,毒液注射,翡翠
  19. RR=159 anchor_m=80 Swiss=8 | 毒液注射,昏睡药水,真菌孢子,倒刺利爪,毒液,翡翠,碎瓶,地刺陷阱
  20. RR=180 anchor_m=32 Swiss=8 | 毒液注射,昏睡药水,真菌孢子,倒刺利爪,毒液,蛇怪之牙,翡翠,地刺陷阱

[GDF] seeds: 曲颈甑
[GDF] size=8 top 20
  1. RR=274 anchor_m=274 Swiss=8 | 曲颈甑,真菌孢子,毒液注射,地刺陷阱,倒刺利爪,毒液,翡翠
  2. RR=260 anchor_m=258 Swiss=8 | 鳄鱼眼泪,曲颈甑,真菌孢子,地刺陷阱,倒刺利爪,毒液,翡翠
  3. RR=241 anchor_m=241 Swiss=8 | 曲颈甑,真菌孢子,地刺陷阱,倒刺利爪,毒液,翡翠,毒蜥
  4. RR=231 anchor_m=231 Swiss=9 | 曲颈甑,真菌孢子,倒刺利爪,毒液,翡翠,鳄鱼眼泪,毒液注射
  5. RR=231 anchor_m=231 Swiss=7 | 曲颈甑,毒芹,真菌孢子,地刺陷阱,倒刺利爪,毒液,翡翠
  6. RR=222 anchor_m=222 Swiss=8 | 彩虹药水,曲颈甑,真菌孢子,倒刺利爪,毒液,翡翠,毒液注射
  7. RR=210 anchor_m=210 Swiss=8 | 曲颈甑,云精灵,真菌孢子,地刺陷阱,倒刺利爪,毒液,翡翠
  8. RR=209 anchor_m=209 Swiss=8 | 曲颈甑,真菌孢子,倒刺利爪,毒液,毒蜥,翡翠,毒液注射
  9. RR=201 anchor_m=201 Swiss=8 | 曲颈甑,真菌孢子,倒刺利爪,毒液,水蛭,翡翠
  10. RR=202 anchor_m=196 Swiss=8 | 曲颈甑,真菌孢子,地刺陷阱,蛇怪之牙,倒刺利爪,毒液,翡翠
  11. RR=195 anchor_m=195 Swiss=8 | 曲颈甑,真菌孢子,地刺陷阱,倒刺利爪,毒液,剧毒药水,翡翠
  12. RR=194 anchor_m=194 Swiss=8 | 毒液注射,倒刺利爪,毒液,水蛭,翡翠,曲颈甑
  13. RR=191 anchor_m=191 Swiss=9 | 真菌孢子,毒液注射,毒液,水蛭,翡翠,曲颈甑
  14. RR=186 anchor_m=185 Swiss=8 | 毒蜥,毒液注射,毒液,水蛭,翡翠,曲颈甑
  15. RR=185 anchor_m=185 Swiss=9 | 曲颈甑,真菌孢子,笔与墨,地刺陷阱,倒刺利爪,毒液,翡翠
  16. RR=176 anchor_m=176 Swiss=9 | 曲颈甑,真菌孢子,笔与墨,毒液,贤者之石,彩虹药水,翡翠
  17. RR=175 anchor_m=175 Swiss=7 | 曲颈甑,笔与墨,毒液,翡翠,彩虹药水,毒蜥,真菌孢子
  18. RR=172 anchor_m=172 Swiss=8 | 毒液注射,毒液,水蛭,翡翠,地刺陷阱,曲颈甑
  19. RR=172 anchor_m=172 Swiss=8 | 曲颈甑,毒芹,笔与墨,毒液,翡翠,彩虹药水,真菌孢子
  20. RR=167 anchor_m=167 Swiss=9 | 曲颈甑,笔与墨,毒液,翡翠,昏睡药水,毒蜥,真菌孢子

[GDF] seeds: 毒液
[GDF] size=8 top 20
  1. RR=276 anchor_m=273 Swiss=10 | 彩虹药水,翡翠,地刺陷阱,鳄鱼眼泪,真菌孢子,毒液注射,倒刺利爪,毒液
  2. RR=258 anchor_m=256 Swiss=9 | 翡翠,地刺陷阱,真菌孢子,毒液注射,香炉,倒刺利爪,毒液,鳄鱼眼泪
  3. RR=253 anchor_m=252 Swiss=8 | 鳄鱼眼泪,毒蜥,彩虹药水,地刺陷阱,翡翠,真菌孢子,倒刺利爪,毒液
  4. RR=252 anchor_m=248 Swiss=9 | 翡翠,地刺陷阱,曲颈甑,真菌孢子,倒刺利爪,毒液,鳄鱼眼泪
  5. RR=245 anchor_m=244 Swiss=8 | 翡翠,地刺陷阱,真菌孢子,毒液注射,火焰药水,倒刺利爪,毒液,鳄鱼眼泪
  6. RR=232 anchor_m=229 Swiss=9 | 鳄鱼眼泪,毒蜥,地刺陷阱,香炉,翡翠,真菌孢子,倒刺利爪,毒液
  7. RR=231 anchor_m=230 Swiss=9 | 鳄鱼眼泪,毒蜥,地刺陷阱,翡翠,真菌孢子,倒刺利爪,毒液,毒液注射
  8. RR=228 anchor_m=228 Swiss=9 | 翡翠,地刺陷阱,水蛭,鳄鱼眼泪,真菌孢子,倒刺利爪,毒液
  9. RR=223 anchor_m=222 Swiss=8 | 瓶装闪电,翡翠,地刺陷阱,真菌孢子,毒液注射,倒刺利爪,毒液,鳄鱼眼泪
  10. RR=221 anchor_m=219 Swiss=8 | 翡翠,地刺陷阱,真菌孢子,毒液注射,倒刺利爪,毒液,萤火虫,鳄鱼眼泪
  11. RR=213 anchor_m=212 Swiss=8 | 真菌孢子,地刺陷阱,翡翠,倒刺利爪,毒液,贤者之石,毒液注射,鳄鱼眼泪
  12. RR=207 anchor_m=207 Swiss=8 | 鳄鱼眼泪,剧毒药水,毒蜥,地刺陷阱,翡翠,真菌孢子,倒刺利爪,毒液
  13. RR=206 anchor_m=205 Swiss=9 | 翡翠,剧毒药水,地刺陷阱,真菌孢子,毒液注射,倒刺利爪,毒液,鳄鱼眼泪
  14. RR=203 anchor_m=203 Swiss=9 | 翡翠,地刺陷阱,真菌孢子,蜡烛,毒液注射,倒刺利爪,毒液
  15. RR=201 anchor_m=201 Swiss=8 | 地刺陷阱,毒液注射,倒刺利爪,毒液,翡翠,真菌孢子,毒芹,鳄鱼眼泪
  16. RR=197 anchor_m=197 Swiss=8 | 黑玫瑰,翡翠,地刺陷阱,真菌孢子,毒液注射,倒刺利爪,毒液,鳄鱼眼泪
  17. RR=192 anchor_m=191 Swiss=8 | 毒蜥,地刺陷阱,翡翠,曲颈甑,真菌孢子,倒刺利爪,毒液
