# gdf_enumerate_anchor_top1: full Top-K per anchor (last size tier only)
[GDF] seeds: 云精灵
[GDF] size=6 top 20
  1. RR=292 anchor_m=282 Swiss=9 | 彩虹药水,炼金梨缶,云精灵,翡翠,真菌孢子
  6. RR=201 anchor_m=112 Swiss=8 | 瓶装闪电,拆信刀,手术刀,彩虹药水,蛇怪之牙,地刺陷阱
  7. RR=206 anchor_m=92 Swiss=9 | 拆信刀,手术刀,彩虹药水,蛇怪之牙,倒刺利爪,地刺陷阱
  8. RR=201 anchor_m=98 Swiss=9 | 手术刀,彩虹药水,蛇怪之牙,鳄鱼眼泪,萤火虫,地刺陷阱
  9. RR=174 anchor_m=147 Swiss=8 | 拆信刀,手术刀,云精灵,彩虹药水,鳄鱼眼泪,蛇怪之牙
  10. RR=188 anchor_m=116 Swiss=8 | 拆信刀,手术刀,萤火虫,彩虹药水,蛇怪之牙,地刺陷阱
  11. RR=184 anchor_m=121 Swiss=8 | 鳄鱼眼泪,拆信刀,手术刀,彩虹药水,萤火虫,蛇怪之牙
  12. RR=194 anchor_m=97 Swiss=9 | 手术刀,彩虹药水,昏睡药水,蛇怪之牙,鳄鱼眼泪,地刺陷阱
  13. RR=183 anchor_m=99 Swiss=8 | 碎瓶,手术刀,彩虹药水,蛇怪之牙,鳄鱼眼泪,地刺陷阱
  14. RR=167 anchor_m=120 Swiss=8 | 拆信刀,手术刀,彩虹药水,蛇怪之牙,魔法飞毯
  15. RR=160 anchor_m=131 Swiss=9 | 红宝石,鳄鱼眼泪,拆信刀,手术刀,彩虹药水,蛇怪之牙
  16. RR=174 anchor_m=102 Swiss=9 | 手术刀,红宝石,彩虹药水,蛇怪之牙,鳄鱼眼泪,地刺陷阱
  17. RR=158 anchor_m=126 Swiss=8 | 拆信刀,蜡烛,手术刀,彩虹药水,蛇怪之牙
  18. RR=168 anchor_m=105 Swiss=8 | 拆信刀,手术刀,彩虹药水,蛇怪之牙,地刺陷阱,塔兹迪亚匕首
  19. RR=156 anchor_m=127 Swiss=8 | 鳄鱼眼泪,拆信刀,手术刀,彩虹药水,蛇怪之牙,硫磺
  20. RR=168 anchor_m=98 Swiss=8 | 手术刀,彩虹药水,蛇怪之牙,鳄鱼眼泪,嗅盐,地刺陷阱

[GDF] seeds: 手术刀
[GDF] size=6 top 20
  1. RR=220 anchor_m=216 Swiss=8 | 地刺陷阱,鳄鱼眼泪,蛇怪之牙,研钵与研杵,手术刀
  2. RR=216 anchor_m=216 Swiss=9 | 地刺陷阱,蛇怪之牙,研钵与研杵,手术刀,拆信刀
  3. RR=202 anchor_m=202 Swiss=8 | 地刺陷阱,倒刺利爪,蛇怪之牙,研钵与研杵,手术刀
  4. RR=190 anchor_m=178 Swiss=9 | 蛇怪之牙,地刺陷阱,蜡烛,拆信刀,手术刀
  5. RR=186 anchor_m=186 Swiss=8 | 地刺陷阱,熏香,蛇怪之牙,研钵与研杵,手术刀
  6. RR=186 anchor_m=184 Swiss=9 | 蛇怪之牙,地刺陷阱,香炉,拆信刀,彩虹药水,手术刀
  7. RR=185 anchor_m=185 Swiss=7 | 地刺陷阱,蛇怪之牙,黑曜石碎片,研钵与研杵,手术刀
  8. RR=185 anchor_m=181 Swiss=9 | 翡翠,研钵与研杵,手术刀,地刺陷阱,蛇怪之牙
  9. RR=183 anchor_m=183 Swiss=9 | 毒液注射,地刺陷阱,蛇怪之牙,研钵与研杵,手术刀
  10. RR=190 anchor_m=155 Swiss=10 | 蛇怪之牙,地刺陷阱,拆信刀,魔法飞毯,手术刀
  11. RR=196 anchor_m=115 Swiss=9 | 香炉,翡翠,手术刀,鳄鱼眼泪,地刺陷阱,蛇怪之牙
  12. RR=188 anchor_m=127 Swiss=8 | 翡翠,手术刀,鳄鱼眼泪,地刺陷阱,彩虹药水,蛇怪之牙
  13. RR=180 anchor_m=128 Swiss=8 | 蛇怪之牙,地刺陷阱,拆信刀,鳄鱼眼泪,手术刀,彩虹药水
  14. RR=161 anchor_m=161 Swiss=8 | 地刺陷阱,蛇怪之牙,研钵与研杵,手术刀,毒蜥
  15. RR=178 anchor_m=125 Swiss=8 | 地刺陷阱,翡翠,鳄鱼眼泪,毒蜥,真菌孢子,手术刀
  16. RR=173 anchor_m=129 Swiss=8 | 瓶装闪电,蛇怪之牙,鳄鱼眼泪,地刺陷阱,拆信刀,手术刀
  17. RR=152 anchor_m=152 Swiss=8 | 地刺陷阱,笔与墨,蛇怪之牙,研钵与研杵,手术刀
  18. RR=170 anchor_m=109 Swiss=8 | 翡翠,真菌孢子,手术刀,倒刺利爪,毒液,地刺陷阱
  19. RR=151 anchor_m=147 Swiss=8 | 蛇怪之牙,地刺陷阱,拆信刀,鳄鱼眼泪,嗅盐,手术刀
  20. RR=151 anchor_m=146 Swiss=7 | 翡翠,真菌孢子,鳄鱼眼泪,手术刀,毒液,地刺陷阱

[GDF] seeds: 折射棱镜
[GDF] size=6 top 20
  1. RR=253 anchor_m=248 Swiss=9 | 鳄鱼眼泪,香炉,毒液注射,折射棱镜,彩虹药水
  2. RR=231 anchor_m=231 Swiss=8 | 毒液注射,翡翠,倒刺利爪,毒液,折射棱镜
  3. RR=228 anchor_m=228 Swiss=9 | 翡翠,毒液注射,折射棱镜,嗅盐,彩虹药水
  4. RR=228 anchor_m=228 Swiss=9 | 翡翠,毒液注射,毒液,折射棱镜,彩虹药水
  5. RR=226 anchor_m=224 Swiss=9 | 鳄鱼眼泪,萤火虫,毒液注射,折射棱镜,彩虹药水
  6. RR=223 anchor_m=222 Swiss=8 | 鳄鱼眼泪,毒液注射,折射棱镜,彩虹药水,火焰药水
  7. RR=220 anchor_m=220 Swiss=8 | 毒液注射,折射棱镜,地刺陷阱,水蛭
  8. RR=220 anchor_m=220 Swiss=10 | 毒液注射,折射棱镜,彩虹药水,水蛭
  9. RR=219 anchor_m=219 Swiss=9 | 地刺陷阱,毒液注射,折射棱镜,嗅盐,彩虹药水
  10. RR=205 anchor_m=205 Swiss=7 | 毒液注射,毒液,水蛭,折射棱镜
  11. RR=205 anchor_m=205 Swiss=8 | 毒液注射,折射棱镜,翡翠,彩虹药水,黑玫瑰
  12. RR=204 anchor_m=203 Swiss=8 | 彩虹药水,地刺陷阱,折射棱镜,翡翠,毒液注射
  13. RR=203 anchor_m=203 Swiss=8 | 真菌孢子,毒液注射,倒刺利爪,毒液,折射棱镜
  14. RR=202 anchor_m=198 Swiss=8 | 黑玫瑰,毒液注射,毒液,翡翠,折射棱镜
  15. RR=197 anchor_m=197 Swiss=8 | 毒液注射,毒液,折射棱镜,嗅盐,翡翠
  16. RR=193 anchor_m=193 Swiss=9 | 地刺陷阱,折射棱镜,嗅盐,翡翠,毒液注射
  17. RR=189 anchor_m=188 Swiss=8 | 真菌孢子,毒液注射,折射棱镜,彩虹药水,翡翠
  18. RR=188 anchor_m=184 Swiss=9 | 毒液注射,水蛭,折射棱镜,翡翠
  19. RR=178 anchor_m=178 Swiss=8 | 毒液注射,毒液,地刺陷阱,折射棱镜,翡翠
  20. RR=177 anchor_m=177 Swiss=9 | 地刺陷阱,毒液注射,折射棱镜,云精灵,彩虹药水

[GDF] seeds: 拆信刀
[GDF] size=6 top 20
  1. RR=245 anchor_m=72 Swiss=10 | 地刺陷阱,拆信刀,蛇怪之牙,研钵与研杵,手术刀
  2. RR=212 anchor_m=122 Swiss=9 | 地刺陷阱,拆信刀,蛇怪之牙,魔法飞毯,手术刀
  3. RR=200 anchor_m=140 Swiss=9 | 翡翠,地刺陷阱,拆信刀,倒刺利爪,毒液,真菌孢子
  4. RR=205 anchor_m=107 Swiss=8 | 地刺陷阱,拆信刀,蜡烛,蛇怪之牙,手术刀
  5. RR=198 anchor_m=105 Swiss=8 | 手术刀,地刺陷阱,翡翠,毒蜥,拆信刀,真菌孢子
  6. RR=189 anchor_m=99 Swiss=8 | 地刺陷阱,拆信刀,蛇怪之牙,香炉,瓶装闪电,手术刀
  7. RR=185 anchor_m=99 Swiss=8 | 地刺陷阱,碎瓶,拆信刀,蛇怪之牙,瓶装闪电,手术刀
  8. RR=181 anchor_m=102 Swiss=8 | 地刺陷阱,拆信刀,研钵与研杵,手术刀,真菌孢子
  9. RR=183 anchor_m=92 Swiss=9 | 地刺陷阱,拆信刀,瓶装闪电,倒刺利爪,蛇怪之牙,手术刀
  10. RR=187 anchor_m=80 Swiss=9 | 彩虹药水,地刺陷阱,拆信刀,倒刺利爪,蛇怪之牙,手术刀
  11. RR=170 anchor_m=111 Swiss=8 | 地刺陷阱,翡翠,毒蜥,拆信刀,鳄鱼眼泪,真菌孢子
  12. RR=174 anchor_m=87 Swiss=8 | 彩虹药水,地刺陷阱,拆信刀,蛇怪之牙,手术刀,碎瓶
  13. RR=176 anchor_m=73 Swiss=7 | 地刺陷阱,香炉,拆信刀,蛇怪之牙,红宝石,手术刀
  14. RR=162 anchor_m=98 Swiss=8 | 拆信刀,研钵与研杵,手术刀,曲颈甑
  15. RR=164 anchor_m=93 Swiss=9 | 倒刺利爪,地刺陷阱,拆信刀,蛇怪之牙,手术刀,离子闪电
  16. RR=163 anchor_m=89 Swiss=8 | 地刺陷阱,拆信刀,香炉,蛇怪之牙,翡翠,手术刀
  17. RR=164 anchor_m=84 Swiss=8 | 地刺陷阱,拆信刀,手术刀,真菌孢子,曲颈甑
  18. RR=158 anchor_m=92 Swiss=9 | 彩虹药水,地刺陷阱,拆信刀,蛇怪之牙,离子闪电,手术刀
  19. RR=154 anchor_m=97 Swiss=8 | 地刺陷阱,碎瓶,拆信刀,倒刺利爪,蛇怪之牙,手术刀
  20. RR=151 anchor_m=100 Swiss=8 | 瓶装闪电,地刺陷阱,剧毒药水,拆信刀,蛇怪之牙,手术刀

[GDF] seeds: 时间之砂
[GDF] size=6 top 20
  1. RR=295 anchor_m=27 Swiss=10 | 萤火虫,时间之砂,香炉,彩虹药水,红宝石
  2. RR=256 anchor_m=238 Swiss=9 | 萤火虫,嗅盐,时间之砂,香炉,红宝石
  3. RR=276 anchor_m=162 Swiss=9 | 萤火虫,时间之砂,香炉,硫磺,红宝石
  4. RR=265 anchor_m=181 Swiss=8 | 萤火虫,火焰药水,时间之砂,香炉,红宝石
  5. RR=279 anchor_m=150 Swiss=9 | 萤火虫,时间之砂,香炉,瓶装闪电,红宝石
  6. RR=235 anchor_m=234 Swiss=8 | 萤火虫,嗅盐,时间之砂,彩虹药水,香炉
  7. RR=289 anchor_m=5 Swiss=9 | 时间之砂,笔与墨,毒液,真菌孢子,翡翠
  8. RR=185 anchor_m=169 Swiss=8 | 萤火虫,蜡烛,时间之砂,香炉
  9. RR=182 anchor_m=171 Swiss=8 | 萤火虫,时间之砂,香炉,红宝石,熏香
  10. RR=261 anchor_m=0 Swiss=8 | 毒蜥,笔与墨,真菌孢子,时间之砂,翡翠
  11. RR=250 anchor_m=12 Swiss=9 | 毒液注射,时间之砂,真菌孢子,翡翠,笔与墨
  12. RR=249 anchor_m=10 Swiss=8 | 时间之砂,真菌孢子,翡翠,笔与墨,毒芹
  13. RR=240 anchor_m=17 Swiss=9 | 毒液注射,时间之砂,真菌孢子,倒刺利爪,毒液
  14. RR=235 anchor_m=12 Swiss=8 | 时间之砂,毒蜥,真菌孢子,笔与墨,毒液
  15. RR=153 anchor_m=148 Swiss=8 | 飞蛾粉末,萤火虫,时间之砂,香炉,红宝石
  16. RR=218 anchor_m=14 Swiss=8 | 毒蜥,翡翠,时间之砂,真菌孢子,毒液
  17. RR=208 anchor_m=5 Swiss=8 | 毒液注射,时间之砂,真菌孢子,笔与墨,毒液
  18. RR=202 anchor_m=13 Swiss=8 | 真菌孢子,毒液注射,黑玫瑰,笔与墨,时间之砂
  19. RR=205 anchor_m=6 Swiss=8 | 时间之砂,真菌孢子,笔与墨,毒液,毒芹
  20. RR=197 anchor_m=18 Swiss=9 | 时间之砂,真菌孢子,曲颈甑,笔与墨

[GDF] seeds: 昏睡药水
[GDF] size=6 top 20
  1. RR=281 anchor_m=-1 Swiss=10 | 翡翠,昏睡药水,毒液注射,真菌孢子,倒刺利爪,毒液
  2. RR=239 anchor_m=230 Swiss=8 | 翡翠,鳄鱼眼泪,炼金梨缶,昏睡药水,真菌孢子
  3. RR=237 anchor_m=227 Swiss=8 | 彩虹药水,炼金梨缶,昏睡药水,真菌孢子,翡翠
  4. RR=243 anchor_m=208 Swiss=9 | 翡翠,毒芹,炼金梨缶,昏睡药水,真菌孢子
  5. RR=279 anchor_m=14 Swiss=9 | 笔与墨,毒液,翡翠,昏睡药水,毒蜥,真菌孢子
  6. RR=256 anchor_m=18 Swiss=9 | 彩虹药水,昏睡药水,翡翠,真菌孢子,笔与墨,毒液
  7. RR=254 anchor_m=8 Swiss=8 | 笔与墨,毒液,毒芹,翡翠,昏睡药水,真菌孢子
  8. RR=245 anchor_m=10 Swiss=9 | 昏睡药水,真菌孢子,笔与墨,毒液,毒液注射,翡翠
  9. RR=167 anchor_m=161 Swiss=9 | 笔与墨,彩虹药水,炼金梨缶,昏睡药水,真菌孢子
  10. RR=227 anchor_m=20 Swiss=8 | 昏睡药水,毒液注射,真菌孢子,地刺陷阱,倒刺利爪,毒液
  11. RR=217 anchor_m=26 Swiss=8 | 笔与墨,翡翠,昏睡药水,毒蜥,真菌孢子,毒芹
  12. RR=222 anchor_m=11 Swiss=8 | 昏睡药水,鳄鱼眼泪,毒液注射,真菌孢子,倒刺利爪,毒液
  13. RR=213 anchor_m=16 Swiss=8 | 昏睡药水,毒芹,毒液注射,翡翠,笔与墨,真菌孢子
  14. RR=159 anchor_m=123 Swiss=8 | 鳄鱼眼泪,炼金梨缶,昏睡药水,真菌孢子,蛇怪之牙
  15. RR=150 anchor_m=135 Swiss=8 | 毒芹,炼金梨缶,昏睡药水,真菌孢子,笔与墨
  16. RR=191 anchor_m=43 Swiss=8 | 曲颈甑,笔与墨,翡翠,昏睡药水,真菌孢子
  17. RR=198 anchor_m=25 Swiss=8 | 真菌孢子,毒液,翡翠,昏睡药水,毒蜥,毒液注射
  18. RR=196 anchor_m=28 Swiss=9 | 笔与墨,翡翠,彩虹药水,毒液注射,昏睡药水,真菌孢子
  19. RR=207 anchor_m=3 Swiss=8 | 昏睡药水,黑玫瑰,翡翠,真菌孢子,笔与墨,毒液
  20. RR=202 anchor_m=12 Swiss=8 | 昏睡药水,翡翠,贤者之石,真菌孢子,笔与墨,毒液

[GDF] seeds: 曲颈甑
[GDF] size=6 top 20
  1. RR=217 anchor_m=185 Swiss=10 | 蛇怪之牙,曲颈甑,鳄鱼眼泪,手术刀,香炉
  2. RR=212 anchor_m=180 Swiss=8 | 毒蜥,曲颈甑,真菌孢子,翡翠,笔与墨
  3. RR=208 anchor_m=177 Swiss=8 | 蛇怪之牙,曲颈甑,鳄鱼眼泪,拆信刀,手术刀
  4. RR=214 anchor_m=157 Swiss=8 | 蛇怪之牙,地刺陷阱,曲颈甑,拆信刀,手术刀
  5. RR=197 anchor_m=185 Swiss=9 | 笔与墨,翡翠,曲颈甑,真菌孢子,毒芹
  6. RR=194 anchor_m=184 Swiss=8 | 蛇怪之牙,曲颈甑,鳄鱼眼泪,手术刀,云精灵
  7. RR=195 anchor_m=176 Swiss=9 | 蛇怪之牙,曲颈甑,鳄鱼眼泪,手术刀,瓶装闪电
  8. RR=195 anchor_m=176 Swiss=8 | 萤火虫,蛇怪之牙,曲颈甑,鳄鱼眼泪,手术刀
  9. RR=206 anchor_m=147 Swiss=8 | 蛇怪之牙,曲颈甑,研钵与研杵,手术刀
  10. RR=203 anchor_m=128 Swiss=9 | 蛇怪之牙,曲颈甑,彩虹药水,鳄鱼眼泪,手术刀
  11. RR=209 anchor_m=115 Swiss=9 | 蛇怪之牙,曲颈甑,鳄鱼眼泪,手术刀,地刺陷阱
  12. RR=183 anchor_m=163 Swiss=9 | 蛇怪之牙,曲颈甑,拆信刀,手术刀,云精灵
  13. RR=178 anchor_m=172 Swiss=8 | 毒液注射,笔与墨,翡翠,曲颈甑,真菌孢子
  14. RR=177 anchor_m=162 Swiss=8 | 蛇怪之牙,火焰药水,曲颈甑,鳄鱼眼泪,手术刀
  15. RR=174 anchor_m=167 Swiss=8 | 翡翠,曲颈甑,真菌孢子,毒液,地刺陷阱
  16. RR=178 anchor_m=155 Swiss=8 | 蛇怪之牙,倒刺利爪,曲颈甑,鳄鱼眼泪,手术刀
  17. RR=169 anchor_m=167 Swiss=8 | 剧毒药水,笔与墨,翡翠,曲颈甑,真菌孢子
  18. RR=172 anchor_m=158 Swiss=8 | 蛇怪之牙,硫磺,曲颈甑,鳄鱼眼泪,手术刀
  19. RR=169 anchor_m=164 Swiss=8 | 笔与墨,黑玫瑰,翡翠,真菌孢子,曲颈甑
  20. RR=177 anchor_m=146 Swiss=8 | 蛇怪之牙,毒液注射,曲颈甑,手术刀,地刺陷阱

[GDF] seeds: 毒液
[GDF] size=6 top 20
  1. RR=278 anchor_m=278 Swiss=9 | 毒液注射,翡翠,真菌孢子,倒刺利爪,毒液,地刺陷阱
  2. RR=274 anchor_m=269 Swiss=9 | 地刺陷阱,毒液注射,翡翠,鳄鱼眼泪,倒刺利爪,毒液
  3. RR=257 anchor_m=256 Swiss=8 | 毒液注射,鳄鱼眼泪,翡翠,真菌孢子,倒刺利爪,毒液
  4. RR=250 anchor_m=247 Swiss=9 | 毒液注射,真菌孢子,倒刺利爪,毒液,地刺陷阱,鳄鱼眼泪
  5. RR=228 anchor_m=228 Swiss=9 | 毒液注射,翡翠,真菌孢子,彩虹药水,倒刺利爪,毒液
  6. RR=228 anchor_m=216 Swiss=9 | 笔与墨,毒液,彩虹药水,毒蜥,真菌孢子,翡翠
  7. RR=224 anchor_m=212 Swiss=9 | 毒芹,真菌孢子,笔与墨,毒液,毒蜥,翡翠
  8. RR=219 anchor_m=217 Swiss=8 | 水蛭,毒液注射,翡翠,倒刺利爪,毒液
  9. RR=214 anchor_m=214 Swiss=8 | 毒液注射,翡翠,毒蜥,真菌孢子,倒刺利爪,毒液
  10. RR=217 anchor_m=205 Swiss=8 | 毒芹,彩虹药水,翡翠,真菌孢子,笔与墨,毒液
  11. RR=211 anchor_m=207 Swiss=8 | 地刺陷阱,翡翠,真菌孢子,倒刺利爪,毒液,鳄鱼眼泪
  12. RR=208 anchor_m=203 Swiss=8 | 笔与墨,毒液,真菌孢子,黑玫瑰,翡翠,毒液注射
  13. RR=208 anchor_m=197 Swiss=8 | 翡翠,真菌孢子,曲颈甑,笔与墨,毒液
  14. RR=205 anchor_m=203 Swiss=9 | 毒液注射,水蛭,翡翠,真菌孢子,毒液
  15. RR=200 anchor_m=200 Swiss=9 | 毒芹,毒液注射,翡翠,真菌孢子,倒刺利爪,毒液
  16. RR=200 anchor_m=196 Swiss=8 | 彩虹药水,毒液注射,翡翠,真菌孢子,笔与墨,毒液
  17. RR=199 anchor_m=194 Swiss=8 | 毒液注射,翡翠,真菌孢子,毒蜥,笔与墨,毒液
  18. RR=198 anchor_m=196 Swiss=8 | 地刺陷阱,翡翠,真菌孢子,毒蜥,倒刺利爪,毒液
  19. RR=194 anchor_m=194 Swiss=8 | 毒液注射,翡翠,真菌孢子,黑玫瑰,倒刺利爪,毒液
  20. RR=186 anchor_m=186 Swiss=8 | 贤者之石,毒液注射,翡翠,真菌孢子,倒刺利爪,毒液

[GDF] seeds: 毒液注射
[GDF] size=6 top 20
  1. RR=285 anchor_m=118 Swiss=9 | 真菌孢子,地刺陷阱,翡翠,毒液注射,倒刺利爪,毒液
  2. RR=277 anchor_m=202 Swiss=9 | 翡翠,毒液注射,真菌孢子,鳄鱼眼泪,倒刺利爪,毒液
  3. RR=256 anchor_m=216 Swiss=8 | 翡翠,毒液注射,倒刺利爪,毒液,水蛭
  4. RR=244 anchor_m=235 Swiss=9 | 毒液注射,倒刺利爪,毒液,水蛭,真菌孢子
  5. RR=269 anchor_m=184 Swiss=10 | 地刺陷阱,翡翠,毒液注射,倒刺利爪,毒液,鳄鱼眼泪
  6. RR=240 anchor_m=210 Swiss=8 | 真菌孢子,笔与墨,毒液,翡翠,毒液注射,黑玫瑰
  7. RR=247 anchor_m=193 Swiss=9 | 彩虹药水,翡翠,毒液注射,真菌孢子,倒刺利爪,毒液
  8. RR=252 anchor_m=181 Swiss=8 | 毒蜥,毒液注射,倒刺利爪,毒液,翡翠,真菌孢子
  9. RR=228 anchor_m=228 Swiss=8 | 翡翠,水蛭,毒液注射,毒液,真菌孢子
  10. RR=226 anchor_m=203 Swiss=9 | 翡翠,黑玫瑰,真菌孢子,毒液注射,倒刺利爪,毒液
  11. RR=253 anchor_m=147 Swiss=9 | 毒液注射,倒刺利爪,毒液,真菌孢子,地刺陷阱,鳄鱼眼泪
  12. RR=215 anchor_m=214 Swiss=8 | 毒蜥,水蛭,翡翠,真菌孢子,毒液注射
  13. RR=232 anchor_m=175 Swiss=9 | 翡翠,毒液注射,真菌孢子,毒芹,倒刺利爪,毒液
  14. RR=211 anchor_m=194 Swiss=8 | 翡翠,贤者之石,毒液注射,倒刺利爪,毒液,真菌孢子
  15. RR=211 anchor_m=183 Swiss=8 | 翡翠,贤者之石,毒液注射,笔与墨,毒液,真菌孢子
  16. RR=214 anchor_m=170 Swiss=8 | 翡翠,毒液注射,笔与墨,毒液,彩虹药水,真菌孢子
  17. RR=191 anchor_m=175 Swiss=9 | 翡翠,再生药水,毒液注射,笔与墨,毒液,真菌孢子
  18. RR=193 anchor_m=154 Swiss=8 | 翡翠,毒芹,毒液注射,笔与墨,毒液,真菌孢子
  19. RR=180 anchor_m=159 Swiss=8 | 翡翠,毒液注射,剧毒药水,真菌孢子,倒刺利爪,毒液
  20. RR=182 anchor_m=153 Swiss=8 | 翡翠,毒液注射,真菌孢子,笔与墨,倒刺利爪,毒液

[GDF] seeds: 毒芹
[GDF] size=6 top 20
  1. RR=283 anchor_m=124 Swiss=9 | 毒芹,毒液注射,翡翠,真菌孢子,倒刺利爪,毒液
  2. RR=271 anchor_m=271 Swiss=9 | 真菌孢子,翡翠,彩虹药水,炼金梨缶,毒芹
  3. RR=278 anchor_m=202 Swiss=9 | 彩虹药水,笔与墨,毒液,翡翠,毒芹,真菌孢子
  4. RR=251 anchor_m=250 Swiss=8 | 真菌孢子,翡翠,水蛭,毒芹,毒液注射
  5. RR=274 anchor_m=164 Swiss=10 | 笔与墨,毒液,毒蜥,翡翠,毒芹,真菌孢子
  6. RR=235 anchor_m=234 Swiss=8 | 笔与墨,毒液,贤者之石,真菌孢子,毒芹,翡翠
  7. RR=234 anchor_m=221 Swiss=9 | 笔与墨,毒液,翡翠,黑玫瑰,毒芹,真菌孢子
  8. RR=230 anchor_m=228 Swiss=9 | 笔与墨,毒液,翡翠,毒芹,再生药水,真菌孢子
  9. RR=229 anchor_m=226 Swiss=8 | 毒蜥,笔与墨,真菌孢子,彩虹药水,毒芹,翡翠
  10. RR=260 anchor_m=155 Swiss=8 | 真菌孢子,翡翠,毒芹,毒液注射,笔与墨,毒液
  11. RR=227 anchor_m=212 Swiss=9 | 笔与墨,毒液,真菌孢子,毒芹,剧毒药水,翡翠
  12. RR=234 anchor_m=183 Swiss=8 | 毒蜥,笔与墨,翡翠,毒液注射,真菌孢子,毒芹
  13. RR=217 anchor_m=216 Swiss=8 | 真菌孢子,翡翠,剧毒药水,炼金梨缶,毒芹
  14. RR=207 anchor_m=200 Swiss=8 | 笔与墨,真菌孢子,翡翠,曲颈甑,毒芹
  15. RR=200 anchor_m=200 Swiss=8 | 笔与墨,真菌孢子,毒芹,炼金梨缶,翡翠
  16. RR=200 anchor_m=200 Swiss=8 | 真菌孢子,翡翠,再生药水,炼金梨缶,毒芹
  17. RR=199 anchor_m=199 Swiss=9 | 真菌孢子,翡翠,鳄鱼眼泪,炼金梨缶,毒芹
  18. RR=191 anchor_m=191 Swiss=9 | 水蛭,毒芹,真菌孢子,毒液,翡翠
  19. RR=194 anchor_m=182 Swiss=8 | 笔与墨,真菌孢子,彩虹药水,毒液注射,毒芹,翡翠
  20. RR=186 anchor_m=180 Swiss=8 | 笔与墨,毒液,翡翠,毒芹,真菌孢子,香炉

[GDF] seeds: 毒蜥
[GDF] size=6 top 20
  1. RR=256 anchor_m=39 Swiss=10 | 鳄鱼眼泪,拆信刀,地刺陷阱,毒蜥,蛇怪之牙,手术刀
  2. RR=240 anchor_m=150 Swiss=9 | 鳄鱼眼泪,拆信刀,毒蜥,蛇怪之牙,香炉,手术刀
  3. RR=219 anchor_m=165 Swiss=8 | 真菌孢子,翡翠,笔与墨,毒液,彩虹药水,毒蜥
  4. RR=212 anchor_m=157 Swiss=9 | 鳄鱼眼泪,拆信刀,毒蜥,萤火虫,蛇怪之牙,手术刀
  5. RR=216 anchor_m=148 Swiss=9 | 鳄鱼眼泪,瓶装闪电,拆信刀,毒蜥,蛇怪之牙,手术刀
  6. RR=209 anchor_m=155 Swiss=9 | 鳄鱼眼泪,拆信刀,毒蜥,蛇怪之牙,手术刀,倒刺利爪
  7. RR=208 anchor_m=156 Swiss=9 | 真菌孢子,笔与墨,毒液,翡翠,毒芹,毒蜥
  8. RR=206 anchor_m=153 Swiss=8 | 翡翠,真菌孢子,黑玫瑰,毒蜥,笔与墨,毒液
  9. RR=200 anchor_m=157 Swiss=8 | 真菌孢子,笔与墨,毒液,翡翠,再生药水,毒蜥
  10. RR=207 anchor_m=131 Swiss=8 | 真菌孢子,毒液注射,倒刺利爪,毒液,翡翠,毒蜥
  11. RR=200 anchor_m=135 Swiss=8 | 鳄鱼眼泪,拆信刀,毒蜥,蛇怪之牙,离子闪电,手术刀
  12. RR=176 anchor_m=173 Swiss=8 | 水蛭,真菌孢子,毒液,翡翠,毒蜥
  13. RR=178 anchor_m=157 Swiss=8 | 剧毒药水,真菌孢子,笔与墨,毒液,翡翠,毒蜥
  14. RR=183 anchor_m=146 Swiss=8 | 鳄鱼眼泪,拆信刀,毒蜥,蛇怪之牙,红宝石,手术刀
  15. RR=190 anchor_m=131 Swiss=8 | 蜡烛,拆信刀,毒蜥,蛇怪之牙,手术刀
  16. RR=175 anchor_m=155 Swiss=8 | 真菌孢子,翡翠,毒芹,笔与墨,彩虹药水,毒蜥
  17. RR=203 anchor_m=96 Swiss=9 | 鳄鱼眼泪,翡翠,拆信刀,毒蜥,蛇怪之牙,手术刀
  18. RR=181 anchor_m=138 Swiss=8 | 鳄鱼眼泪,拆信刀,毒蜥,蛇怪之牙,手术刀,塔兹迪亚匕首
  19. RR=172 anchor_m=142 Swiss=8 | 香炉,真菌孢子,笔与墨,毒液,翡翠,毒蜥
  20. RR=219 anchor_m=47 Swiss=9 | 鳄鱼眼泪,拆信刀,毒蜥,蛇怪之牙,彩虹药水,手术刀

[GDF] seeds: 水蛭
[GDF] size=6 top 20
  1. RR=295 anchor_m=295 Swiss=10 | 毒液注射,水蛭,翡翠,倒刺利爪,毒液
  2. RR=277 anchor_m=276 Swiss=9 | 水蛭,真菌孢子,毒液注射,倒刺利爪,毒液
  3. RR=273 anchor_m=273 Swiss=9 | 水蛭,倒刺利爪,毒液,地刺陷阱,翡翠
  4. RR=274 anchor_m=269 Swiss=9 | 翡翠,水蛭,真菌孢子,毒液注射,毒液
  5. RR=269 anchor_m=265 Swiss=9 | 水蛭,真菌孢子,倒刺利爪,毒液,地刺陷阱
  6. RR=259 anchor_m=247 Swiss=9 | 水蛭,真菌孢子,倒刺利爪,毒液,翡翠
  7. RR=242 anchor_m=242 Swiss=9 | 翡翠,地刺陷阱,真菌孢子,水蛭,毒液注射
  8. RR=240 anchor_m=240 Swiss=9 | 水蛭,翡翠,地刺陷阱,毒液注射,毒液
  9. RR=232 anchor_m=232 Swiss=9 | 水蛭,毒蜥,真菌孢子,倒刺利爪,毒液
