# gdf_enumerate_anchor_top1: full Top-K per anchor (last size tier only)
[GDF] seeds: 三花
[GDF] size=10 top 20
  1. RR=233 anchor_m=135 Swiss=9 | 舱底蠕虫,三花,鲨齿爪,手斧,飞鱼,淬锋钢,弹簧刀,马龙鱼
  1. RR=238 anchor_m=89 Swiss=9 | 舱底蠕虫,手斧,飞鱼,淬锋钢,手里剑,鲨齿爪,弹簧刀,马龙鱼
  2. RR=218 anchor_m=202 Swiss=9 | 靴里剑,飞鱼,淬锋钢,手里剑,鲨齿爪,葡萄弹,手斧,马龙鱼
  3. RR=205 anchor_m=175 Swiss=9 | 舱底蠕虫,手斧,飞鱼,淬锋钢,手里剑,葡萄弹,鲨齿爪,马龙鱼
  4. RR=211 anchor_m=62 Swiss=9 | 珊瑚,淬锋钢,马龙鱼,绵鳚,鲨齿爪,手斧,手里剑,舱底蠕虫
  5. RR=216 anchor_m=41 Swiss=8 | 珊瑚,淬锋钢,葡萄弹,手斧,手里剑,手雷,填弹杆,步枪
  6. RR=192 anchor_m=82 Swiss=8 | 舱底蠕虫,手斧,飞鱼,靴里剑,淬锋钢,手里剑,鲨齿爪,马龙鱼
  7. RR=198 anchor_m=67 Swiss=9 | 燃烧响炮,淬锋钢,马龙鱼,绵鳚,鲨齿爪,手里剑,手斧,舱底蠕虫
  8. RR=159 anchor_m=138 Swiss=8 | 飞鱼,淬锋钢,手里剑,鲨齿爪,葡萄弹,手斧,弹簧刀,马龙鱼
  9. RR=181 anchor_m=89 Swiss=9 | 舱底蠕虫,手斧,飞鱼,左轮手枪,淬锋钢,手里剑,鲨齿爪,马龙鱼
  10. RR=180 anchor_m=87 Swiss=8 | 飞鱼,淬锋钢,手里剑,鲨齿爪,靴里剑,手斧,弹簧刀,马龙鱼
  11. RR=197 anchor_m=22 Swiss=9 | 靴里剑,淬锋钢,手斧,手里剑,葡萄弹,手雷,填弹杆,步枪
  12. RR=172 anchor_m=66 Swiss=8 | 海螺壳,淬锋钢,马龙鱼,绵鳚,鲨齿爪,手里剑,手斧,舱底蠕虫
  13. RR=182 anchor_m=46 Swiss=8 | 水草,淬锋钢,马龙鱼,绵鳚,鲨齿爪,手斧,手里剑,舱底蠕虫
  14. RR=173 anchor_m=53 Swiss=7 | 珊瑚护甲,淬锋钢,马龙鱼,绵鳚,鲨齿爪,手里剑,舱底蠕虫
  15. RR=168 anchor_m=61 Swiss=8 | 舱底蠕虫,手斧,飞鱼,藏刃匕首,淬锋钢,手里剑,鲨齿爪,马龙鱼
  16. RR=178 anchor_m=40 Swiss=8 | 珊瑚,淬锋钢,马龙鱼,绵鳚,鲨齿爪,手里剑,飞鱼,舱底蠕虫
  17. RR=175 anchor_m=40 Swiss=8 | 鲨齿爪,淬锋钢,手斧,手里剑,手雷,填弹杆,步枪
  18. RR=177 anchor_m=35 Swiss=9 | 水草,珊瑚,淬锋钢,马龙鱼,绵鳚,鲨齿爪,手里剑,舱底蠕虫
  19. RR=181 anchor_m=14 Swiss=8 | 流星索,淬锋钢,珊瑚护甲,手里剑,手雷,填弹杆,步枪
  20. RR=150 anchor_m=71 Swiss=8 | 珊瑚,鲨齿爪,淬锋钢,葡萄弹,手里剑,填弹杆,步枪

[GDF] seeds: 手雷
[GDF] size=10 top 20
  1. RR=227 anchor_m=227 Swiss=8 | 手斧,火药角,手雷,绵鳚,狼筅,鲨齿爪,靴里剑,葡萄弹
  2. RR=191 anchor_m=191 Swiss=8 | 珊瑚护甲,珊瑚,火药角,手雷,绵鳚,狼筅,葡萄弹,淬锋钢
  3. RR=194 anchor_m=185 Swiss=8 | 靴里剑,手斧,鲨齿爪,淬锋钢,火药角,手雷,弹簧刀,马龙鱼
  4. RR=187 anchor_m=186 Swiss=9 | 火药角,手雷,鲨齿爪,淬锋钢,手斧,葡萄弹,弹簧刀,马龙鱼
  5. RR=181 anchor_m=174 Swiss=8 | 手斧,鲨齿爪,淬锋钢,火药角,手雷,弹簧刀,马龙鱼,珊瑚
  6. RR=198 anchor_m=136 Swiss=9 | 手斧,火药角,流星索,绵鳚,步枪,填弹杆,手雷,珊瑚
  7. RR=175 anchor_m=175 Swiss=8 | 珊瑚,火药角,手雷,鲨齿爪,淬锋钢,葡萄弹,弹簧刀,马龙鱼
  8. RR=174 anchor_m=171 Swiss=8 | 鲨齿爪,火药角,手雷,葡萄弹,淬锋钢,手斧,舱底蠕虫,马龙鱼
  9. RR=173 anchor_m=173 Swiss=8 | 手斧,火药角,手雷,绵鳚,狼筅,舱底蠕虫,鲨齿爪,葡萄弹
  10. RR=171 anchor_m=171 Swiss=8 | 鲨齿爪,火药角,手雷,绵鳚,葡萄弹,淬锋钢,靴里剑,手斧,舱底蠕虫
  11. RR=179 anchor_m=147 Swiss=8 | 火药角,流星索,绵鳚,步枪,填弹杆,手雷,珊瑚,燃烧响炮
  12. RR=183 anchor_m=134 Swiss=9 | 火药角,流星索,绵鳚,步枪,填弹杆,手雷,皮皮虾,珊瑚
  13. RR=164 anchor_m=162 Swiss=7 | 手斧,鲨齿爪,左轮手枪,淬锋钢,火药角,手雷,弹簧刀,马龙鱼
  14. RR=164 anchor_m=159 Swiss=8 | 鲨齿爪,靴里剑,火药角,手雷,葡萄弹,左轮手枪,淬锋钢,手斧,舱底蠕虫
  15. RR=161 anchor_m=161 Swiss=8 | 手斧,淬锋钢,葡萄弹,沙滩充气球,火药角,手雷,弹簧刀,马龙鱼
  16. RR=160 anchor_m=160 Swiss=8 | 三花,手斧,火药角,手雷,绵鳚,狼筅,鲨齿爪,葡萄弹
  17. RR=158 anchor_m=158 Swiss=8 | 手斧,火药角,手雷,绵鳚,狼筅,鲨齿爪,葡萄弹,珊瑚
  18. RR=167 anchor_m=138 Swiss=9 | 鲨齿爪,火药角,流星索,步枪,填弹杆,手雷,珊瑚
  19. RR=167 anchor_m=137 Swiss=8 | 火药角,流星索,绵鳚,步枪,填弹杆,手雷,珊瑚,打火机
  20. RR=154 anchor_m=151 Swiss=8 | 珊瑚,火药角,手雷,绵鳚,鲨齿爪,手斧,淬锋钢,靴里剑,舱底蠕虫

[GDF] seeds: 打火机
[GDF] size=10 top 20
  1. RR=262 anchor_m=50 Swiss=10 | 鱼饵,珊瑚,珍珠,水母,雪怪蟹,毒须鲶,绵鳚,水草,海螺壳,打火机
  2. RR=254 anchor_m=238 Swiss=9 | 海底热泉,绵鳚,迷幻蝠鲼,鹦鹉皮特,皮皮虾,打火机,水草,珊瑚,燃烧响炮
  3. RR=248 anchor_m=238 Swiss=9 | 流星索,海底热泉,绵鳚,鹦鹉皮特,迷幻蝠鲼,皮皮虾,打火机,水草,燃烧响炮
  4. RR=237 anchor_m=230 Swiss=9 | 海底热泉,绵鳚,鹦鹉皮特,迷幻蝠鲼,皮皮虾,打火机,水草,珍珠,燃烧响炮
  5. RR=223 anchor_m=223 Swiss=8 | 飞鱼,迷幻蝠鲼,鹦鹉皮特,皮皮虾,水草,海底热泉,绵鳚,打火机,燃烧响炮
  6. RR=215 anchor_m=215 Swiss=8 | 食人鱼,迷幻蝠鲼,鹦鹉皮特,皮皮虾,水草,海底热泉,绵鳚,打火机,燃烧响炮
  7. RR=204 anchor_m=196 Swiss=8 | 抓钩,海底热泉,绵鳚,鹦鹉皮特,迷幻蝠鲼,皮皮虾,打火机,水草,燃烧响炮
  8. RR=185 anchor_m=184 Swiss=8 | 葡萄弹,海底热泉,绵鳚,鹦鹉皮特,迷幻蝠鲼,皮皮虾,打火机,水草,燃烧响炮
  9. RR=181 anchor_m=180 Swiss=8 | 海底热泉,绵鳚,鹦鹉皮特,迷幻蝠鲼,皮皮虾,打火机,藏刃匕首,水草,燃烧响炮
  10. RR=179 anchor_m=175 Swiss=9 | 龙涎香,海底热泉,绵鳚,鹦鹉皮特,迷幻蝠鲼,皮皮虾,打火机,水草,燃烧响炮
  11. RR=177 anchor_m=177 Swiss=9 | 独角鲸,迷幻蝠鲼,鹦鹉皮特,皮皮虾,水草,海底热泉,绵鳚,打火机,燃烧响炮
  12. RR=214 anchor_m=87 Swiss=9 | 鱼饵,海螺壳,毒须鲶,绵鳚,珊瑚护甲,珊瑚,打火机,珍珠,水草
  13. RR=163 anchor_m=163 Swiss=8 | 毒须鲶,迷幻蝠鲼,鹦鹉皮特,皮皮虾,水草,海底热泉,绵鳚,打火机,燃烧响炮
  14. RR=163 anchor_m=161 Swiss=8 | 海底热泉,绵鳚,鹦鹉皮特,迷幻蝠鲼,皮皮虾,打火机,手斧,水草,燃烧响炮
  15. RR=201 anchor_m=85 Swiss=8 | 珊瑚,珍珠,水母,雪怪蟹,毒须鲶,绵鳚,水草,海螺壳,打火机,飞鱼
  16. RR=205 anchor_m=75 Swiss=8 | 龙涎香,珊瑚,珍珠,水母,雪怪蟹,毒须鲶,绵鳚,水草,海螺壳,打火机
  17. RR=160 anchor_m=159 Swiss=8 | 靴里剑,海底热泉,绵鳚,鹦鹉皮特,迷幻蝠鲼,皮皮虾,打火机,水草,燃烧响炮
  18. RR=194 anchor_m=68 Swiss=8 | 雪怪蟹,毒须鲶,绵鳚,海螺壳,珊瑚,珊瑚护甲,打火机,鱼饵,水草
  19. RR=149 anchor_m=149 Swiss=8 | 食人鱼,迷幻蝠鲼,皮皮虾,水草,海底热泉,绵鳚,打火机,燃烧响炮,海螺壳
  20. RR=170 anchor_m=105 Swiss=9 | 珊瑚,珍珠,水母,雪怪蟹,毒须鲶,绵鳚,水草,海螺壳,淬锋钢,打火机

[GDF] seeds: 抓钩
[GDF] size=10 top 20
  1. RR=257 anchor_m=54 Swiss=8 | 舱底蠕虫,手斧,淬锋钢,飞鱼,抓钩,鲨齿爪,绵鳚,马龙鱼
  2. RR=238 anchor_m=127 Swiss=10 | 靴里剑,燃烧响炮,淬锋钢,飞鱼,抓钩,鲨齿爪,绵鳚,马龙鱼
  3. RR=232 anchor_m=95 Swiss=9 | 燃烧响炮,淬锋钢,手斧,飞鱼,抓钩,鲨齿爪,绵鳚,马龙鱼
  4. RR=225 anchor_m=98 Swiss=9 | 水草,燃烧响炮,淬锋钢,飞鱼,抓钩,鲨齿爪,绵鳚,马龙鱼
  5. RR=228 anchor_m=77 Swiss=8 | 舱底蠕虫,流星索,淬锋钢,飞鱼,抓钩,鲨齿爪,绵鳚,马龙鱼
  6. RR=213 anchor_m=100 Swiss=9 | 燃烧响炮,淬锋钢,飞鱼,抓钩,葡萄弹,鲨齿爪,绵鳚,马龙鱼
  7. RR=205 anchor_m=100 Swiss=9 | 舱底蠕虫,珊瑚,淬锋钢,飞鱼,抓钩,鲨齿爪,绵鳚,马龙鱼
  8. RR=200 anchor_m=105 Swiss=8 | 淬锋钢,马龙鱼,弹簧刀,手斧,靴里剑,抓钩,鲨齿爪,飞鱼
  9. RR=200 anchor_m=103 Swiss=9 | 手斧,淬锋钢,弹簧刀,马龙鱼,绵鳚,鲨齿爪,抓钩,舱底蠕虫
  10. RR=208 anchor_m=83 Swiss=8 | 淬锋钢,飞鱼,鲨齿爪,手斧,抓钩,左轮手枪,弹簧刀,马龙鱼
  11. RR=204 anchor_m=82 Swiss=8 | 舱底蠕虫,水草,淬锋钢,飞鱼,抓钩,鲨齿爪,绵鳚,马龙鱼
  12. RR=188 anchor_m=109 Swiss=8 | 舱底蠕虫,三花,淬锋钢,飞鱼,抓钩,鲨齿爪,绵鳚,马龙鱼
  13. RR=187 anchor_m=108 Swiss=9 | 海螺壳,舱底蠕虫,淬锋钢,飞鱼,抓钩,鲨齿爪,绵鳚,马龙鱼
  14. RR=185 anchor_m=102 Swiss=8 | 珊瑚,淬锋钢,马龙鱼,绵鳚,抓钩,手斧,鲨齿爪,舱底蠕虫
  15. RR=167 anchor_m=122 Swiss=8 | 燃烧响炮,迷你弯刀,淬锋钢,飞鱼,抓钩,鲨齿爪,绵鳚,马龙鱼
  16. RR=179 anchor_m=97 Swiss=9 | 燃烧响炮,淬锋钢,飞鱼,抓钩,珊瑚,鲨齿爪,绵鳚,马龙鱼
  17. RR=181 anchor_m=85 Swiss=9 | 燃烧响炮,舱底蠕虫,淬锋钢,飞鱼,抓钩,鲨齿爪,绵鳚,马龙鱼
  18. RR=178 anchor_m=90 Swiss=8 | 珊瑚,淬锋钢,马龙鱼,绵鳚,鲨齿爪,藏刃匕首,抓钩,舱底蠕虫
  19. RR=175 anchor_m=84 Swiss=9 | 燃烧响炮,打火机,淬锋钢,飞鱼,抓钩,鲨齿爪,绵鳚,马龙鱼
  20. RR=165 anchor_m=99 Swiss=8 | 救生圈,淬锋钢,马龙鱼,绵鳚,鲨齿爪,手斧,抓钩

[GDF] seeds: 救生圈
[GDF] size=10 top 20
  1. RR=260 anchor_m=243 Swiss=9 | 救生圈,舱底蠕虫,鲨齿爪,淬锋钢,飞鱼,弹簧刀,马龙鱼
  2. RR=250 anchor_m=234 Swiss=8 | 救生圈,飞鱼,舱底蠕虫,淬锋钢,鲨齿爪,绵鳚,马龙鱼
  3. RR=253 anchor_m=211 Swiss=8 | 救生圈,舱底蠕虫,淬锋钢,手斧,鲨齿爪,绵鳚,马龙鱼
  4. RR=250 anchor_m=196 Swiss=9 | 水草,马龙鱼,绵鳚,鲨齿爪,飞鱼,淬锋钢,救生圈
  5. RR=237 anchor_m=215 Swiss=10 | 救生圈,舱底蠕虫,淬锋钢,鲨齿爪,手斧,弹簧刀,马龙鱼
  6. RR=220 anchor_m=199 Swiss=8 | 救生圈,舱底蠕虫,淬锋钢,飞鱼,手斧,鲨齿爪,马龙鱼
  7. RR=218 anchor_m=187 Swiss=9 | 珊瑚,马龙鱼,弹簧刀,飞鱼,淬锋钢,救生圈,鲨齿爪
  8. RR=201 anchor_m=194 Swiss=9 | 救生圈,迷你弯刀,舱底蠕虫,淬锋钢,鲨齿爪,绵鳚,马龙鱼
  9. RR=201 anchor_m=192 Swiss=8 | 救生圈,舱底蠕虫,打火机,淬锋钢,鲨齿爪,绵鳚,马龙鱼
  10. RR=190 anchor_m=190 Swiss=8 | 救生圈,迷你弯刀,舱底蠕虫,淬锋钢,鲨齿爪,弹簧刀,马龙鱼
  11. RR=194 anchor_m=181 Swiss=8 | 救生圈,舱底蠕虫,淬锋钢,鲨齿爪,独角鲸,弹簧刀,马龙鱼
  12. RR=197 anchor_m=173 Swiss=8 | 救生圈,舱底蠕虫,靴里剑,淬锋钢,鲨齿爪,绵鳚,马龙鱼
  13. RR=193 anchor_m=177 Swiss=9 | 救生圈,舱底蠕虫,淬锋钢,珊瑚,鲨齿爪,绵鳚,马龙鱼
  14. RR=191 anchor_m=177 Swiss=9 | 救生圈,舱底蠕虫,淬锋钢,鲨齿爪,弹簧刀,马龙鱼,珊瑚
  15. RR=192 anchor_m=165 Swiss=8 | 救生圈,舱底蠕虫,淬锋钢,藏刃匕首,鲨齿爪,绵鳚,马龙鱼
  16. RR=186 anchor_m=174 Swiss=8 | 救生圈,左轮手枪,舱底蠕虫,淬锋钢,鲨齿爪,绵鳚,马龙鱼
  17. RR=179 anchor_m=170 Swiss=9 | 救生圈,舱底蠕虫,淬锋钢,鲨齿爪,绵鳚,马龙鱼,水草
  18. RR=179 anchor_m=165 Swiss=8 | 救生圈,舱底蠕虫,淬锋钢,鲨齿爪,左轮手枪,弹簧刀,马龙鱼
  19. RR=175 anchor_m=171 Swiss=8 | 救生圈,独角鲸,舱底蠕虫,淬锋钢,鲨齿爪,绵鳚,马龙鱼
  20. RR=175 anchor_m=164 Swiss=8 | 雪怪蟹,马龙鱼,绵鳚,鲨齿爪,飞鱼,淬锋钢,救生圈

[GDF] seeds: 星图
[GDF] size=10 top 20
  1. RR=256 anchor_m=70 Swiss=10 | 藏刃匕首,手斧,弹簧刀,马龙鱼,星图,沙滩充气球,淬锋钢
  2. RR=237 anchor_m=65 Swiss=8 | 舱底蠕虫,藏刃匕首,弹簧刀,马龙鱼,星图,沙滩充气球,淬锋钢
  3. RR=224 anchor_m=54 Swiss=9 | 藏刃匕首,鲨齿爪,绵鳚,马龙鱼,星图,珊瑚,淬锋钢
  4. RR=241 anchor_m=10 Swiss=9 | 舱底蠕虫,藏刃匕首,鲨齿爪,绵鳚,马龙鱼,星图,淬锋钢
  5. RR=228 anchor_m=32 Swiss=9 | 舱底蠕虫,鲨齿爪,藏刃匕首,弹簧刀,马龙鱼,星图,淬锋钢
  6. RR=230 anchor_m=14 Swiss=9 | 水草,星图,飞鱼,淬锋钢,鲨齿爪,绵鳚,马龙鱼
  7. RR=201 anchor_m=66 Swiss=9 | 靴里剑,沙滩充气球,藏刃匕首,弹簧刀,马龙鱼,星图,淬锋钢
  8. RR=187 anchor_m=65 Swiss=8 | 藏刃匕首,燃烧响炮,鲨齿爪,绵鳚,马龙鱼,星图,淬锋钢
  9. RR=208 anchor_m=21 Swiss=8 | 舱底蠕虫,藏刃匕首,鲨齿爪,手斧,马龙鱼,星图,淬锋钢
  10. RR=205 anchor_m=22 Swiss=9 | 藏刃匕首,鲨齿爪,手斧,弹簧刀,马龙鱼,星图,淬锋钢
  11. RR=186 anchor_m=53 Swiss=8 | 藏刃匕首,鲨齿爪,绵鳚,马龙鱼,星图,淬锋钢,打火机
  12. RR=169 anchor_m=72 Swiss=8 | 左轮手枪,沙滩充气球,藏刃匕首,弹簧刀,马龙鱼,星图,淬锋钢
  13. RR=203 anchor_m=1 Swiss=9 | 藏刃匕首,手斧,鲨齿爪,绵鳚,马龙鱼,星图,淬锋钢
  14. RR=166 anchor_m=50 Swiss=8 | 沙滩充气球,藏刃匕首,流星索,弹簧刀,马龙鱼,星图,淬锋钢
  15. RR=173 anchor_m=36 Swiss=8 | 水草,星图,飞鱼,淬锋钢,珊瑚,鲨齿爪,马龙鱼
  16. RR=171 anchor_m=33 Swiss=9 | 珊瑚,舱底蠕虫,藏刃匕首,鲨齿爪,马龙鱼,星图,淬锋钢
  17. RR=159 anchor_m=56 Swiss=8 | 舱底蠕虫,手斧,藏刃匕首,弹簧刀,马龙鱼,星图,淬锋钢,珊瑚
  18. RR=166 anchor_m=37 Swiss=8 | 靴里剑,手斧,藏刃匕首,鲨齿爪,马龙鱼,星图,淬锋钢
  19. RR=144 anchor_m=79 Swiss=8 | 水草,珊瑚护甲,星图,飞鱼,淬锋钢,绵鳚,马龙鱼
  20. RR=172 anchor_m=23 Swiss=8 | 藏刃匕首,靴里剑,鲨齿爪,绵鳚,马龙鱼,星图,淬锋钢

[GDF] seeds: 木桶
[GDF] size=10 top 20
  1. RR=263 anchor_m=153 Swiss=10 | 珊瑚,淬锋钢,木桶,马龙鱼,弹簧刀,鲨齿爪,舱底蠕虫
  2. RR=248 anchor_m=164 Swiss=9 | 水草,淬锋钢,木桶,马龙鱼,弹簧刀,鲨齿爪,舱底蠕虫
  3. RR=232 anchor_m=164 Swiss=8 | 水母,淬锋钢,木桶,马龙鱼,弹簧刀,鲨齿爪,舱底蠕虫
  4. RR=228 anchor_m=152 Swiss=8 | 毒须鲶,淬锋钢,木桶,马龙鱼,弹簧刀,鲨齿爪,舱底蠕虫
  5. RR=215 anchor_m=171 Swiss=9 | 燃烧响炮,淬锋钢,木桶,马龙鱼,弹簧刀,鲨齿爪,舱底蠕虫
  6. RR=202 anchor_m=175 Swiss=8 | 淬锋钢,木桶,马龙鱼,弹簧刀,鲨齿爪,沙滩充气球
  7. RR=219 anchor_m=140 Swiss=9 | 淬锋钢,木桶,马龙鱼,弹簧刀,沙滩充气球,手斧,舱底蠕虫
  8. RR=193 anchor_m=187 Swiss=8 | 鹦鹉皮特,淬锋钢,木桶,马龙鱼,弹簧刀,沙滩充气球,舱底蠕虫
  9. RR=231 anchor_m=110 Swiss=9 | 手斧,淬锋钢,木桶,马龙鱼,弹簧刀,鲨齿爪,舱底蠕虫
  10. RR=200 anchor_m=156 Swiss=8 | 珊瑚,淬锋钢,木桶,马龙鱼,弹簧刀,鲨齿爪,飞鱼
  11. RR=194 anchor_m=161 Swiss=8 | 淬锋钢,木桶,马龙鱼,弹簧刀,武士刀,沙滩充气球
  12. RR=206 anchor_m=135 Swiss=8 | 雪怪蟹,淬锋钢,木桶,马龙鱼,弹簧刀,鲨齿爪,舱底蠕虫
  13. RR=198 anchor_m=147 Swiss=8 | 海螺壳,淬锋钢,木桶,马龙鱼,弹簧刀,鲨齿爪,舱底蠕虫
  14. RR=191 anchor_m=153 Swiss=8 | 淬锋钢,木桶,马龙鱼,弹簧刀,手斧,鲨齿爪,飞鱼
  15. RR=196 anchor_m=136 Swiss=8 | 淬锋钢,木桶,马龙鱼,弹簧刀,手斧,沙滩充气球,藏刃匕首
  16. RR=190 anchor_m=141 Swiss=8 | 靴里剑,淬锋钢,木桶,马龙鱼,弹簧刀,鲨齿爪,舱底蠕虫
  17. RR=214 anchor_m=89 Swiss=9 | 淬锋钢,木桶,马龙鱼,弹簧刀,飞鱼,鲨齿爪,舱底蠕虫
  18. RR=182 anchor_m=139 Swiss=7 | 迷幻蝠鲼,淬锋钢,木桶,马龙鱼,弹簧刀,鲨齿爪,舱底蠕虫
  19. RR=178 anchor_m=138 Swiss=9 | 三花,淬锋钢,木桶,马龙鱼,弹簧刀,鲨齿爪,舱底蠕虫
  20. RR=202 anchor_m=89 Swiss=8 | 淬锋钢,木桶,马龙鱼,弹簧刀,藏刃匕首,鲨齿爪,舱底蠕虫

[GDF] seeds: 步枪
[GDF] size=10 top 20
  1. RR=195 anchor_m=195 Swiss=8 | 珊瑚护甲,葡萄弹,手雷,填弹杆,步枪,珊瑚,淬锋钢
  2. RR=194 anchor_m=194 Swiss=8 | 珊瑚,葡萄弹,步枪,填弹杆,手雷,手斧,鲨齿爪
  3. RR=193 anchor_m=193 Swiss=9 | 葡萄弹,狼筅,手雷,填弹杆,步枪,珊瑚,淬锋钢
  4. RR=191 anchor_m=191 Swiss=8 | 狼筅,葡萄弹,绵鳚,步枪,填弹杆,手雷,珊瑚
  5. RR=186 anchor_m=186 Swiss=9 | 鲨齿爪,葡萄弹,绵鳚,步枪,填弹杆,手雷,珊瑚
  6. RR=185 anchor_m=185 Swiss=10 | 流星索,葡萄弹,步枪,填弹杆,手雷,手斧,鲨齿爪
  7. RR=177 anchor_m=177 Swiss=8 | 舱底蠕虫,珊瑚,葡萄弹,步枪,填弹杆,手雷,鲨齿爪
  8. RR=174 anchor_m=174 Swiss=8 | 珊瑚,抓钩,葡萄弹,步枪,填弹杆,手雷,鲨齿爪
  9. RR=170 anchor_m=170 Swiss=8 | 步枪,填弹杆,手雷,抓钩,手斧,葡萄弹,淬锋钢,珊瑚
  10. RR=170 anchor_m=170 Swiss=7 | 手斧,珊瑚,葡萄弹,步枪,填弹杆,手雷,狼筅
  11. RR=170 anchor_m=169 Swiss=8 | 葡萄弹,手斧,靴里剑,手雷,填弹杆,步枪,珊瑚,淬锋钢
  12. RR=169 anchor_m=169 Swiss=8 | 珊瑚,绵鳚,步枪,填弹杆,手雷,手斧,珊瑚护甲
  13. RR=168 anchor_m=168 Swiss=8 | 珊瑚,绵鳚,步枪,填弹杆,手雷,葡萄弹,靴里剑,手斧
  14. RR=167 anchor_m=167 Swiss=8 | 珊瑚,葡萄弹,绵鳚,步枪,填弹杆,手雷,燃烧响炮,淬锋钢
  15. RR=164 anchor_m=164 Swiss=8 | 珊瑚,步枪,填弹杆,手雷,淬锋钢,珊瑚护甲,舱底蠕虫
  16. RR=164 anchor_m=164 Swiss=9 | 珊瑚,藏刃匕首,绵鳚,步枪,填弹杆,手雷,葡萄弹,手斧
  17. RR=163 anchor_m=163 Swiss=8 | 水草,珊瑚护甲,手雷,填弹杆,步枪,珊瑚,淬锋钢
  18. RR=160 anchor_m=160 Swiss=8 | 珊瑚,流星索,绵鳚,步枪,填弹杆,手雷,葡萄弹,手斧
  19. RR=159 anchor_m=159 Swiss=8 | 葡萄弹,狼筅,手斧,步枪,填弹杆,手雷,淬锋钢
  20. RR=159 anchor_m=159 Swiss=7 | 珊瑚,葡萄弹,藏刃匕首,步枪,填弹杆,手雷,鲨齿爪

[GDF] seeds: 武士刀
[GDF] size=10 top 20
  1. RR=258 anchor_m=258 Swiss=9 | 手斧,靴里剑,鲨齿爪,左轮手枪,弹簧刀,武士刀,刺刀,葡萄弹
  2. RR=236 anchor_m=236 Swiss=9 | 珊瑚,靴里剑,手斧,鲨齿爪,弹簧刀,武士刀,刺刀,淬锋钢
  3. RR=236 anchor_m=236 Swiss=8 | 手斧,流星索,鲨齿爪,迷你弯刀,弹簧刀,武士刀,刺刀,靴里剑
  4. RR=235 anchor_m=235 Swiss=9 | 鲨齿爪,流星索,葡萄弹,手斧,左轮手枪,弹簧刀,武士刀,刺刀
  5. RR=232 anchor_m=232 Swiss=8 | 舱底蠕虫,靴里剑,手斧,鲨齿爪,弹簧刀,武士刀,刺刀,淬锋钢
  6. RR=225 anchor_m=225 Swiss=8 | 流星索,手斧,鲨齿爪,舱底蠕虫,靴里剑,弹簧刀,武士刀,刺刀
  7. RR=213 anchor_m=213 Swiss=8 | 手斧,鲨齿爪,珊瑚,左轮手枪,弹簧刀,武士刀,刺刀,葡萄弹
  8. RR=210 anchor_m=210 Swiss=9 | 舱底蠕虫,流星索,手斧,鲨齿爪,弹簧刀,武士刀,刺刀,淬锋钢
  9. RR=208 anchor_m=208 Swiss=9 | 手斧,鲨齿爪,独角鲸,弹簧刀,武士刀,刺刀,流星索,靴里剑
  10. RR=207 anchor_m=207 Swiss=8 | 舱底蠕虫,鲨齿爪,葡萄弹,手斧,左轮手枪,弹簧刀,武士刀,刺刀
  11. RR=199 anchor_m=199 Swiss=8 | 鲨齿爪,葡萄弹,三花,手斧,左轮手枪,弹簧刀,武士刀,刺刀
  12. RR=196 anchor_m=196 Swiss=8 | 狼筅,鲨齿爪,弹簧刀,武士刀,刺刀,手斧,舱底蠕虫
  13. RR=196 anchor_m=196 Swiss=9 | 手斧,鲨齿爪,舱底蠕虫,靴里剑,左轮手枪,弹簧刀,武士刀,刺刀
  14. RR=195 anchor_m=195 Swiss=8 | 手斧,狼筅,鲨齿爪,靴里剑,弹簧刀,武士刀,刺刀
  15. RR=194 anchor_m=194 Swiss=9 | 靴里剑,手斧,流星索,鲨齿爪,弹簧刀,武士刀,刺刀,淬锋钢
  16. RR=193 anchor_m=193 Swiss=8 | 舱底蠕虫,手斧,淬锋钢,鲨齿爪,左轮手枪,弹簧刀,武士刀,刺刀
  17. RR=185 anchor_m=185 Swiss=8 | 手斧,珊瑚,鲨齿爪,靴里剑,迷你弯刀,弹簧刀,武士刀,刺刀
  18. RR=181 anchor_m=181 Swiss=8 | 手斧,靴里剑,鲨齿爪,三花,左轮手枪,弹簧刀,武士刀,刺刀
  19. RR=181 anchor_m=181 Swiss=8 | 手斧,珊瑚,鲨齿爪,靴里剑,独角鲸,弹簧刀,武士刀,刺刀
  20. RR=180 anchor_m=180 Swiss=8 | 舱底蠕虫,手斧,鲨齿爪,迷你弯刀,弹簧刀,武士刀,刺刀,淬锋钢

[GDF] seeds: 毒须鲶
[GDF] size=10 top 20
  1. RR=219 anchor_m=196 Swiss=8 | 海螺壳,珊瑚,鱼饵,淬锋钢,飞鱼,水母,雪怪蟹,毒须鲶,绵鳚,水草
  2. RR=219 anchor_m=195 Swiss=8 | 海螺壳,淬锋钢,鱼饵,飞鱼,迷幻蝠鲼,水母,雪怪蟹,毒须鲶,绵鳚,水草
  3. RR=211 anchor_m=186 Swiss=8 | 淬锋钢,鱼饵,海螺壳,珍珠,飞鱼,水母,雪怪蟹,毒须鲶,绵鳚,水草
  4. RR=200 anchor_m=175 Swiss=9 | 鱼饵,海螺壳,食人鱼,迷幻蝠鲼,水母,雪怪蟹,毒须鲶,绵鳚,水草,珍珠
