# gdf_enumerate_anchor_top1: full Top-K per anchor (last size tier only)
[GDF] seeds: 三花
[GDF] size=10 top 20
  1. RR=278 anchor_m=6 Swiss=11 | 燃烧响炮,淬锋钢,燃烧子弹,打火机,篝火,绵鳚,加速烙刀,三花
  2. RR=196 anchor_m=108 Swiss=10 | 拍立蚌,十手,藏刃匕首,流星索,炮弹,烈酒杯,大钢弩,皮皮虾,枪套
  3. RR=188 anchor_m=110 Swiss=10 | 拍立蚌,十手,飞镖发射器,大钢弩,火药角,烈酒杯,枪套,皮皮虾,潜水配重
  4. RR=181 anchor_m=107 Swiss=10 | 理查森先生,拍立蚌,十手,大钢弩,火药角,烈酒杯,枪套,皮皮虾,潜水配重
  5. RR=186 anchor_m=95 Swiss=10 | 拍立蚌,抓钩,十手,大钢弩,火药角,烈酒杯,枪套,皮皮虾,潜水配重
  6. RR=183 anchor_m=94 Swiss=10 | 拍立蚌,十手,大钢弩,火药角,烈酒杯,枪套,皮皮虾,潜水配重,迷幻蝠鲼
  7. RR=175 anchor_m=103 Swiss=9 | 小冰镐,拍立蚌,十手,流星索,炮弹,烈酒杯,大钢弩,枪套,皮皮虾
  8. RR=168 anchor_m=113 Swiss=10 | 拍立蚌,十手,大钢弩,火药角,烈酒杯,迷你弯刀,枪套,皮皮虾,潜水配重
  9. RR=172 anchor_m=99 Swiss=11 | 拍立蚌,十手,大钢弩,火药角,烈酒杯,盐钳海盗,枪套,皮皮虾,潜水配重
  10. RR=189 anchor_m=60 Swiss=10 | 拍立蚌,枪套,流星索,十手,大钢弩,火药角,烈酒杯,皮皮虾,潜水配重
  11. RR=174 anchor_m=86 Swiss=9 | 拍立蚌,十手,大钢弩,火药角,烈酒杯,靴里剑,枪套,皮皮虾,潜水配重
  12. RR=163 anchor_m=105 Swiss=10 | 拍立蚌,十手,大钢弩,火药角,烈酒杯,枪套,皮皮虾,潜水配重,手里剑
  13. RR=159 anchor_m=111 Swiss=9 | 拍立蚌,十手,飞鱼,流星索,炮弹,烈酒杯,大钢弩,枪套,皮皮虾
  14. RR=166 anchor_m=97 Swiss=9 | 拍立蚌,十手,大钢弩,火药角,烈酒杯,枪套,皮皮虾,潜水配重,葡萄弹
  15. RR=161 anchor_m=105 Swiss=10 | 抓钩,拍立蚌,枪套,十手,大钢弩,火药角,烈酒杯,绵鳚,皮皮虾
  16. RR=168 anchor_m=91 Swiss=10 | 珊瑚,拍立蚌,十手,大钢弩,火药角,烈酒杯,枪套,皮皮虾,潜水配重
  17. RR=164 anchor_m=97 Swiss=10 | 潜水配重,拍立蚌,枪套,十手,大钢弩,火药角,烈酒杯,绵鳚,皮皮虾
  18. RR=168 anchor_m=88 Swiss=10 | 拍立蚌,十手,手雷,大钢弩,火药角,烈酒杯,枪套,皮皮虾,潜水配重
  19. RR=143 anchor_m=134 Swiss=9 | 飞镖发射器,拍立蚌,水母,枪套,十手,大钢弩,火药角,烈酒杯,皮皮虾
  20. RR=153 anchor_m=109 Swiss=11 | 拍立蚌,十手,流星索,龙涎香,炮弹,烈酒杯,大钢弩,枪套,皮皮虾

[GDF] seeds: 救生圈
[GDF] size=10 top 20
  1. RR=287 anchor_m=206 Swiss=11 | 加速烙刀,篝火,打火机,燃烧子弹,燃烧响炮,绵鳚,救生圈
  2. RR=217 anchor_m=205 Swiss=10 | 加速烙刀,篝火,打火机,燃烧子弹,套娃,燃烧响炮,救生圈
  3. RR=197 anchor_m=181 Swiss=11 | 珊瑚,小冰镐,绵鳚,元素深水炸弹,雪怪蟹,水母,潜水配重,救生圈
  4. RR=199 anchor_m=176 Swiss=11 | 加速烙刀,篝火,打火机,燃烧子弹,燃烧响炮,救生圈,小冰镐
  5. RR=190 anchor_m=176 Swiss=10 | 加速烙刀,绵鳚,篝火,打火机,燃烧响炮,救生圈,烈酒杯
  6. RR=191 anchor_m=169 Swiss=11 | 加速烙刀,篝火,打火机,燃烧子弹,燃烧响炮,救生圈,藏刃匕首
  7. RR=184 anchor_m=172 Swiss=10 | 加速烙刀,篝火,打火机,燃烧子弹,燃烧响炮,枪套,救生圈
  8. RR=186 anchor_m=167 Swiss=10 | 加速烙刀,绵鳚,篝火,打火机,枪套,燃烧响炮,救生圈
  9. RR=183 anchor_m=169 Swiss=10 | 加速烙刀,篝火,打火机,燃烧子弹,燃烧响炮,救生圈,烈酒杯
  10. RR=187 anchor_m=152 Swiss=10 | 小冰镐,绵鳚,元素深水炸弹,雪怪蟹,水母,迷幻蝠鲼,皮皮虾,救生圈
  11. RR=182 anchor_m=161 Swiss=10 | 小冰镐,绵鳚,元素深水炸弹,雪怪蟹,水母,潜水配重,救生圈,水草
  12. RR=179 anchor_m=155 Swiss=10 | 海螺壳,小冰镐,绵鳚,元素深水炸弹,雪怪蟹,水母,迷幻蝠鲼,救生圈
  13. RR=174 anchor_m=163 Swiss=10 | 海螺壳,小冰镐,绵鳚,元素深水炸弹,雪怪蟹,水母,珍珠,救生圈
  14. RR=173 anchor_m=157 Swiss=10 | 小冰镐,绵鳚,元素深水炸弹,雪怪蟹,水母,珊瑚,海螺壳,救生圈
  15. RR=173 anchor_m=155 Swiss=9 | 小冰镐,绵鳚,元素深水炸弹,雪怪蟹,水母,迷幻蝠鲼,珊瑚,救生圈
  16. RR=170 anchor_m=160 Swiss=10 | 靴里剑,加速烙刀,篝火,打火机,燃烧子弹,燃烧响炮,救生圈
  17. RR=170 anchor_m=156 Swiss=10 | 加速烙刀,篝火,打火机,燃烧子弹,燃烧响炮,救生圈,珊瑚
  18. RR=175 anchor_m=141 Swiss=10 | 小冰镐,绵鳚,元素深水炸弹,雪怪蟹,水母,拍立蚌,救生圈,珊瑚
  19. RR=173 anchor_m=138 Swiss=11 | 加速烙刀,篝火,打火机,燃烧子弹,燃烧响炮,拍立蚌,救生圈
  20. RR=166 anchor_m=152 Swiss=10 | 小冰镐,绵鳚,元素深水炸弹,雪怪蟹,水母,珍珠,救生圈,鱼饵

[GDF] seeds: 旗舰
[GDF] size=10 top 20
  1. RR=241 anchor_m=241 Swiss=11 | 船长舱,淬锋钢,旗舰,潜水配重,六分仪
  2. RR=234 anchor_m=234 Swiss=10 | 淬锋钢,旗舰,鸦巢,潜水配重,六分仪
  3. RR=209 anchor_m=209 Swiss=10 | 淬锋钢,旗舰,潜水配重,蔻森娜纹章,鸦巢,雪怪蟹
  4. RR=203 anchor_m=203 Swiss=10 | 淬锋钢,理查森先生,珊瑚,套娃,水车,旗舰
  5. RR=201 anchor_m=201 Swiss=11 | 淬锋钢,迷幻蝠鲼,蔻森娜纹章,旗舰,潜水配重,鸦巢
  6. RR=197 anchor_m=197 Swiss=10 | 淬锋钢,旗舰,潜水配重,鸦巢,海影宝驹
  7. RR=191 anchor_m=191 Swiss=11 | 淬锋钢,旗舰,潜水配重,鸦巢,毒须鲶,蔻森娜纹章
  8. RR=187 anchor_m=187 Swiss=11 | 淬锋钢,迷幻蝠鲼,集成式HUD,旗舰,潜水配重,鸦巢
  9. RR=187 anchor_m=187 Swiss=10 | 淬锋钢,理查森先生,蔻森娜纹章,旗舰,潜水配重,鸦巢
  10. RR=185 anchor_m=185 Swiss=10 | 淬锋钢,集成式HUD,旗舰,潜水配重,鸦巢,雪怪蟹
  11. RR=185 anchor_m=185 Swiss=10 | 淬锋钢,旗舰,潜水配重,水母,鸦巢,蔻森娜纹章
  12. RR=182 anchor_m=182 Swiss=10 | 理查森先生,淬锋钢,集成式HUD,旗舰,潜水配重,鸦巢
  13. RR=181 anchor_m=181 Swiss=10 | 淬锋钢,旗舰,潜水配重,六分仪,蔻森娜纹章,海影宝驹
  14. RR=181 anchor_m=181 Swiss=10 | 淬锋钢,迷幻蝠鲼,旗舰,消音器,潜水配重,鸦巢
  15. RR=181 anchor_m=181 Swiss=9 | 迷幻蝠鲼,套娃,水车,淬锋钢,珊瑚,旗舰
  16. RR=174 anchor_m=174 Swiss=10 | 雪怪蟹,淬锋钢,鸦巢,旗舰,潜水配重,珊瑚
  17. RR=170 anchor_m=170 Swiss=10 | 淬锋钢,集成式HUD,旗舰,潜水配重,鸦巢,毒须鲶
  18. RR=169 anchor_m=169 Swiss=10 | 淬锋钢,蔻森娜纹章,旗舰,潜水配重,定制准镜,鸦巢
  19. RR=166 anchor_m=166 Swiss=10 | 蔻森娜纹章,套娃,水车,淬锋钢,旗舰,雪怪蟹
  20. RR=166 anchor_m=166 Swiss=11 | 船首像,淬锋钢,旗舰,潜水配重,鸦巢

[GDF] seeds: 星图
[GDF] size=10 top 20
  1. RR=248 anchor_m=119 Swiss=10 | 枪套,吸血章鱼,星图,沙滩充气球,六分仪,淬锋钢,潜水配重
  2. RR=246 anchor_m=155 Swiss=11 | 烈酒杯,吸血章鱼,星图,沙滩充气球,六分仪,淬锋钢,潜水配重
  3. RR=234 anchor_m=117 Swiss=11 | 拍立蚌,燃烧子弹,打火机,篝火,加速烙刀,星图,燃烧响炮
  4. RR=222 anchor_m=105 Swiss=11 | 燃烧子弹,打火机,绵鳚,篝火,加速烙刀,星图,燃烧响炮
  5. RR=203 anchor_m=141 Swiss=10 | 打火机,篝火,加速烙刀,星图,燃烧响炮,绵鳚,小冰镐
  6. RR=210 anchor_m=117 Swiss=10 | 枪套,打火机,绵鳚,篝火,加速烙刀,星图,燃烧响炮
  7. RR=198 anchor_m=136 Swiss=10 | 打火机,篝火,加速烙刀,星图,燃烧响炮,绵鳚,烈酒杯
  8. RR=193 anchor_m=142 Swiss=10 | 蔻森娜纹章,吸血章鱼,星图,沙滩充气球,六分仪,淬锋钢,潜水配重
  9. RR=192 anchor_m=143 Swiss=10 | 大钢弩,打火机,篝火,加速烙刀,星图,燃烧响炮
  10. RR=184 anchor_m=156 Swiss=10 | 珊瑚,打火机,枪套,篝火,加速烙刀,星图,燃烧响炮
  11. RR=186 anchor_m=148 Swiss=10 | 吸血章鱼,星图,沙滩充气球,六分仪,淬锋钢,潜水配重,炮弹
  12. RR=191 anchor_m=134 Swiss=11 | 淬锋钢,燃烧子弹,打火机,篝火,加速烙刀,星图,燃烧响炮
  13. RR=191 anchor_m=130 Swiss=10 | 套娃,燃烧子弹,打火机,篝火,加速烙刀,星图,燃烧响炮
  14. RR=184 anchor_m=142 Swiss=10 | 珊瑚,燃烧子弹,打火机,篝火,加速烙刀,星图,燃烧响炮
  15. RR=193 anchor_m=116 Swiss=11 | 流星索,燃烧子弹,打火机,篝火,加速烙刀,星图,燃烧响炮
  16. RR=174 anchor_m=138 Swiss=10 | 潜水配重,六分仪,牌桌,定制准镜,吸血章鱼,星图,淬锋钢
  17. RR=163 anchor_m=129 Swiss=11 | 流星索,打火机,篝火,加速烙刀,星图,燃烧响炮,枪套
  18. RR=157 anchor_m=140 Swiss=10 | 烈酒杯,拍立蚌,打火机,篝火,加速烙刀,星图,燃烧响炮
  19. RR=160 anchor_m=129 Swiss=10 | 打火机,篝火,加速烙刀,星图,燃烧响炮,烈酒杯,流星索
  20. RR=158 anchor_m=133 Swiss=10 | 拍立蚌,枪套,打火机,篝火,加速烙刀,星图,燃烧响炮

[GDF] seeds: 星盘
[GDF] size=10 top 20
  1. RR=234 anchor_m=214 Swiss=11 | 加速烙刀,绵鳚,潜水配重,燃烧响炮,烈酒杯,大钢弩,星盘
  2. RR=234 anchor_m=233 Swiss=10 | 燃烧响炮,篝火,加速烙刀,大钢弩,星盘,打火机
  3. RR=224 anchor_m=210 Swiss=11 | 大钢弩,星盘,燃烧子弹,打火机,篝火,加速烙刀
  4. RR=217 anchor_m=203 Swiss=11 | 牌桌,淬锋钢,拍立蚌,潜水配重,六分仪,吸血章鱼,星盘
  5. RR=205 anchor_m=205 Swiss=10 | 燃烧响炮,大钢弩,星盘,打火机,绵鳚,加速烙刀,枪套
  6. RR=214 anchor_m=176 Swiss=10 | 淬锋钢,拍立蚌,潜水配重,沙滩充气球,六分仪,吸血章鱼,星盘
  7. RR=195 anchor_m=193 Swiss=10 | 篝火,加速烙刀,大钢弩,燃烧响炮,绵鳚,星盘
  8. RR=218 anchor_m=141 Swiss=10 | 烈酒杯,淬锋钢,潜水配重,六分仪,沙滩充气球,吸血章鱼,星盘
  9. RR=221 anchor_m=132 Swiss=11 | 牌桌,枪套,淬锋钢,潜水配重,六分仪,吸血章鱼,星盘
  10. RR=199 anchor_m=174 Swiss=10 | 牌桌,淬锋钢,潜水配重,六分仪,集成式HUD,吸血章鱼,星盘
  11. RR=192 anchor_m=181 Swiss=10 | 牌桌,淬锋钢,鱼饵,潜水配重,六分仪,吸血章鱼,星盘
  12. RR=187 anchor_m=185 Swiss=10 | 理查森先生,加速烙刀,绵鳚,潜水配重,拍立蚌,燃烧响炮,枪套,星盘
  13. RR=187 anchor_m=178 Swiss=10 | 加速烙刀,绵鳚,潜水配重,珊瑚,燃烧响炮,枪套,星盘,小冰镐
  14. RR=191 anchor_m=170 Swiss=11 | 牌桌,淬锋钢,炮弹,潜水配重,六分仪,吸血章鱼,星盘
  15. RR=186 anchor_m=179 Swiss=10 | 加速烙刀,绵鳚,潜水配重,拍立蚌,燃烧响炮,小冰镐,枪套,星盘
  16. RR=191 anchor_m=161 Swiss=11 | 淬锋钢,牌桌,潜水配重,六分仪,定制准镜,吸血章鱼,星盘
  17. RR=178 anchor_m=177 Swiss=10 | 加速烙刀,绵鳚,理查森先生,潜水配重,珊瑚,燃烧响炮,枪套,星盘
  18. RR=185 anchor_m=161 Swiss=10 | 淬锋钢,沙滩充气球,潜水配重,六分仪,吸血章鱼,迷幻蝠鲼,星盘
  19. RR=183 anchor_m=159 Swiss=10 | 加速烙刀,绵鳚,潜水配重,拍立蚌,打火机,燃烧响炮,枪套,星盘
  20. RR=178 anchor_m=163 Swiss=11 | 牌桌,淬锋钢,蔻森娜纹章,潜水配重,六分仪,吸血章鱼,星盘

[GDF] seeds: 木桶
[GDF] size=10 top 20
  1. RR=290 anchor_m=23 Swiss=11 | 深潜器,马龙鱼,木桶,淬锋钢,小冰镐,湿件战服
  2. RR=284 anchor_m=137 Swiss=10 | 深潜器,马龙鱼,木桶,珍珠,淬锋钢,湿件战服
  3. RR=272 anchor_m=65 Swiss=11 | 深潜器,马龙鱼,木桶,淬锋钢,湿件战服,珊瑚
  4. RR=272 anchor_m=64 Swiss=11 | 深潜器,马龙鱼,木桶,淬锋钢,十手,湿件战服
  5. RR=263 anchor_m=77 Swiss=10 | 深潜器,迷幻蝠鲼,马龙鱼,木桶,淬锋钢,湿件战服
  6. RR=251 anchor_m=86 Swiss=10 | 深潜器,马龙鱼,拍立蚌,木桶,淬锋钢,湿件战服
  7. RR=237 anchor_m=111 Swiss=10 | 深潜器,潜水配重,马龙鱼,木桶,淬锋钢,湿件战服
  8. RR=237 anchor_m=102 Swiss=10 | 深潜器,马龙鱼,木桶,淬锋钢,湿件战服,舱底蠕虫
  9. RR=237 anchor_m=93 Swiss=10 | 深潜器,马龙鱼,木桶,淬锋钢,湿件战服,吸血章鱼
  10. RR=227 anchor_m=105 Swiss=10 | 深潜器,马龙鱼,木桶,藏刃匕首,淬锋钢,湿件战服
  11. RR=238 anchor_m=81 Swiss=10 | 深潜器,集成式HUD,马龙鱼,木桶,淬锋钢,湿件战服
  12. RR=235 anchor_m=81 Swiss=10 | 深潜器,弹簧刀,马龙鱼,木桶,淬锋钢,湿件战服
  13. RR=225 anchor_m=95 Swiss=10 | 深潜器,燃烧响炮,马龙鱼,木桶,淬锋钢,湿件战服
  14. RR=222 anchor_m=96 Swiss=11 | 深潜器,定制准镜,马龙鱼,木桶,淬锋钢,湿件战服
  15. RR=224 anchor_m=88 Swiss=10 | 水草,深潜器,马龙鱼,木桶,淬锋钢,湿件战服
  16. RR=224 anchor_m=81 Swiss=11 | 深潜器,龙涎香,马龙鱼,木桶,淬锋钢,湿件战服
  17. RR=217 anchor_m=89 Swiss=10 | 深潜器,马龙鱼,木桶,淬锋钢,湿件战服,雪怪蟹
  18. RR=199 anchor_m=121 Swiss=11 | 深潜器,水车,马龙鱼,木桶,淬锋钢
  19. RR=212 anchor_m=77 Swiss=10 | 深潜器,马龙鱼,木桶,淬锋钢,海螺壳,湿件战服
  20. RR=200 anchor_m=81 Swiss=10 | 深潜器,马龙鱼,木桶,淬锋钢,湿件战服,理查森先生

[GDF] seeds: 枪套
[GDF] size=10 top 20
  1. RR=243 anchor_m=243 Swiss=10 | 大钢弩,流星索,加速烙刀,绵鳚,潜水配重,打火机,枪套,燃烧响炮
  2. RR=242 anchor_m=232 Swiss=10 | 加速烙刀,绵鳚,篝火,大钢弩,打火机,枪套,燃烧响炮
  3. RR=236 anchor_m=236 Swiss=10 | 加速烙刀,绵鳚,潜水配重,珍珠,打火机,大钢弩,枪套,燃烧响炮
  4. RR=232 anchor_m=232 Swiss=11 | 大钢弩,加速烙刀,绵鳚,潜水配重,理查森先生,打火机,枪套,燃烧响炮
  5. RR=230 anchor_m=230 Swiss=11 | 拍立蚌,大钢弩,加速烙刀,绵鳚,潜水配重,打火机,枪套,燃烧响炮
  6. RR=226 anchor_m=226 Swiss=11 | 大钢弩,加速烙刀,绵鳚,潜水配重,打火机,藏刃匕首,枪套,燃烧响炮
  7. RR=227 anchor_m=218 Swiss=11 | 大钢弩,加速烙刀,绵鳚,潜水配重,飞鱼,打火机,枪套,燃烧响炮
  8. RR=221 anchor_m=221 Swiss=10 | 加速烙刀,绵鳚,潜水配重,打火机,小冰镐,枪套,燃烧响炮,大钢弩
  9. RR=222 anchor_m=214 Swiss=10 | 大钢弩,加速烙刀,绵鳚,潜水配重,燃烧子弹,打火机,枪套,燃烧响炮
  10. RR=214 anchor_m=214 Swiss=11 | 加速烙刀,绵鳚,潜水配重,水草,打火机,大钢弩,枪套,燃烧响炮
  11. RR=214 anchor_m=214 Swiss=10 | 大钢弩,加速烙刀,绵鳚,潜水配重,迷幻蝠鲼,打火机,枪套,燃烧响炮
  12. RR=215 anchor_m=208 Swiss=10 | 加速烙刀,绵鳚,潜水配重,水母,打火机,枪套,燃烧响炮,大钢弩
  13. RR=209 anchor_m=209 Swiss=10 | 大钢弩,加速烙刀,绵鳚,潜水配重,打火机,枪套,珊瑚,燃烧响炮
  14. RR=206 anchor_m=206 Swiss=11 | 大钢弩,加速烙刀,绵鳚,潜水配重,龙涎香,打火机,枪套,燃烧响炮
  15. RR=220 anchor_m=177 Swiss=11 | 烈酒杯,大钢弩,加速烙刀,绵鳚,潜水配重,打火机,枪套,燃烧响炮
  16. RR=197 anchor_m=197 Swiss=10 | 大钢弩,手雷,加速烙刀,绵鳚,潜水配重,打火机,枪套,燃烧响炮
  17. RR=195 anchor_m=195 Swiss=10 | 大钢弩,加速烙刀,绵鳚,潜水配重,打火机,枪套,抓钩,燃烧响炮
  18. RR=193 anchor_m=193 Swiss=10 | 大钢弩,加速烙刀,绵鳚,海螺壳,潜水配重,打火机,枪套,燃烧响炮
  19. RR=189 anchor_m=189 Swiss=10 | 大钢弩,加速烙刀,绵鳚,潜水配重,打火机,枪套,手斧,燃烧响炮
  20. RR=186 anchor_m=186 Swiss=10 | 盐钳海盗,大钢弩,加速烙刀,绵鳚,潜水配重,打火机,枪套,燃烧响炮

[GDF] seeds: 标枪
[GDF] size=10 top 20
  1. RR=246 anchor_m=241 Swiss=11 | 烈酒杯,大钢弩,枪套,藏刃匕首,绵鳚,加速烙刀,标枪
  2. RR=227 anchor_m=227 Swiss=10 | 烈酒杯,流星索,大钢弩,藏刃匕首,绵鳚,加速烙刀,标枪
  3. RR=225 anchor_m=225 Swiss=11 | 烈酒杯,大钢弩,藏刃匕首,绵鳚,加速烙刀,标枪,珊瑚
  4. RR=220 anchor_m=220 Swiss=10 | 燃烧响炮,标枪,加速烙刀,绵鳚,小冰镐,大钢弩,烈酒杯
  5. RR=219 anchor_m=219 Swiss=10 | 烈酒杯,藏刃匕首,燃烧响炮,加速烙刀,绵鳚,大钢弩,标枪
  6. RR=214 anchor_m=214 Swiss=11 | 大钢弩,标枪,藏刃匕首,烈酒杯,加速烙刀,绵鳚,小冰镐
  7. RR=212 anchor_m=212 Swiss=11 | 烈酒杯,大钢弩,藏刃匕首,十手,绵鳚,加速烙刀,标枪
  8. RR=213 anchor_m=209 Swiss=11 | 燃烧响炮,藏刃匕首,绵鳚,加速烙刀,标枪,大钢弩,枪套
  9. RR=212 anchor_m=211 Swiss=10 | 烈酒杯,大钢弩,手斧,藏刃匕首,绵鳚,加速烙刀,标枪
  10. RR=208 anchor_m=208 Swiss=10 | 靴里剑,烈酒杯,大钢弩,藏刃匕首,绵鳚,加速烙刀,标枪
  11. RR=205 anchor_m=205 Swiss=11 | 烈酒杯,大钢弩,手雷,藏刃匕首,绵鳚,加速烙刀,标枪
  12. RR=204 anchor_m=204 Swiss=10 | 烈酒杯,大钢弩,藏刃匕首,绵鳚,加速烙刀,标枪,理查森先生
  13. RR=200 anchor_m=199 Swiss=10 | 烈酒杯,打火机,大钢弩,藏刃匕首,绵鳚,加速烙刀,标枪
  14. RR=200 anchor_m=199 Swiss=10 | 烈酒杯,皮皮虾,大钢弩,藏刃匕首,绵鳚,加速烙刀,标枪
  15. RR=198 anchor_m=198 Swiss=11 | 烈酒杯,葡萄弹,大钢弩,藏刃匕首,绵鳚,加速烙刀,标枪
  16. RR=192 anchor_m=192 Swiss=10 | 烈酒杯,大钢弩,拍立蚌,藏刃匕首,绵鳚,加速烙刀,标枪
  17. RR=182 anchor_m=179 Swiss=10 | 烈酒杯,大钢弩,潜水配重,藏刃匕首,绵鳚,加速烙刀,标枪
  18. RR=175 anchor_m=175 Swiss=10 | 烈酒杯,大钢弩,锁镰,藏刃匕首,绵鳚,加速烙刀,标枪
  19. RR=178 anchor_m=167 Swiss=9 | 炮弹,烈酒杯,大钢弩,藏刃匕首,绵鳚,加速烙刀,标枪
  20. RR=170 anchor_m=170 Swiss=10 | 烈酒杯,大钢弩,藏刃匕首,绵鳚,加速烙刀,标枪,飞鱼

[GDF] seeds: 橘利安
[GDF] size=10 top 20
  1. RR=295 anchor_m=2 Swiss=11 | 橘利安,燃烧响炮,燃烧子弹,打火机,篝火,绵鳚,加速烙刀
  2. RR=272 anchor_m=7 Swiss=10 | 橘利安,燃烧响炮,枪套,打火机,篝火,绵鳚,加速烙刀
  3. RR=263 anchor_m=-7 Swiss=11 | 珊瑚,橘利安,燃烧响炮,燃烧子弹,打火机,篝火,加速烙刀
  4. RR=258 anchor_m=0 Swiss=10 | 橘利安,燃烧响炮,珊瑚,打火机,篝火,绵鳚,加速烙刀
  5. RR=235 anchor_m=38 Swiss=11 | 橘利安,鹦鹉皮特,绵鳚,燃烧响炮,打火机,篝火,加速烙刀
  6. RR=250 anchor_m=2 Swiss=10 | 烈酒杯,橘利安,燃烧响炮,打火机,篝火,绵鳚,加速烙刀
  7. RR=247 anchor_m=-10 Swiss=11 | 枪套,橘利安,燃烧响炮,燃烧子弹,打火机,篝火,加速烙刀
  8. RR=237 anchor_m=9 Swiss=10 | 橘利安,燃烧响炮,拍立蚌,燃烧子弹,打火机,篝火,加速烙刀
  9. RR=229 anchor_m=18 Swiss=10 | 橘利安,燃烧响炮,套娃,燃烧子弹,打火机,篝火,加速烙刀
  10. RR=238 anchor_m=-8 Swiss=11 | 橘利安,燃烧响炮,绵鳚,打火机,大钢弩,毒须鲶,篝火
  11. RR=230 anchor_m=-5 Swiss=10 | 橘利安,烈酒杯,燃烧响炮,燃烧子弹,打火机,篝火,加速烙刀
  12. RR=229 anchor_m=-10 Swiss=10 | 橘利安,燃烧响炮,燃烧子弹,打火机,篝火,加速烙刀,流星索
  13. RR=211 anchor_m=5 Swiss=10 | 橘利安,小冰镐,燃烧响炮,燃烧子弹,打火机,篝火,加速烙刀
  14. RR=214 anchor_m=-3 Swiss=10 | 橘利安,燃烧响炮,流星索,打火机,篝火,绵鳚,加速烙刀
  15. RR=201 anchor_m=-2 Swiss=10 | 橘利安,藏刃匕首,燃烧响炮,打火机,篝火,绵鳚,加速烙刀
  16. RR=192 anchor_m=7 Swiss=10 | 橘利安,蔻森娜纹章,燃烧响炮,燃烧子弹,打火机,篝火,加速烙刀
  17. RR=190 anchor_m=10 Swiss=10 | 橘利安,手雷,燃烧响炮,燃烧子弹,打火机,篝火,加速烙刀
  18. RR=190 anchor_m=9 Swiss=9 | 橘利安,燃烧响炮,打火机,篝火,绵鳚,加速烙刀,小冰镐
  19. RR=194 anchor_m=-1 Swiss=10 | 橘利安,淬锋钢,燃烧响炮,燃烧子弹,打火机,篝火,加速烙刀
  20. RR=176 anchor_m=17 Swiss=10 | 橘利安,燃烧响炮,燃烧子弹,打火机,篝火,加速烙刀,理查森先生

[GDF] seeds: 步枪
[GDF] size=10 top 20
  1. RR=222 anchor_m=222 Swiss=11 | 小冰镐,套娃,水车,流星索,填弹杆,步枪
  2. RR=206 anchor_m=205 Swiss=10 | 小冰镐,水车,淬锋钢,流星索,填弹杆,步枪
  3. RR=205 anchor_m=205 Swiss=10 | 流星索,填弹杆,步枪,水车,小冰镐,藏刃匕首
  4. RR=204 anchor_m=204 Swiss=10 | 套娃,水车,填弹杆,步枪,小冰镐,淬锋钢
  5. RR=202 anchor_m=202 Swiss=11 | 拍立蚌,水车,潜水配重,流星索,填弹杆,步枪
  6. RR=194 anchor_m=194 Swiss=10 | 拍立蚌,水车,小冰镐,流星索,填弹杆,步枪
  7. RR=192 anchor_m=192 Swiss=10 | 拍立蚌,水车,淬锋钢,流星索,填弹杆,步枪
  8. RR=190 anchor_m=190 Swiss=10 | 小冰镐,水车,潜水配重,流星索,填弹杆,步枪
  9. RR=184 anchor_m=184 Swiss=11 | 珊瑚,小冰镐,套娃,水车,填弹杆,步枪
  10. RR=182 anchor_m=182 Swiss=11 | 拍立蚌,小冰镐,淬锋钢,水车,填弹杆,步枪
  11. RR=182 anchor_m=182 Swiss=10 | 葡萄弹,小冰镐,套娃,水车,填弹杆,步枪
  12. RR=181 anchor_m=181 Swiss=10 | 码头缆索,水车,填弹杆,步枪,淬锋钢
  13. RR=178 anchor_m=178 Swiss=11 | 小冰镐,燃烧响炮,水车,流星索,填弹杆,步枪
  14. RR=178 anchor_m=178 Swiss=10 | 拍立蚌,小冰镐,套娃,水车,填弹杆,步枪
  15. RR=173 anchor_m=173 Swiss=9 | 套娃,水车,填弹杆,步枪,珊瑚,淬锋钢
  16. RR=170 anchor_m=170 Swiss=9 | 淬锋钢,水车,套娃,手雷,填弹杆,步枪
  17. RR=166 anchor_m=165 Swiss=10 | 燃烧响炮,流星索,填弹杆,步枪,水车,淬锋钢
  18. RR=165 anchor_m=165 Swiss=10 | 小冰镐,淬锋钢,水车,燃烧响炮,填弹杆,步枪
  19. RR=164 anchor_m=164 Swiss=10 | 珊瑚,套娃,水车,流星索,填弹杆,步枪
  20. RR=163 anchor_m=163 Swiss=10 | 燃烧响炮,填弹杆,步枪,套娃,水车,淬锋钢

[GDF] seeds: 武士刀
[GDF] size=10 top 20
  1. RR=220 anchor_m=192 Swiss=9 | 淬锋钢,湿件战服,深潜器,潜水配重,带刃悬浮板,武士刀
  2. RR=198 anchor_m=198 Swiss=10 | 淬锋钢,船首像,潜水配重,带刃悬浮板,武士刀,刺刀,手斧
  3. RR=197 anchor_m=197 Swiss=10 | 淬锋钢,水车,武士刀,弹簧刀,小冰镐,理查森先生,迷幻蝠鲼
  4. RR=196 anchor_m=192 Swiss=9 | 淬锋钢,水车,武士刀,弹簧刀,小冰镐,码头缆索
  5. RR=192 anchor_m=190 Swiss=11 | 淬锋钢,水车,武士刀,小冰镐,加速烙刀,珊瑚
  6. RR=192 anchor_m=190 Swiss=10 | 珊瑚,淬锋钢,水车,武士刀,弹簧刀,小冰镐,手斧
