# gdf_enumerate_anchor_top1: full Top-K per anchor (last size tier only)
[GDF] seeds: 云精灵
[GDF] size=10 top 20
  1. RR=283 anchor_m=262 Swiss=9 | 彩虹药水,红宝石,蜡烛,香炉,火焰药水,瓶装闪电,煅烧釜,云精灵
  16. RR=196 anchor_m=188 Swiss=8 | 香炉,红宝石,地窖,煅烧釜,彩虹药水,鳄鱼眼泪,贤者之石,火焰药水
  17. RR=191 anchor_m=187 Swiss=8 | 地窖,煅烧釜,云精灵,鳄鱼眼泪,火焰药水,红宝石,香炉,瓶装闪电
  18. RR=188 anchor_m=188 Swiss=8 | 彩虹药水,地窖,毒液,煅烧釜,鳄鱼眼泪,火焰药水,香炉,红宝石
  19. RR=186 anchor_m=184 Swiss=8 | 地刺陷阱,彩虹药水,地窖,煅烧釜,鳄鱼眼泪,火焰药水,红宝石,瓶装闪电
  20. RR=186 anchor_m=181 Swiss=8 | 彩虹药水,地窖,煅烧釜,鳄鱼眼泪,火焰药水,蜡烛,红宝石

[GDF] seeds: 塔兹迪亚匕首
[GDF] size=10 top 20
  1. RR=288 anchor_m=245 Swiss=9 | 碎瓶,蜡烛,彩虹药水,红宝石,火焰药水,塔兹迪亚匕首,香炉,煅烧釜
  2. RR=287 anchor_m=241 Swiss=10 | 红宝石,蜡烛,碎瓶,瓶装闪电,火焰药水,塔兹迪亚匕首,香炉,煅烧釜
  3. RR=272 anchor_m=238 Swiss=9 | 蜡烛,彩虹药水,红宝石,瓶装闪电,火焰药水,塔兹迪亚匕首,香炉,煅烧釜
  4. RR=247 anchor_m=234 Swiss=9 | 贤者之石,瓶装闪电,红宝石,火焰药水,塔兹迪亚匕首,香炉,蜡烛,煅烧釜
  5. RR=244 anchor_m=218 Swiss=9 | 蜡烛,贤者之石,彩虹药水,红宝石,火焰药水,塔兹迪亚匕首,香炉,煅烧釜
  6. RR=233 anchor_m=193 Swiss=8 | 蜡烛,红宝石,火焰药水,塔兹迪亚匕首,香炉,彩虹药水,煅烧釜,云精灵
  7. RR=218 anchor_m=202 Swiss=8 | 红宝石,蜡烛,蛇怪之牙,瓶装闪电,火焰药水,塔兹迪亚匕首,香炉,煅烧釜
  8. RR=207 anchor_m=202 Swiss=7 | 贤者之石,鳄鱼眼泪,蜡烛,红宝石,火焰药水,塔兹迪亚匕首,香炉,煅烧釜
  9. RR=204 anchor_m=188 Swiss=9 | 贤者之石,蜡烛,红宝石,瓶装闪电,塔兹迪亚匕首,香炉,彩虹药水,煅烧釜
  10. RR=206 anchor_m=182 Swiss=8 | 红宝石,彩虹药水,瓶装闪电,贤者之石,鳄鱼眼泪,火焰药水,塔兹迪亚匕首,香炉,煅烧釜
  11. RR=198 anchor_m=196 Swiss=8 | 红宝石,蜡烛,瓶装闪电,火焰药水,塔兹迪亚匕首,香炉,云精灵,煅烧釜
  12. RR=205 anchor_m=170 Swiss=8 | 蜡烛,彩虹药水,红宝石,碎瓶,瓶装闪电,塔兹迪亚匕首,香炉,煅烧釜
  13. RR=193 anchor_m=193 Swiss=8 | 蜡烛,红宝石,碎瓶,火焰药水,塔兹迪亚匕首,香炉,煅烧釜,云精灵
  14. RR=190 anchor_m=190 Swiss=8 | 蜡烛,红宝石,碎瓶,火焰药水,塔兹迪亚匕首,地刺陷阱,香炉,煅烧釜
  15. RR=183 anchor_m=183 Swiss=8 | 蜡烛,红宝石,碎瓶,硫磺,火焰药水,塔兹迪亚匕首,香炉,煅烧釜
  16. RR=191 anchor_m=160 Swiss=7 | 红宝石,彩虹药水,瓶装闪电,塔兹迪亚匕首,香炉,煅烧釜,云精灵,蜡烛
  17. RR=178 anchor_m=178 Swiss=8 | 贤者之石,蜡烛,红宝石,火焰药水,塔兹迪亚匕首,香炉,煅烧釜,云精灵
  18. RR=172 anchor_m=171 Swiss=8 | 蜡烛,蛇怪之牙,红宝石,碎瓶,火焰药水,塔兹迪亚匕首,香炉,煅烧釜
  19. RR=198 anchor_m=114 Swiss=9 | 蜡烛,彩虹药水,红宝石,火焰药水,塔兹迪亚匕首,蛇怪之牙,香炉,煅烧釜
  20. RR=168 anchor_m=166 Swiss=8 | 蜡烛,红宝石,火焰药水,塔兹迪亚匕首,香炉,昏睡药水,煅烧釜,碎瓶

[GDF] seeds: 展示玻璃球
[GDF] size=10 top 20
  1. RR=268 anchor_m=268 Swiss=9 | 瓶装闪电,煅烧釜,红宝石,展示玻璃球,碎瓶,彩虹药水,鳄鱼眼泪,火焰药水
  2. RR=258 anchor_m=257 Swiss=9 | 展示玻璃球,煅烧釜,彩虹药水,香炉,火焰药水,红宝石,鳄鱼眼泪,瓶装闪电
  3. RR=246 anchor_m=246 Swiss=8 | 瓶装闪电,煅烧釜,鳄鱼眼泪,红宝石,展示玻璃球,碎瓶,彩虹药水,香炉
  4. RR=243 anchor_m=243 Swiss=9 | 展示玻璃球,煅烧釜,彩虹药水,香炉,鳄鱼眼泪,火焰药水,碎瓶,红宝石
  5. RR=221 anchor_m=221 Swiss=8 | 永恒火炬,香炉,火焰药水,鳄鱼眼泪,红宝石,展示玻璃球,彩虹药水,瓶装闪电
  6. RR=216 anchor_m=216 Swiss=8 | 火焰药水,红宝石,展示玻璃球,碎瓶,剧毒药水,煅烧釜,瓶装闪电,鳄鱼眼泪
  7. RR=212 anchor_m=212 Swiss=9 | 剧毒药水,碎瓶,红宝石,鳄鱼眼泪,展示玻璃球,彩虹药水,火焰药水,煅烧釜
  8. RR=212 anchor_m=212 Swiss=8 | 瓶装闪电,煅烧釜,红宝石,展示玻璃球,碎瓶,火焰药水,彩虹药水,香炉
  9. RR=212 anchor_m=212 Swiss=8 | 煅烧釜,萤火虫,瓶装闪电,火焰药水,鳄鱼眼泪,红宝石,展示玻璃球,彩虹药水
  10. RR=209 anchor_m=209 Swiss=10 | 瓶装闪电,昏睡药水,煅烧釜,红宝石,展示玻璃球,碎瓶,彩虹药水,鳄鱼眼泪
  11. RR=208 anchor_m=208 Swiss=8 | 碎瓶,红宝石,鳄鱼眼泪,萤火虫,展示玻璃球,彩虹药水,火焰药水,煅烧釜
  12. RR=204 anchor_m=204 Swiss=8 | 碎瓶,红宝石,煅烧釜,火焰药水,塔兹迪亚匕首,展示玻璃球,鳄鱼眼泪,彩虹药水
  13. RR=199 anchor_m=199 Swiss=9 | 瓶装闪电,煅烧釜,剧毒药水,红宝石,展示玻璃球,碎瓶,彩虹药水,鳄鱼眼泪
  14. RR=198 anchor_m=198 Swiss=8 | 瓶装闪电,煅烧釜,红宝石,展示玻璃球,碎瓶,彩虹药水,萤火虫,鳄鱼眼泪
  15. RR=198 anchor_m=198 Swiss=8 | 瓶装闪电,塔兹迪亚匕首,煅烧釜,红宝石,展示玻璃球,碎瓶,彩虹药水,鳄鱼眼泪
  16. RR=192 anchor_m=192 Swiss=8 | 瓶装闪电,煅烧釜,剧毒药水,红宝石,鳄鱼眼泪,展示玻璃球,彩虹药水,火焰药水
  17. RR=191 anchor_m=191 Swiss=9 | 瓶装闪电,煅烧釜,红宝石,鳄鱼眼泪,展示玻璃球,彩虹药水,火焰药水,塔兹迪亚匕首
  18. RR=191 anchor_m=191 Swiss=8 | 瓶装闪电,煅烧釜,昏睡药水,红宝石,鳄鱼眼泪,展示玻璃球,彩虹药水,火焰药水
  19. RR=191 anchor_m=191 Swiss=8 | 碎瓶,香炉,火焰药水,鳄鱼眼泪,红宝石,展示玻璃球,煅烧釜,瓶装闪电
  20. RR=190 anchor_m=190 Swiss=8 | 碎瓶,红宝石,鳄鱼眼泪,展示玻璃球,昏睡药水,彩虹药水,火焰药水,煅烧釜

[GDF] seeds: 彩虹药水
[GDF] size=10 top 20
  1. RR=284 anchor_m=240 Swiss=10 | 红宝石,煅烧釜,香炉,蜡烛,彩虹药水,瓶装闪电,火焰药水,碎瓶
  2. RR=259 anchor_m=255 Swiss=9 | 蜡烛,红宝石,火焰药水,煅烧釜,云精灵,香炉,彩虹药水,碎瓶
  3. RR=266 anchor_m=238 Swiss=8 | 蜡烛,红宝石,火焰药水,煅烧釜,云精灵,瓶装闪电,香炉,彩虹药水
  4. RR=266 anchor_m=235 Swiss=9 | 贤者之石,红宝石,煅烧釜,香炉,蜡烛,彩虹药水,瓶装闪电,火焰药水
  5. RR=245 anchor_m=242 Swiss=9 | 拆信刀,红宝石,煅烧釜,香炉,蜡烛,彩虹药水,瓶装闪电,火焰药水
  6. RR=244 anchor_m=238 Swiss=9 | 红宝石,手术刀,煅烧釜,香炉,蜡烛,彩虹药水,瓶装闪电,火焰药水
  7. RR=241 anchor_m=229 Swiss=8 | 红宝石,煅烧釜,香炉,蜡烛,彩虹药水,瓶装闪电,火焰药水,塔兹迪亚匕首
  8. RR=223 anchor_m=214 Swiss=9 | 红宝石,萤火虫,煅烧釜,香炉,蜡烛,彩虹药水,瓶装闪电,火焰药水
  9. RR=223 anchor_m=196 Swiss=8 | 红宝石,蛇怪之牙,煅烧釜,香炉,蜡烛,彩虹药水,瓶装闪电,火焰药水
  10. RR=210 anchor_m=207 Swiss=8 | 红宝石,煅烧釜,毒液注射,香炉,蜡烛,彩虹药水,瓶装闪电,火焰药水
  11. RR=210 anchor_m=196 Swiss=8 | 煅烧釜,云精灵,红宝石,蜡烛,香炉,火焰药水,贤者之石,彩虹药水
  12. RR=225 anchor_m=163 Swiss=8 | 红宝石,昏睡药水,煅烧釜,香炉,蜡烛,彩虹药水,瓶装闪电,火焰药水
  13. RR=203 anchor_m=200 Swiss=8 | 红宝石,剧毒药水,煅烧釜,香炉,蜡烛,彩虹药水,瓶装闪电,火焰药水
  14. RR=200 anchor_m=194 Swiss=9 | 蜡烛,红宝石,火焰药水,硫磺,煅烧釜,云精灵,香炉,彩虹药水
  15. RR=197 anchor_m=189 Swiss=9 | 鳄鱼眼泪,红宝石,蜡烛,火焰药水,煅烧釜,昏睡药水,香炉,彩虹药水
  16. RR=199 anchor_m=183 Swiss=9 | 鳄鱼眼泪,红宝石,火焰药水,煅烧釜,贤者之石,蜡烛,香炉,彩虹药水
  17. RR=184 anchor_m=179 Swiss=8 | 蜡烛,萤火虫,红宝石,火焰药水,煅烧釜,云精灵,香炉,彩虹药水
  18. RR=186 anchor_m=173 Swiss=8 | 蜡烛,红宝石,火焰药水,塔兹迪亚匕首,煅烧釜,云精灵,香炉,彩虹药水
  19. RR=178 anchor_m=174 Swiss=8 | 鳄鱼眼泪,红宝石,瓶装闪电,煅烧釜,萤火虫,昏睡药水,火焰药水,香炉,彩虹药水
  20. RR=177 anchor_m=174 Swiss=8 | 红宝石,煅烧釜,香炉,真菌孢子,蜡烛,彩虹药水,瓶装闪电,火焰药水

[GDF] seeds: 手术刀
[GDF] size=10 top 20
  1. RR=282 anchor_m=204 Swiss=10 | 碎瓶,蜡烛,手术刀,红宝石,香炉,煅烧釜,瓶装闪电,火焰药水
  2. RR=280 anchor_m=229 Swiss=9 | 手术刀,红宝石,彩虹药水,香炉,蜡烛,煅烧釜,瓶装闪电,火焰药水
  3. RR=240 anchor_m=229 Swiss=8 | 瓶装闪电,手术刀,红宝石,蜡烛,香炉,煅烧釜,火焰药水,塔兹迪亚匕首
  4. RR=257 anchor_m=182 Swiss=9 | 手术刀,红宝石,彩虹药水,香炉,蜡烛,煅烧釜,碎瓶,火焰药水
  5. RR=228 anchor_m=203 Swiss=8 | 手术刀,鳄鱼眼泪,贤者之石,红宝石,彩虹药水,香炉,蜡烛,煅烧釜
  6. RR=219 anchor_m=218 Swiss=9 | 蜡烛,手术刀,红宝石,香炉,地刺陷阱,煅烧釜,瓶装闪电,火焰药水
  7. RR=221 anchor_m=214 Swiss=9 | 蜡烛,手术刀,红宝石,香炉,煅烧釜,瓶装闪电,火焰药水,硫磺
  8. RR=235 anchor_m=182 Swiss=8 | 火焰药水,瓶装闪电,手术刀,蜡烛,红宝石,贤者之石,香炉,煅烧釜
  9. RR=210 anchor_m=210 Swiss=9 | 蜡烛,手术刀,红宝石,香炉,云精灵,煅烧釜,瓶装闪电,火焰药水
  10. RR=191 anchor_m=191 Swiss=8 | 蜡烛,手术刀,红宝石,香炉,煅烧釜,瓶装闪电,拆信刀,火焰药水
  11. RR=206 anchor_m=154 Swiss=8 | 手术刀,红宝石,彩虹药水,香炉,蜡烛,煅烧釜,火焰药水,鳄鱼眼泪
  12. RR=215 anchor_m=114 Swiss=8 | 昏睡药水,蜡烛,手术刀,红宝石,香炉,煅烧釜,瓶装闪电,火焰药水
  13. RR=181 anchor_m=171 Swiss=9 | 火焰药水,手术刀,蜡烛,红宝石,贤者之石,香炉,煅烧釜,鳄鱼眼泪
  14. RR=200 anchor_m=132 Swiss=8 | 贤者之石,手术刀,红宝石,彩虹药水,火焰药水,香炉,蜡烛,煅烧釜
  15. RR=183 anchor_m=156 Swiss=8 | 蜡烛,手术刀,红宝石,香炉,彩虹药水,煅烧釜,瓶装闪电,贤者之石
  16. RR=190 anchor_m=133 Swiss=8 | 鳄鱼眼泪,手术刀,红宝石,彩虹药水,贤者之石,瓶装闪电,火焰药水,香炉,煅烧釜
  17. RR=172 anchor_m=165 Swiss=8 | 鳄鱼眼泪,蜡烛,手术刀,红宝石,香炉,煅烧釜,瓶装闪电,贤者之石
  18. RR=166 anchor_m=157 Swiss=8 | 蜡烛,手术刀,萤火虫,红宝石,香炉,煅烧釜,瓶装闪电,火焰药水
  19. RR=167 anchor_m=151 Swiss=8 | 手术刀,红宝石,彩虹药水,蜡烛,硫磺,香炉,煅烧釜,火焰药水
  20. RR=173 anchor_m=133 Swiss=8 | 手术刀,红宝石,彩虹药水,瓶装闪电,塔兹迪亚匕首,蜡烛,香炉,煅烧釜

[GDF] seeds: 折射棱镜
[GDF] size=10 top 20
  1. RR=261 anchor_m=250 Swiss=9 | 鳄鱼眼泪,折射棱镜,昏睡药水,火焰药水,香炉,红宝石,彩虹药水,煅烧釜
  2. RR=254 anchor_m=238 Swiss=8 | 折射棱镜,香炉,彩虹药水,昏睡药水,煅烧釜,鳄鱼眼泪,红宝石,萤火虫
  3. RR=252 anchor_m=241 Swiss=8 | 昏睡药水,彩虹药水,折射棱镜,香炉,煅烧釜,鳄鱼眼泪,红宝石,瓶装闪电
  4. RR=236 anchor_m=230 Swiss=9 | 折射棱镜,彩虹药水,香炉,萤火虫,煅烧釜,昏睡药水,红宝石,瓶装闪电
  5. RR=222 anchor_m=181 Swiss=8 | 瓶装闪电,折射棱镜,香炉,鳄鱼眼泪,煅烧釜,红宝石,彩虹药水,贤者之石
  6. RR=207 anchor_m=206 Swiss=9 | 折射棱镜,火焰药水,香炉,煅烧釜,红宝石,彩虹药水,瓶装闪电,昏睡药水
  7. RR=217 anchor_m=182 Swiss=9 | 折射棱镜,火焰药水,香炉,煅烧釜,红宝石,鳄鱼眼泪,彩虹药水,瓶装闪电
  8. RR=205 anchor_m=201 Swiss=8 | 折射棱镜,香炉,煅烧釜,瓶装闪电,火焰药水,鳄鱼眼泪,昏睡药水,红宝石
  9. RR=214 anchor_m=181 Swiss=8 | 折射棱镜,香炉,鳄鱼眼泪,煅烧釜,红宝石,彩虹药水,火焰药水,贤者之石
  10. RR=201 anchor_m=198 Swiss=8 | 折射棱镜,香炉,彩虹药水,煅烧釜,碎瓶,鳄鱼眼泪,昏睡药水,红宝石
  11. RR=205 anchor_m=190 Swiss=8 | 彩虹药水,萤火虫,折射棱镜,香炉,煅烧釜,鳄鱼眼泪,红宝石,瓶装闪电
  12. RR=203 anchor_m=192 Swiss=9 | 火焰药水,折射棱镜,香炉,煅烧釜,萤火虫,红宝石,彩虹药水,鳄鱼眼泪
  13. RR=192 anchor_m=186 Swiss=8 | 昏睡药水,折射棱镜,鳄鱼眼泪,彩虹药水,香炉,煅烧釜,云精灵,红宝石
  14. RR=189 anchor_m=188 Swiss=8 | 折射棱镜,香炉,煅烧釜,火焰药水,鳄鱼眼泪,红宝石,毒液注射,彩虹药水
  15. RR=188 anchor_m=184 Swiss=9 | 鳄鱼眼泪,折射棱镜,火焰药水,塔兹迪亚匕首,香炉,红宝石,彩虹药水,煅烧釜
  16. RR=188 anchor_m=181 Swiss=8 | 鳄鱼眼泪,折射棱镜,碎瓶,火焰药水,香炉,红宝石,彩虹药水,煅烧釜
  17. RR=186 anchor_m=183 Swiss=9 | 昏睡药水,折射棱镜,香炉,煅烧釜,火焰药水,鳄鱼眼泪,红宝石,毒液注射
  18. RR=183 anchor_m=182 Swiss=8 | 火焰药水,折射棱镜,香炉,煅烧釜,萤火虫,瓶装闪电,红宝石,彩虹药水
  19. RR=181 anchor_m=173 Swiss=8 | 红宝石,折射棱镜,硫磺,香炉,鳄鱼眼泪,彩虹药水,煅烧釜,火焰药水
  20. RR=176 anchor_m=173 Swiss=8 | 折射棱镜,香炉,彩虹药水,剑杖,煅烧釜,鳄鱼眼泪,红宝石

[GDF] seeds: 拆信刀
[GDF] size=10 top 20
  1. RR=283 anchor_m=236 Swiss=9 | 香炉,煅烧釜,瓶装闪电,碎瓶,红宝石,蜡烛,拆信刀,火焰药水
  2. RR=283 anchor_m=244 Swiss=10 | 香炉,煅烧釜,彩虹药水,拆信刀,红宝石,蜡烛,火焰药水,瓶装闪电
  3. RR=240 anchor_m=233 Swiss=8 | 香炉,煅烧釜,火焰药水,塔兹迪亚匕首,拆信刀,瓶装闪电,红宝石,蜡烛
  4. RR=259 anchor_m=184 Swiss=9 | 香炉,煅烧釜,彩虹药水,拆信刀,红宝石,蜡烛,火焰药水,碎瓶
  5. RR=235 anchor_m=198 Swiss=9 | 香炉,煅烧釜,贤者之石,拆信刀,红宝石,瓶装闪电,蜡烛,火焰药水
  6. RR=233 anchor_m=188 Swiss=8 | 香炉,煅烧釜,贤者之石,彩虹药水,拆信刀,红宝石,蜡烛,火焰药水
  7. RR=217 anchor_m=199 Swiss=9 | 贤者之石,彩虹药水,鳄鱼眼泪,香炉,蜡烛,煅烧釜,红宝石,拆信刀
  8. RR=210 anchor_m=210 Swiss=9 | 香炉,煅烧釜,瓶装闪电,红宝石,蜡烛,拆信刀,火焰药水,地刺陷阱
  9. RR=208 anchor_m=208 Swiss=9 | 硫磺,香炉,煅烧釜,红宝石,蜡烛,瓶装闪电,拆信刀,火焰药水
  10. RR=204 anchor_m=204 Swiss=8 | 香炉,云精灵,煅烧釜,瓶装闪电,红宝石,蜡烛,拆信刀,火焰药水
  11. RR=208 anchor_m=173 Swiss=8 | 彩虹药水,鳄鱼眼泪,香炉,煅烧釜,拆信刀,红宝石,昏睡药水,蜡烛
  12. RR=204 anchor_m=177 Swiss=9 | 香炉,煅烧釜,彩虹药水,拆信刀,红宝石,蜡烛,火焰药水,塔兹迪亚匕首
  13. RR=205 anchor_m=172 Swiss=8 | 火焰药水,蜡烛,香炉,彩虹药水,煅烧釜,红宝石,拆信刀,鳄鱼眼泪
  14. RR=220 anchor_m=124 Swiss=8 | 香炉,煅烧釜,瓶装闪电,红宝石,蜡烛,拆信刀,火焰药水,昏睡药水
  15. RR=195 anchor_m=170 Swiss=8 | 香炉,煅烧釜,彩虹药水,萤火虫,拆信刀,红宝石,蜡烛,火焰药水
  16. RR=186 anchor_m=185 Swiss=8 | 香炉,煅烧釜,瓶装闪电,手术刀,红宝石,蜡烛,拆信刀,火焰药水
  17. RR=193 anchor_m=139 Swiss=8 | 香炉,煅烧釜,云精灵,彩虹药水,拆信刀,火焰药水,红宝石,蜡烛
  18. RR=173 anchor_m=157 Swiss=9 | 蜡烛,香炉,彩虹药水,瓶装闪电,煅烧釜,红宝石,拆信刀,贤者之石
  19. RR=177 anchor_m=148 Swiss=8 | 彩虹药水,鳄鱼眼泪,香炉,煅烧釜,拆信刀,红宝石,碎瓶,蜡烛
  20. RR=167 anchor_m=153 Swiss=8 | 香炉,煅烧釜,云精灵,贤者之石,拆信刀,红宝石,火焰药水,蜡烛

[GDF] seeds: 时间之砂
[GDF] size=10 top 20
  1. RR=265 anchor_m=154 Swiss=9 | 时间之砂,蜡烛,火焰药水,香炉,彩虹药水,碎瓶,红宝石,萤火虫
  2. RR=259 anchor_m=123 Swiss=8 | 时间之砂,蜡烛,火焰药水,香炉,贤者之石,红宝石,彩虹药水,萤火虫
  3. RR=218 anchor_m=188 Swiss=8 | 红宝石,贤者之石,香炉,萤火虫,嗅盐,时间之砂,彩虹药水,蜡烛
  4. RR=242 anchor_m=137 Swiss=8 | 时间之砂,鳄鱼眼泪,蜡烛,香炉,彩虹药水,红宝石,碎瓶,萤火虫
  5. RR=263 anchor_m=93 Swiss=9 | 时间之砂,鳄鱼眼泪,蜡烛,香炉,彩虹药水,红宝石,萤火虫,瓶装闪电
  6. RR=251 anchor_m=109 Swiss=10 | 鳄鱼眼泪,红宝石,香炉,时间之砂,萤火虫,瓶装闪电,彩虹药水,煅烧釜
  7. RR=240 anchor_m=129 Swiss=9 | 火焰药水,时间之砂,蜡烛,香炉,彩虹药水,瓶装闪电,红宝石,萤火虫
  8. RR=238 anchor_m=133 Swiss=9 | 瓶装闪电,时间之砂,蜡烛,香炉,贤者之石,红宝石,彩虹药水,萤火虫
  9. RR=259 anchor_m=91 Swiss=8 | 时间之砂,蜡烛,火焰药水,鳄鱼眼泪,香炉,彩虹药水,红宝石,萤火虫
  10. RR=238 anchor_m=119 Swiss=8 | 彩虹药水,时间之砂,香炉,红宝石,萤火虫,煅烧釜,火焰药水,鳄鱼眼泪
  11. RR=225 anchor_m=135 Swiss=9 | 鳄鱼眼泪,红宝石,火焰药水,时间之砂,萤火虫,彩虹药水,瓶装闪电,煅烧釜
  12. RR=221 anchor_m=132 Swiss=8 | 时间之砂,蜡烛,鳄鱼眼泪,香炉,贤者之石,红宝石,彩虹药水,萤火虫
  13. RR=206 anchor_m=144 Swiss=9 | 时间之砂,瓶装闪电,蜡烛,火焰药水,香炉,贤者之石,红宝石,萤火虫
  14. RR=207 anchor_m=131 Swiss=8 | 时间之砂,鳄鱼眼泪,蜡烛,硫磺,香炉,彩虹药水,红宝石,萤火虫
  15. RR=195 anchor_m=139 Swiss=9 | 时间之砂,蜡烛,香炉,彩虹药水,瓶装闪电,红宝石,萤火虫,碎瓶
  16. RR=199 anchor_m=126 Swiss=9 | 时间之砂,蜡烛,香炉,彩虹药水,火焰药水,塔兹迪亚匕首,红宝石,萤火虫
  17. RR=195 anchor_m=131 Swiss=8 | 时间之砂,蜡烛,香炉,彩虹药水,瓶装闪电,塔兹迪亚匕首,红宝石,萤火虫
  18. RR=187 anchor_m=128 Swiss=8 | 时间之砂,香炉,鳄鱼眼泪,红宝石,萤火虫,煅烧釜,云精灵,彩虹药水
  19. RR=174 anchor_m=149 Swiss=9 | 时间之砂,蜡烛,火焰药水,塔兹迪亚匕首,香炉,贤者之石,红宝石,萤火虫
  20. RR=188 anchor_m=120 Swiss=8 | 时间之砂,鳄鱼眼泪,蜡烛,香炉,彩虹药水,塔兹迪亚匕首,红宝石,萤火虫

[GDF] seeds: 昏睡药水
[GDF] size=10 top 20
  1. RR=282 anchor_m=205 Swiss=9 | 蜡烛,煅烧釜,昏睡药水,彩虹药水,瓶装闪电,红宝石,火焰药水,萤火虫
  2. RR=273 anchor_m=215 Swiss=9 | 火焰药水,瓶装闪电,香炉,煅烧釜,昏睡药水,蜡烛,红宝石,萤火虫
  3. RR=257 anchor_m=240 Swiss=9 | 香炉,彩虹药水,蜡烛,红宝石,煅烧釜,嗅盐,昏睡药水,萤火虫
  4. RR=281 anchor_m=181 Swiss=10 | 蜡烛,煅烧釜,昏睡药水,彩虹药水,红宝石,香炉,火焰药水,萤火虫
  5. RR=242 anchor_m=230 Swiss=9 | 红宝石,彩虹药水,煅烧釜,嗅盐,昏睡药水,萤火虫,蜡烛,瓶装闪电
  6. RR=247 anchor_m=214 Swiss=9 | 蜡烛,煅烧釜,嗅盐,昏睡药水,彩虹药水,红宝石,火焰药水,萤火虫
  7. RR=231 anchor_m=229 Swiss=9 | 蜡烛,火焰药水,香炉,煅烧釜,嗅盐,昏睡药水,红宝石,萤火虫
  8. RR=275 anchor_m=140 Swiss=9 | 瓶装闪电,彩虹药水,香炉,煅烧釜,昏睡药水,蜡烛,红宝石,萤火虫
  9. RR=243 anchor_m=196 Swiss=9 | 碎瓶,香炉,彩虹药水,蜡烛,红宝石,煅烧釜,昏睡药水,萤火虫
  10. RR=226 anchor_m=224 Swiss=8 | 瓶装闪电,香炉,煅烧釜,嗅盐,昏睡药水,蜡烛,红宝石,萤火虫
  11. RR=247 anchor_m=176 Swiss=8 | 香炉,彩虹药水,蜡烛,红宝石,煅烧釜,昏睡药水,萤火虫,贤者之石
  12. RR=225 anchor_m=206 Swiss=8 | 香炉,蜡烛,红宝石,煅烧釜,昏睡药水,火焰药水,塔兹迪亚匕首,萤火虫
  13. RR=234 anchor_m=186 Swiss=8 | 香炉,彩虹药水,硫磺,蜡烛,红宝石,煅烧釜,昏睡药水,萤火虫
  14. RR=234 anchor_m=159 Swiss=8 | 香炉,彩虹药水,蜡烛,红宝石,煅烧釜,云精灵,昏睡药水,萤火虫
  15. RR=205 anchor_m=188 Swiss=8 | 碎瓶,瓶装闪电,香炉,煅烧釜,昏睡药水,蜡烛,红宝石,萤火虫
  16. RR=198 anchor_m=180 Swiss=8 | 蜡烛,煅烧釜,昏睡药水,彩虹药水,红宝石,火焰药水,塔兹迪亚匕首,萤火虫
  17. RR=199 anchor_m=166 Swiss=8 | 瓶装闪电,香炉,煅烧釜,云精灵,昏睡药水,蜡烛,红宝石,萤火虫
  18. RR=195 anchor_m=167 Swiss=9 | 瓶装闪电,塔兹迪亚匕首,香炉,煅烧釜,昏睡药水,蜡烛,红宝石,萤火虫
  19. RR=179 anchor_m=167 Swiss=8 | 硫磺,瓶装闪电,香炉,煅烧釜,昏睡药水,蜡烛,红宝石,萤火虫
  20. RR=180 anchor_m=164 Swiss=8 | 瓶装闪电,香炉,贤者之石,煅烧釜,昏睡药水,蜡烛,红宝石,萤火虫

[GDF] seeds: 曲颈甑
[GDF] size=10 top 20
  1. RR=248 anchor_m=233 Swiss=9 | 曲颈甑,萤火虫,红宝石,煅烧釜,香炉,鳄鱼眼泪,彩虹药水,昏睡药水
  2. RR=240 anchor_m=229 Swiss=8 | 鳄鱼眼泪,红宝石,瓶装闪电,曲颈甑,煅烧釜,彩虹药水,昏睡药水,香炉
  3. RR=239 anchor_m=229 Swiss=8 | 昏睡药水,曲颈甑,红宝石,煅烧釜,彩虹药水,香炉,鳄鱼眼泪,火焰药水
  4. RR=222 anchor_m=218 Swiss=8 | 鳄鱼眼泪,红宝石,贤者之石,瓶装闪电,火焰药水,曲颈甑,煅烧釜,香炉
  5. RR=221 anchor_m=217 Swiss=9 | 红宝石,曲颈甑,彩虹药水,煅烧釜,萤火虫,瓶装闪电,香炉,昏睡药水
  6. RR=220 anchor_m=213 Swiss=9 | 鳄鱼眼泪,红宝石,瓶装闪电,曲颈甑,煅烧釜,昏睡药水,萤火虫,香炉
  7. RR=226 anchor_m=190 Swiss=9 | 鳄鱼眼泪,红宝石,瓶装闪电,曲颈甑,火焰药水,煅烧釜,彩虹药水,香炉
  8. RR=214 anchor_m=211 Swiss=9 | 鳄鱼眼泪,瓶装闪电,红宝石,曲颈甑,昏睡药水,煅烧釜,云精灵,香炉
  9. RR=208 anchor_m=201 Swiss=8 | 曲颈甑,瓶装闪电,萤火虫,红宝石,煅烧釜,香炉,鳄鱼眼泪,彩虹药水
  10. RR=211 anchor_m=193 Swiss=8 | 彩虹药水,鳄鱼眼泪,红宝石,贤者之石,瓶装闪电,曲颈甑,煅烧釜,香炉
  11. RR=203 anchor_m=203 Swiss=8 | 鳄鱼眼泪,红宝石,昏睡药水,火焰药水,曲颈甑,煅烧釜,云精灵,香炉
