# gdf_enumerate_anchor_top1: full Top-K per anchor (last size tier only)
[GDF] seeds: 三花
[GDF] size=8 top 20
  1. RR=262 anchor_m=174 Swiss=9 | 手斧,左轮手枪,靴里剑,三花,鲨齿爪,葡萄弹,舱底蠕虫
  10. RR=175 anchor_m=153 Swiss=8 | 步枪,填弹杆,手雷,手斧,淬锋钢,左轮手枪
  11. RR=173 anchor_m=154 Swiss=8 | 靴里剑,步枪,填弹杆,手雷,手斧,流星索
  12. RR=173 anchor_m=149 Swiss=8 | 步枪,填弹杆,手雷,救生圈,手斧
  13. RR=164 anchor_m=155 Swiss=8 | 鲨齿爪,步枪,填弹杆,手雷,手斧
  14. RR=188 anchor_m=104 Swiss=8 | 步枪,填弹杆,手雷,淬锋钢,珊瑚护甲
  15. RR=164 anchor_m=150 Swiss=10 | 狼筅,步枪,填弹杆,手雷,手斧
  16. RR=164 anchor_m=141 Swiss=8 | 珊瑚,步枪,填弹杆,手雷,救生圈
  17. RR=162 anchor_m=127 Swiss=8 | 流星索,步枪,填弹杆,手雷,珊瑚,葡萄弹
  18. RR=169 anchor_m=112 Swiss=7 | 手斧,绵鳚,步枪,填弹杆,手雷,珊瑚
  19. RR=155 anchor_m=132 Swiss=8 | 藏刃匕首,步枪,填弹杆,手雷,救生圈
  20. RR=150 anchor_m=139 Swiss=8 | 靴里剑,步枪,填弹杆,手雷,抓钩,手斧

[GDF] seeds: 打火机
[GDF] size=8 top 20
  1. RR=254 anchor_m=254 Swiss=9 | 燃烧响炮,珊瑚,水草,淬锋钢,海底热泉,绵鳚,打火机
  2. RR=238 anchor_m=228 Swiss=10 | 燃烧响炮,海底热泉,绵鳚,打火机,水草,淬锋钢,海螺壳
  3. RR=215 anchor_m=215 Swiss=8 | 珊瑚,燃烧响炮,水草,皮皮虾,迷幻蝠鲼,鹦鹉皮特,绵鳚,打火机
  4. RR=213 anchor_m=213 Swiss=8 | 淬锋钢,珍珠,水草,燃烧响炮,海底热泉,绵鳚,打火机
  5. RR=209 anchor_m=208 Swiss=8 | 流星索,燃烧响炮,皮皮虾,迷幻蝠鲼,鹦鹉皮特,绵鳚,打火机,抓钩
  6. RR=202 anchor_m=202 Swiss=8 | 燃烧响炮,海底热泉,绵鳚,打火机,火药角,火炮
  7. RR=202 anchor_m=202 Swiss=8 | 水草,珊瑚,火药角,燃烧响炮,海底热泉,绵鳚,打火机
  8. RR=210 anchor_m=154 Swiss=8 | 珊瑚,打火机,木桶,珍珠,毒须鲶,绵鳚,水草
  9. RR=228 anchor_m=115 Swiss=8 | 珊瑚,打火机,雪怪蟹,毒须鲶,绵鳚,海螺壳,水草,珍珠
  10. RR=238 anchor_m=86 Swiss=9 | 珊瑚,打火机,鱼饵,雪怪蟹,毒须鲶,绵鳚,海螺壳,水草
  11. RR=198 anchor_m=149 Swiss=8 | 珊瑚,龙涎香,打火机,钓鱼竿,毒须鲶,绵鳚,水草
  12. RR=179 anchor_m=179 Swiss=8 | 燃烧响炮,海螺壳,海底热泉,绵鳚,打火机,水草,珊瑚
  13. RR=170 anchor_m=170 Swiss=8 | 珍珠,水草,燃烧响炮,海螺壳,海底热泉,绵鳚,打火机
  14. RR=201 anchor_m=106 Swiss=9 | 珊瑚,打火机,钓鱼竿,毒须鲶,绵鳚,海螺壳,水草
  15. RR=167 anchor_m=167 Swiss=8 | 燃烧响炮,珊瑚,淬锋钢,海螺壳,海底热泉,绵鳚,打火机
  16. RR=166 anchor_m=166 Swiss=8 | 燃烧响炮,水草,珍珠,皮皮虾,迷幻蝠鲼,鹦鹉皮特,绵鳚,打火机
  17. RR=194 anchor_m=109 Swiss=8 | 珊瑚,打火机,迷幻蝠鲼,雪怪蟹,毒须鲶,绵鳚,海螺壳,水草
  18. RR=197 anchor_m=103 Swiss=8 | 珊瑚,龙涎香,打火机,雪怪蟹,毒须鲶,绵鳚,海螺壳,水草
  19. RR=165 anchor_m=165 Swiss=7 | 水草,淬锋钢,龙涎香,燃烧响炮,海底热泉,绵鳚,打火机
  20. RR=165 anchor_m=165 Swiss=8 | 流星索,海螺壳,燃烧响炮,皮皮虾,迷幻蝠鲼,鹦鹉皮特,绵鳚,打火机

[GDF] seeds: 抓钩
[GDF] size=8 top 20
  1. RR=217 anchor_m=72 Swiss=10 | 淬锋钢,马龙鱼,绵鳚,鲨齿爪,抓钩,舱底蠕虫
  2. RR=205 anchor_m=124 Swiss=8 | 流星索,皮皮虾,抓钩,海螺壳,水草,绵鳚,迷幻蝠鲼,毒须鲶
  3. RR=207 anchor_m=110 Swiss=8 | 皮皮虾,海螺壳,抓钩,水草,绵鳚,迷幻蝠鲼,水母,毒须鲶
  4. RR=205 anchor_m=109 Swiss=8 | 马龙鱼,弹簧刀,抓钩,鲨齿爪,淬锋钢,飞鱼
  5. RR=195 anchor_m=125 Swiss=9 | 马龙鱼,手斧,抓钩,淬锋钢,飞鱼,鲨齿爪
  6. RR=198 anchor_m=109 Swiss=8 | 舱底蠕虫,抓钩,鲨齿爪,马龙鱼,淬锋钢,珊瑚
  7. RR=193 anchor_m=108 Swiss=8 | 马龙鱼,鲨齿爪,抓钩,淬锋钢,飞鱼,珊瑚
  8. RR=201 anchor_m=77 Swiss=9 | 淬锋钢,马龙鱼,绵鳚,鲨齿爪,抓钩,飞鱼
  9. RR=188 anchor_m=93 Swiss=8 | 珊瑚,马龙鱼,弹簧刀,抓钩,鲨齿爪,淬锋钢
  10. RR=168 anchor_m=130 Swiss=8 | 皮皮虾,抓钩,流星索,珊瑚,水草,绵鳚,迷幻蝠鲼,毒须鲶
  11. RR=180 anchor_m=105 Swiss=8 | 藏刃匕首,手斧,抓钩,鲨齿爪,马龙鱼,淬锋钢
  12. RR=195 anchor_m=73 Swiss=8 | 珊瑚,马龙鱼,弹簧刀,飞鱼,手斧,抓钩,淬锋钢
  13. RR=176 anchor_m=103 Swiss=7 | 皮皮虾,抓钩,打火机,海螺壳,水草,绵鳚,迷幻蝠鲼,毒须鲶
  14. RR=181 anchor_m=92 Swiss=8 | 藏刃匕首,抓钩,鲨齿爪,弹簧刀,马龙鱼,淬锋钢
  15. RR=179 anchor_m=91 Swiss=8 | 珊瑚,马龙鱼,迷幻蝠鲼,皮皮虾,抓钩,淬锋钢,水草
  16. RR=175 anchor_m=96 Swiss=8 | 淬锋钢,马龙鱼,绵鳚,抓钩,鲨齿爪,手斧
  17. RR=182 anchor_m=79 Swiss=9 | 淬锋钢,燃烧响炮,马龙鱼,绵鳚,鲨齿爪,抓钩
  18. RR=168 anchor_m=100 Swiss=9 | 皮皮虾,抓钩,水草,绵鳚,迷幻蝠鲼,毒须鲶,海螺壳,珍珠
  19. RR=152 anchor_m=128 Swiss=8 | 皮皮虾,抓钩,海螺壳,燃烧响炮,水草,绵鳚,迷幻蝠鲼,毒须鲶
  20. RR=164 anchor_m=102 Swiss=8 | 马龙鱼,弹簧刀,水草,手斧,抓钩,淬锋钢,飞鱼

[GDF] seeds: 救生圈
[GDF] size=8 top 20
  1. RR=270 anchor_m=247 Swiss=10 | 珊瑚,淬锋钢,飞鱼,弹簧刀,马龙鱼,救生圈
  2. RR=268 anchor_m=240 Swiss=9 | 淬锋钢,飞鱼,弹簧刀,马龙鱼,水草,救生圈
  3. RR=254 anchor_m=238 Swiss=8 | 淬锋钢,飞鱼,鲨齿爪,救生圈,马龙鱼
  4. RR=249 anchor_m=239 Swiss=8 | 海螺壳,淬锋钢,飞鱼,弹簧刀,马龙鱼,救生圈
  5. RR=249 anchor_m=238 Swiss=9 | 淬锋钢,手斧,飞鱼,弹簧刀,马龙鱼,救生圈
  6. RR=243 anchor_m=194 Swiss=9 | 舱底蠕虫,淬锋钢,飞鱼,弹簧刀,马龙鱼,救生圈
  7. RR=222 anchor_m=220 Swiss=9 | 救生圈,淬锋钢,马龙鱼,鲨齿爪,迷你弯刀
  8. RR=250 anchor_m=157 Swiss=9 | 马龙鱼,弹簧刀,手斧,舱底蠕虫,救生圈,淬锋钢
  9. RR=225 anchor_m=187 Swiss=9 | 舱底蠕虫,淬锋钢,救生圈,藏刃匕首,弹簧刀,马龙鱼
  10. RR=215 anchor_m=205 Swiss=8 | 救生圈,马龙鱼,淬锋钢,鲨齿爪,独角鲸
  11. RR=204 anchor_m=195 Swiss=8 | 救生圈,水草,马龙鱼,绵鳚,淬锋钢,独角鲸
  12. RR=196 anchor_m=191 Swiss=8 | 马龙鱼,弹簧刀,手斧,珊瑚,救生圈,淬锋钢
  13. RR=194 anchor_m=194 Swiss=8 | 马龙鱼,手斧,救生圈,水草,飞鱼,淬锋钢
  14. RR=196 anchor_m=186 Swiss=8 | 淬锋钢,救生圈,珊瑚,藏刃匕首,弹簧刀,马龙鱼
  15. RR=188 anchor_m=182 Swiss=8 | 淬锋钢,救生圈,藏刃匕首,弹簧刀,马龙鱼,水草
  16. RR=187 anchor_m=179 Swiss=8 | 救生圈,淬锋钢,珊瑚,马龙鱼,弹簧刀,迷你弯刀
  17. RR=184 anchor_m=181 Swiss=8 | 马龙鱼,弹簧刀,手斧,水草,救生圈,淬锋钢
  18. RR=181 anchor_m=176 Swiss=8 | 救生圈,马龙鱼,绵鳚,淬锋钢,手斧,独角鲸
  19. RR=177 anchor_m=174 Swiss=8 | 马龙鱼,弹簧刀,手斧,靴里剑,救生圈,淬锋钢
  20. RR=175 anchor_m=174 Swiss=8 | 淬锋钢,飞鱼,救生圈,手斧,绵鳚,马龙鱼

[GDF] seeds: 星图
[GDF] size=8 top 20
  1. RR=254 anchor_m=59 Swiss=9 | 舱底蠕虫,手斧,弹簧刀,马龙鱼,星图,淬锋钢
  2. RR=232 anchor_m=78 Swiss=9 | 手斧,珊瑚,弹簧刀,马龙鱼,星图,淬锋钢
  3. RR=230 anchor_m=76 Swiss=9 | 手斧,靴里剑,弹簧刀,马龙鱼,星图,淬锋钢
  4. RR=241 anchor_m=52 Swiss=8 | 飞鱼,手斧,弹簧刀,马龙鱼,星图,淬锋钢
  5. RR=240 anchor_m=51 Swiss=10 | 手斧,藏刃匕首,弹簧刀,马龙鱼,星图,淬锋钢
  6. RR=221 anchor_m=75 Swiss=8 | 手斧,珊瑚,绵鳚,马龙鱼,星图,淬锋钢
  7. RR=204 anchor_m=100 Swiss=9 | 靴里剑,手斧,绵鳚,马龙鱼,星图,淬锋钢
  8. RR=218 anchor_m=71 Swiss=9 | 舱底蠕虫,手斧,绵鳚,马龙鱼,星图,淬锋钢
  9. RR=202 anchor_m=92 Swiss=9 | 手斧,迷你弯刀,弹簧刀,马龙鱼,星图,淬锋钢
  10. RR=199 anchor_m=73 Swiss=8 | 独角鲸,手斧,弹簧刀,马龙鱼,星图,淬锋钢
  11. RR=209 anchor_m=48 Swiss=8 | 飞鱼,手斧,绵鳚,马龙鱼,星图,淬锋钢
  12. RR=186 anchor_m=89 Swiss=8 | 手斧,水草,绵鳚,马龙鱼,星图,淬锋钢
  13. RR=183 anchor_m=86 Swiss=8 | 手斧,抓钩,弹簧刀,马龙鱼,星图,淬锋钢
  14. RR=185 anchor_m=79 Swiss=8 | 绵鳚,手斧,弹簧刀,马龙鱼,星图,淬锋钢
  15. RR=197 anchor_m=36 Swiss=8 | 珊瑚,淬锋钢,星图,独角鲸,弹簧刀,马龙鱼
  16. RR=195 anchor_m=36 Swiss=8 | 飞鱼,淬锋钢,星图,鲨齿爪,马龙鱼
  17. RR=169 anchor_m=85 Swiss=8 | 手斧,绵鳚,马龙鱼,星图,淬锋钢,燃烧响炮
  18. RR=190 anchor_m=33 Swiss=9 | 藏刃匕首,手斧,绵鳚,马龙鱼,星图,淬锋钢
  19. RR=165 anchor_m=79 Swiss=8 | 淬锋钢,星图,马龙鱼,弹簧刀,靴里剑,舱底蠕虫
  20. RR=164 anchor_m=71 Swiss=8 | 独角鲸,手斧,绵鳚,马龙鱼,星图,淬锋钢

[GDF] seeds: 木桶
[GDF] size=8 top 20
  1. RR=289 anchor_m=176 Swiss=10 | 弹簧刀,马龙鱼,木桶,淬锋钢,沙滩充气球
  2. RR=278 anchor_m=218 Swiss=9 | 马龙鱼,弹簧刀,武士刀,木桶,淬锋钢
  3. RR=258 anchor_m=210 Swiss=9 | 沙滩充气球,马龙鱼,木桶,淬锋钢,水草
  4. RR=254 anchor_m=201 Swiss=8 | 马龙鱼,木桶,打火机,淬锋钢,沙滩充气球
  5. RR=254 anchor_m=200 Swiss=9 | 马龙鱼,弹簧刀,飞鱼,木桶,淬锋钢,水草
  6. RR=244 anchor_m=202 Swiss=8 | 水草,钓鱼竿,马龙鱼,木桶,淬锋钢
  7. RR=244 anchor_m=195 Swiss=9 | 珊瑚,飞鱼,弹簧刀,马龙鱼,木桶,淬锋钢
  8. RR=242 anchor_m=192 Swiss=9 | 沙滩充气球,鹦鹉皮特,马龙鱼,木桶,淬锋钢
  9. RR=226 anchor_m=183 Swiss=9 | 火药角,马龙鱼,木桶,淬锋钢,沙滩充气球
  10. RR=224 anchor_m=185 Swiss=8 | 珊瑚,沙滩充气球,马龙鱼,木桶,淬锋钢
  11. RR=220 anchor_m=188 Swiss=8 | 珊瑚,钓鱼竿,马龙鱼,木桶,淬锋钢
  12. RR=217 anchor_m=166 Swiss=8 | 马龙鱼,弹簧刀,手斧,飞鱼,木桶,淬锋钢
  13. RR=215 anchor_m=164 Swiss=8 | 毒须鲶,马龙鱼,木桶,淬锋钢,沙滩充气球
  14. RR=191 anchor_m=173 Swiss=8 | 雪怪蟹,毒须鲶,马龙鱼,木桶,淬锋钢,水草
  15. RR=188 anchor_m=162 Swiss=8 | 海螺壳,水草,珊瑚,马龙鱼,木桶,淬锋钢
  16. RR=181 anchor_m=174 Swiss=8 | 珊瑚,木桶,打火机,水草,绵鳚,毒须鲶,雪怪蟹
  17. RR=176 anchor_m=155 Swiss=7 | 珊瑚,藏刃匕首,弹簧刀,马龙鱼,木桶,淬锋钢
  18. RR=182 anchor_m=119 Swiss=8 | 马龙鱼,弹簧刀,鲨齿爪,木桶,淬锋钢
  19. RR=168 anchor_m=144 Swiss=9 | 毒须鲶,水母,马龙鱼,木桶,淬锋钢,水草
  20. RR=167 anchor_m=146 Swiss=9 | 水草,马龙鱼,迷幻蝠鲼,毒须鲶,木桶,淬锋钢

[GDF] seeds: 步枪
[GDF] size=8 top 20
  1. RR=211 anchor_m=211 Swiss=8 | 淬锋钢,手雷,填弹杆,步枪,救生圈
  2. RR=199 anchor_m=199 Swiss=8 | 淬锋钢,舱底蠕虫,手雷,填弹杆,步枪,珊瑚
  3. RR=195 anchor_m=194 Swiss=8 | 手雷,填弹杆,步枪,手斧,葡萄弹,流星索
  4. RR=193 anchor_m=193 Swiss=9 | 珊瑚,淬锋钢,葡萄弹,手雷,填弹杆,步枪
  5. RR=192 anchor_m=192 Swiss=9 | 葡萄弹,靴里剑,手雷,填弹杆,步枪,手斧
  6. RR=186 anchor_m=185 Swiss=8 | 手斧,淬锋钢,葡萄弹,手雷,填弹杆,步枪
  7. RR=183 anchor_m=182 Swiss=9 | 藏刃匕首,手雷,填弹杆,步枪,手斧,葡萄弹
  8. RR=179 anchor_m=179 Swiss=9 | 手雷,填弹杆,步枪,珊瑚,葡萄弹,手斧
  9. RR=179 anchor_m=179 Swiss=8 | 靴里剑,手雷,填弹杆,步枪,手斧,流星索
  10. RR=179 anchor_m=179 Swiss=8 | 流星索,靴里剑,手雷,填弹杆,步枪,葡萄弹
  11. RR=178 anchor_m=178 Swiss=8 | 救生圈,手雷,填弹杆,步枪,葡萄弹
  12. RR=178 anchor_m=178 Swiss=8 | 救生圈,藏刃匕首,手雷,填弹杆,步枪
  13. RR=176 anchor_m=176 Swiss=10 | 手雷,填弹杆,步枪,绵鳚,葡萄弹,珊瑚
  14. RR=175 anchor_m=175 Swiss=8 | 靴里剑,手雷,填弹杆,步枪,绵鳚,手斧
  15. RR=175 anchor_m=175 Swiss=8 | 靴里剑,葡萄弹,淬锋钢,手雷,填弹杆,步枪
  16. RR=172 anchor_m=172 Swiss=8 | 流星索,珊瑚,手雷,填弹杆,步枪,葡萄弹
  17. RR=171 anchor_m=171 Swiss=9 | 手斧,葡萄弹,淬锋钢,流星索,填弹杆,步枪
  18. RR=169 anchor_m=169 Swiss=8 | 流星索,手雷,填弹杆,步枪,绵鳚,葡萄弹
  19. RR=168 anchor_m=168 Swiss=9 | 狼筅,手雷,填弹杆,步枪,葡萄弹
  20. RR=165 anchor_m=165 Swiss=8 | 淬锋钢,舱底蠕虫,葡萄弹,手雷,填弹杆,步枪

[GDF] seeds: 武士刀
[GDF] size=8 top 20
  1. RR=276 anchor_m=276 Swiss=9 | 流星索,手斧,鲨齿爪,弹簧刀,武士刀,刺刀
  2. RR=275 anchor_m=275 Swiss=9 | 手斧,鲨齿爪,靴里剑,弹簧刀,武士刀,刺刀
  3. RR=271 anchor_m=271 Swiss=9 | 手斧,鲨齿爪,弹簧刀,武士刀,刺刀,舱底蠕虫
  4. RR=265 anchor_m=265 Swiss=10 | 流星索,手斧,鲨齿爪,靴里剑,弹簧刀,武士刀
  5. RR=255 anchor_m=255 Swiss=9 | 手斧,鲨齿爪,左轮手枪,弹簧刀,武士刀,刺刀
  6. RR=253 anchor_m=253 Swiss=8 | 手斧,鲨齿爪,左轮手枪,弹簧刀,武士刀,葡萄弹
  7. RR=239 anchor_m=239 Swiss=8 | 手斧,鲨齿爪,左轮手枪,弹簧刀,武士刀,靴里剑
  8. RR=237 anchor_m=237 Swiss=9 | 流星索,手斧,鲨齿爪,左轮手枪,弹簧刀,武士刀
  9. RR=234 anchor_m=234 Swiss=8 | 舱底蠕虫,鲨齿爪,淬锋钢,手斧,武士刀,刺刀
  10. RR=226 anchor_m=226 Swiss=8 | 手斧,鲨齿爪,独角鲸,弹簧刀,武士刀,刺刀
  11. RR=224 anchor_m=224 Swiss=8 | 鲨齿爪,靴里剑,弹簧刀,武士刀,手斧,舱底蠕虫
  12. RR=204 anchor_m=204 Swiss=8 | 手斧,靴里剑,鲨齿爪,独角鲸,弹簧刀,武士刀
  13. RR=203 anchor_m=203 Swiss=9 | 抓钩,手斧,鲨齿爪,弹簧刀,武士刀,刺刀
  14. RR=201 anchor_m=201 Swiss=9 | 手斧,鲨齿爪,舱底蠕虫,左轮手枪,弹簧刀,武士刀
  15. RR=200 anchor_m=200 Swiss=8 | 手斧,鲨齿爪,弹簧刀,武士刀,刺刀,淬锋钢
  16. RR=197 anchor_m=197 Swiss=8 | 手斧,流星索,鲨齿爪,迷你弯刀,弹簧刀,武士刀
  17. RR=196 anchor_m=196 Swiss=8 | 舱底蠕虫,鲨齿爪,手斧,弹簧刀,武士刀,淬锋钢
  18. RR=191 anchor_m=191 Swiss=8 | 手斧,流星索,鲨齿爪,独角鲸,弹簧刀,武士刀
  19. RR=188 anchor_m=188 Swiss=8 | 手斧,珊瑚,鲨齿爪,弹簧刀,武士刀,刺刀
  20. RR=186 anchor_m=186 Swiss=8 | 鲨齿爪,手斧,迷你弯刀,弹簧刀,武士刀,刺刀

[GDF] seeds: 毒须鲶
[GDF] size=8 top 20
  1. RR=259 anchor_m=66 Swiss=8 | 毒须鲶,飞鱼,手斧,淬锋钢,绵鳚,马龙鱼,水草
  2. RR=230 anchor_m=220 Swiss=8 | 水草,绵鳚,毒须鲶,雪怪蟹,水母,珍珠,珊瑚,海螺壳
  3. RR=226 anchor_m=218 Swiss=10 | 海螺壳,珊瑚,水草,绵鳚,毒须鲶,雪怪蟹,水母,鱼饵
  4. RR=220 anchor_m=218 Swiss=9 | 水草,绵鳚,毒须鲶,雪怪蟹,水母,迷幻蝠鲼,皮皮虾,海螺壳
  5. RR=204 anchor_m=204 Swiss=9 | 海螺壳,水草,绵鳚,毒须鲶,雪怪蟹,水母,飞鱼,珊瑚
  6. RR=189 anchor_m=186 Swiss=8 | 水草,绵鳚,毒须鲶,雪怪蟹,水母,珍珠,珊瑚,鱼饵
  7. RR=185 anchor_m=185 Swiss=8 | 海螺壳,打火机,水草,绵鳚,毒须鲶,雪怪蟹,水母,珊瑚
  8. RR=205 anchor_m=127 Swiss=7 | 毒须鲶,迷幻蝠鲼,飞鱼,淬锋钢,绵鳚,马龙鱼,水草
  9. RR=181 anchor_m=173 Swiss=8 | 海螺壳,珍珠,水草,绵鳚,毒须鲶,雪怪蟹,水母,鱼饵
  10. RR=230 anchor_m=57 Swiss=8 | 珊瑚,毒须鲶,飞鱼,淬锋钢,绵鳚,马龙鱼,水草
  11. RR=232 anchor_m=46 Swiss=9 | 淬锋钢,水草,马龙鱼,绵鳚,鲨齿爪,毒须鲶
  12. RR=169 anchor_m=167 Swiss=8 | 龙涎香,海螺壳,水草,绵鳚,毒须鲶,雪怪蟹,水母,珍珠
  13. RR=164 anchor_m=163 Swiss=8 | 海螺壳,水草,绵鳚,毒须鲶,雪怪蟹,水母,迷幻蝠鲼,独角鲸
  14. RR=184 anchor_m=122 Swiss=8 | 毒须鲶,鹦鹉皮特,飞鱼,淬锋钢,绵鳚,马龙鱼,水草
  15. RR=220 anchor_m=48 Swiss=9 | 毒须鲶,飞鱼,淬锋钢,鲨齿爪,马龙鱼,水草
  16. RR=205 anchor_m=65 Swiss=9 | 毒须鲶,飞鱼,手斧,淬锋钢,弹簧刀,马龙鱼,水草
  17. RR=157 anchor_m=157 Swiss=8 | 鱼饵,水草,绵鳚,毒须鲶,雪怪蟹,水母,珊瑚,打火机
  18. RR=187 anchor_m=92 Swiss=8 | 珍珠,毒须鲶,飞鱼,淬锋钢,绵鳚,马龙鱼,水草
  19. RR=165 anchor_m=135 Swiss=8 | 海螺壳,珊瑚,水草,绵鳚,毒须鲶,雪怪蟹,鱼饵,珍珠
  20. RR=156 anchor_m=153 Swiss=8 | 鱼饵,海螺壳,水草,绵鳚,毒须鲶,雪怪蟹,水母,独角鲸

[GDF] seeds: 水母
[GDF] size=8 top 20
  1. RR=272 anchor_m=5 Swiss=10 | 舱底蠕虫,淬锋钢,飞鱼,水母,鲨齿爪,马龙鱼
  2. RR=272 anchor_m=13 Swiss=9 | 淬锋钢,飞鱼,水母,鲨齿爪,手斧,马龙鱼
  3. RR=257 anchor_m=95 Swiss=8 | 水草,淬锋钢,鲨齿爪,飞鱼,水母,马龙鱼
  4. RR=261 anchor_m=65 Swiss=9 | 淬锋钢,飞鱼,水母,珊瑚,鲨齿爪,马龙鱼
  5. RR=198 anchor_m=184 Swiss=8 | 珊瑚,珍珠,水母,雪怪蟹,毒须鲶,绵鳚,水草,海螺壳
  6. RR=265 anchor_m=24 Swiss=9 | 淬锋钢,飞鱼,水母,鲨齿爪,弹簧刀,马龙鱼
  7. RR=188 anchor_m=166 Swiss=7 | 珊瑚,海螺壳,鱼饵,水母,雪怪蟹,毒须鲶,绵鳚,水草
  8. RR=254 anchor_m=23 Swiss=8 | 淬锋钢,飞鱼,水母,鲨齿爪,绵鳚,马龙鱼
  9. RR=240 anchor_m=38 Swiss=9 | 淬锋钢,迷你弯刀,飞鱼,水母,鲨齿爪,马龙鱼
  10. RR=176 anchor_m=164 Swiss=9 | 海螺壳,鱼饵,珍珠,水母,雪怪蟹,毒须鲶,绵鳚,水草
  11. RR=183 anchor_m=149 Swiss=8 | 淬锋钢,飞鱼,水母,毒须鲶,绵鳚,水草,马龙鱼
  12. RR=218 anchor_m=64 Swiss=8 | 淬锋钢,飞鱼,水母,食人鱼,鲨齿爪,马龙鱼
  13. RR=234 anchor_m=19 Swiss=9 | 淬锋钢,飞鱼,水母,鲨齿爪,靴里剑,马龙鱼
  14. RR=222 anchor_m=42 Swiss=8 | 淬锋钢,飞鱼,水母,鲨齿爪,独角鲸,马龙鱼
  15. RR=160 anchor_m=158 Swiss=9 | 鱼饵,珊瑚,珍珠,水母,雪怪蟹,毒须鲶,绵鳚,水草
  16. RR=203 anchor_m=68 Swiss=8 | 淬锋钢,飞鱼,水母,珍珠,鲨齿爪,马龙鱼
  17. RR=223 anchor_m=25 Swiss=8 | 淬锋钢,飞鱼,水母,鲨齿爪,藏刃匕首,马龙鱼
  18. RR=156 anchor_m=156 Swiss=8 | 海螺壳,珊瑚,飞鱼,水母,雪怪蟹,毒须鲶,绵鳚,水草
  19. RR=200 anchor_m=61 Swiss=8 | 淬锋钢,飞鱼,水母,海螺壳,鲨齿爪,马龙鱼
  20. RR=215 anchor_m=18 Swiss=9 | 左轮手枪,淬锋钢,飞鱼,水母,鲨齿爪,马龙鱼

[GDF] seeds: 水草
[GDF] size=8 top 20
  1. RR=255 anchor_m=235 Swiss=8 | 海螺壳,飞鱼,手斧,淬锋钢,绵鳚,马龙鱼,水草
  2. RR=231 anchor_m=197 Swiss=10 | 水草,马龙鱼,绵鳚,皮皮虾,迷幻蝠鲼,飞鱼,淬锋钢
  3. RR=254 anchor_m=137 Swiss=8 | 淬锋钢,飞鱼,鲨齿爪,绵鳚,马龙鱼,水草
  4. RR=207 anchor_m=167 Swiss=9 | 飞鱼,手斧,淬锋钢,绵鳚,马龙鱼,水草,珊瑚
  5. RR=216 anchor_m=147 Swiss=9 | 水草,飞鱼,鲨齿爪,手斧,马龙鱼,淬锋钢
  6. RR=198 anchor_m=182 Swiss=7 | 飞鱼,淬锋钢,绵鳚,马龙鱼,水草,珊瑚,海螺壳
  7. RR=206 anchor_m=155 Swiss=8 | 淬锋钢,鲨齿爪,绵鳚,马龙鱼,水草,珊瑚
  8. RR=230 anchor_m=102 Swiss=9 | 舱底蠕虫,鲨齿爪,淬锋钢,绵鳚,马龙鱼,水草
  9. RR=212 anchor_m=132 Swiss=9 | 手斧,淬锋钢,鲨齿爪,绵鳚,马龙鱼,水草
  10. RR=202 anchor_m=144 Swiss=9 | 水草,马龙鱼,弹簧刀,飞鱼,淬锋钢,手斧,独角鲸
  11. RR=183 anchor_m=179 Swiss=8 | 水草,海螺壳,马龙鱼,皮皮虾,迷幻蝠鲼,飞鱼,淬锋钢
  12. RR=200 anchor_m=143 Swiss=8 | 淬锋钢,独角鲸,鲨齿爪,绵鳚,马龙鱼,水草
  13. RR=181 anchor_m=176 Swiss=8 | 飞鱼,珍珠,手斧,淬锋钢,绵鳚,马龙鱼,水草
  14. RR=176 anchor_m=165 Swiss=8 | 海螺壳,飞鱼,珍珠,淬锋钢,绵鳚,马龙鱼,水草
  15. RR=182 anchor_m=151 Swiss=8 | 湿件战服,水草,马龙鱼,弹簧刀,飞鱼,淬锋钢
  16. RR=175 anchor_m=155 Swiss=8 | 淬锋钢,鲨齿爪,绵鳚,马龙鱼,海螺壳,水草
  17. RR=196 anchor_m=112 Swiss=8 | 舱底蠕虫,手斧,飞鱼,淬锋钢,绵鳚,马龙鱼,水草
  18. RR=189 anchor_m=124 Swiss=9 | 水草,马龙鱼,弹簧刀,飞鱼,淬锋钢,手斧,左轮手枪
  19. RR=159 anchor_m=159 Swiss=7 | 水草,马龙鱼,弹簧刀,飞鱼,海螺壳,淬锋钢,珍珠
  20. RR=158 anchor_m=154 Swiss=8 | 水草,马龙鱼,弹簧刀,飞鱼,珊瑚护甲,淬锋钢

[GDF] seeds: 沙滩充气球
[GDF] size=8 top 20
  1. RR=274 anchor_m=226 Swiss=9 | 沙滩充气球,马龙鱼,弹簧刀,藏刃匕首,淬锋钢,毒须鲶
  2. RR=242 anchor_m=224 Swiss=9 | 沙滩充气球,马龙鱼,绵鳚,毒须鲶,水草,淬锋钢
  3. RR=231 anchor_m=220 Swiss=9 | 手斧,沙滩充气球,马龙鱼,弹簧刀,藏刃匕首,毒须鲶
  4. RR=230 anchor_m=214 Swiss=8 | 沙滩充气球,马龙鱼,淬锋钢,毒须鲶,手斧,藏刃匕首
  5. RR=229 anchor_m=215 Swiss=9 | 珊瑚,沙滩充气球,绵鳚,毒须鲶,雪怪蟹,水母,水草
